"from_2020","to_2024","weight"
"BALDWIN|WEST BALDWIN","BALDWIN|WEST BALDWIN",1
"BALDWIN|WEST HARDWICK","BALDWIN|WEST HARDWICK",0.999999
"BANKS|ANDERSON","BANKS|ANDERSON",0.99924
"BANKS|ANDERSON","JACKSON|NORTH JACKSON",0.000758
"BANKS|ANDERSON","BANKS|BUSHVILLE",1e-06
"BANKS|BALDWIN","BANKS|BALDWIN",0.999783
"BANKS|BALDWIN","HABERSHAM|MUD CREEK",0.000216
"BANKS|BERLIN","BANKS|BERLIN",1
"BANKS|BUSHVILLE","BANKS|BUSHVILLE",0.999125
"BANKS|BUSHVILLE","JACKSON|NORTH JACKSON",0.000633
"BANKS|BUSHVILLE","BANKS|HOMER",0.000208
"BANKS|BUSHVILLE","BANKS|ANDERSON",2.4e-05
"BANKS|BUSHVILLE","BANKS|WILMONTS",1.1e-05
"BANKS|COLUMBIA","BANKS|COLUMBIA",0.999657
"BANKS|COLUMBIA","FRANKLIN|WEST FRANKLIN",0.000281
"BANKS|COLUMBIA","STEPHENS|STEPHENS COUNTY 1",6.1e-05
"BANKS|DAVIDS","BANKS|DAVIDS",0.997729
"BANKS|DAVIDS","FRANKLIN|SOUTHWEST FRANKLIN",0.001034
"BANKS|DAVIDS","MADISON|ILA",0.000791
"BANKS|DAVIDS","JACKSON|NORTH JACKSON",0.000446
"BANKS|GOLDEN HILL","BANKS|GOLDEN HILL",0.998966
"BANKS|GOLDEN HILL","HABERSHAM|MUD CREEK",0.000985
"BANKS|GOLDEN HILL","BANKS|POPLAR SPRINGS",2.7e-05
"BANKS|GOLDEN HILL","HALL|LULA",2.2e-05
"BANKS|GROVE RIVER","BANKS|GROVE RIVER",0.997663
"BANKS|GROVE RIVER","JACKSON|NORTH JACKSON",0.001844
"BANKS|GROVE RIVER","HALL|GILLSVILLE",0.000494
"BANKS|HOLLINGSWORTH","BANKS|HOLLINGSWORTH",0.999896
"BANKS|HOLLINGSWORTH","BANKS|BERLIN",0.000104
"BANKS|HOMER","BANKS|HOMER",0.999878
"BANKS|HOMER","BANKS|BUSHVILLE",9.9e-05
"BANKS|HOMER","BANKS|WILMONTS",2.3e-05
"BANKS|POPLAR SPRINGS","BANKS|POPLAR SPRINGS",0.999103
"BANKS|POPLAR SPRINGS","HALL|LULA",0.000897
"BANKS|WASHINGTON","BANKS|WASHINGTON",0.999341
"BANKS|WASHINGTON","BANKS|HOLLINGSWORTH",0.000624
"BANKS|WASHINGTON","BANKS|BERLIN",3.5e-05
"BANKS|WILMONTS","BANKS|WILMONTS",0.998655
"BANKS|WILMONTS","BANKS|BERLIN",0.000894
"BANKS|WILMONTS","FRANKLIN|WEST FRANKLIN",0.000397
"BANKS|WILMONTS","BANKS|BUSHVILLE",5.3e-05
"BARROW|01","BARROW|1",0.999868
"BARROW|01","BARROW|16",0.000132
"BARROW|02","BARROW|2",0.999052
"BARROW|02","BARROW|13",0.000947
"BARROW|03","BARROW|3",0.999666
"BARROW|03","GWINNETT|HARBINS B",0.000333
"BARROW|04","BARROW|4",0.999558
"BARROW|04","GWINNETT|HARBINS B",0.000386
"BARROW|04","BARROW|13",5.6e-05
"BARROW|05","BARROW|5",1
"BARROW|08","BARROW|8",1
"BARROW|13","BARROW|13",0.999989
"BARROW|13","BARROW|16",1.1e-05
"BARROW|16","BARROW|16",0.71567
"BARROW|16","BARROW|13",0.21589
"BARROW|16","BARROW|1",0.06844
"BARTOW|ADAIRSVILLE","BARTOW|ADAIRSVILLE",0.987443
"BARTOW|ADAIRSVILLE","GORDON|LILY POND",0.012218
"BARTOW|ADAIRSVILLE","GORDON|PLAINVILLE",0.000339
"BARTOW|ALLATOONA","BARTOW|ALLATOONA",0.99847
"BARTOW|ALLATOONA","COBB|ACWORTH 1B",0.000888
"BARTOW|ALLATOONA","COBB|NORTH COBB 01",0.000639
"BARTOW|ALLATOONA","CHEROKEE|CLARK CREEK",3e-06
"BARTOW|CARTERSVILLE EAST","BARTOW|CARTERSVILLE EAST",0.972407
"BARTOW|CARTERSVILLE EAST","BARTOW|ZENA DRIVE",0.016658
"BARTOW|CARTERSVILLE EAST","BARTOW|WHITE",0.00527
"BARTOW|CARTERSVILLE EAST","BARTOW|CENTER",0.003389
"BARTOW|CARTERSVILLE EAST","BARTOW|CASSVILLE",0.001847
