county,precinct,contest,candidate,party,method,votes
Lanier,Lakeland,President of the United States,Donald J. Trump,REP,Election Day Votes,481
Lanier,Lakeland,President of the United States,Donald J. Trump,REP,Advanced Voting Votes,1778
Lanier,Lakeland,President of the United States,Donald J. Trump,REP,Absentee by Mail Votes,250
Lanier,Lakeland,President of the United States,Donald J. Trump,REP,Provisional Votes,0
Lanier,Lakeland,President of the United States,Joseph R. Biden,DEM,Election Day Votes,204
Lanier,Lakeland,President of the United States,Joseph R. Biden,DEM,Advanced Voting Votes,517
Lanier,Lakeland,President of the United States,Joseph R. Biden,DEM,Absentee by Mail Votes,298
Lanier,Lakeland,President of the United States,Joseph R. Biden,DEM,Provisional Votes,0
Lanier,Lakeland,President of the United States,Jo Jorgensen,OTH,Election Day Votes,13
Lanier,Lakeland,President of the United States,Jo Jorgensen,OTH,Advanced Voting Votes,25
Lanier,Lakeland,President of the United States,Jo Jorgensen,OTH,Absentee by Mail Votes,10
Lanier,Lakeland,President of the United States,Jo Jorgensen,OTH,Provisional Votes,0
