county,precinct,registered,ballots_cast,Joseph R. Biden,Donald J. Trump,Jo Jorgensen,total,dem_two_party_pct
Appling,1B,1309,995,116,870,7,993,11.76
Appling,1C,848,642,44,594,2,640,6.9
Appling,2,2251,1457,908,531,9,1448,63.1
Appling,3A1,793,611,20,587,4,611,3.29
Appling,3C,1566,1140,288,843,4,1135,25.46
Appling,4B,866,673,23,647,2,672,3.43
Appling,4D,1493,1182,130,1048,1,1179,11.04
Appling,5A,1147,821,118,697,5,820,14.48
Appling,5B,1126,846,132,709,2,843,15.7
Atkinson,Axson,742,527,45,479,3,527,8.59
Atkinson,Pearson City,944,570,329,229,6,564,58.96
Atkinson,Pearson County,1802,1202,160,1026,11,1197,13.49
Atkinson,Willacoochee,1311,873,291,566,10,867,33.96
Bacon,Douglas,6720,4680,625,4018,25,4668,13.46
Baker,Anna,166,124,31,93,0,124,25.0
Baker,Elmodel,401,290,148,141,0,289,51.21
Baker,Hoggards Mill,351,234,111,120,3,234,48.05
Baker,Milford,270,207,69,137,0,206,33.5
Baker,Newton,1070,704,293,406,3,702,41.92
Baldwin,Boddie,1381,694,547,134,6,687,80.32
Baldwin,City Hall Annex,957,493,331,153,6,490,68.39
Baldwin,Coopers,1574,1119,320,784,10,1114,28.99
Baldwin,Courthouse,506,291,169,113,6,288,59.93
Baldwin,East Baldwin,3826,2782,1159,1581,28,2768,42.3
Baldwin,East Hardwick,1313,675,520,140,12,672,78.79
Baldwin,Fire Dept,1481,938,711,212,10,933,77.03
Baldwin,Meriweather,2832,2234,831,1366,26,2223,37.82
Baldwin,North Baldwin,3515,2745,810,1891,24,2725,29.99
Baldwin,North Milledgeville,2211,1682,859,793,22,1674,52.0
Baldwin,Scottsboro,1101,712,275,426,8,709,39.23
Baldwin,South Milledgeville,1259,779,583,179,9,771,76.51
Baldwin,West Baldwin,1862,1355,604,731,19,1354,45.24
Baldwin,West Hardwick,2903,1854,1421,400,22,1843,78.03
Banks,Anderson,1533,1019,100,901,12,1013,9.99
Banks,Baldwin,876,639,103,528,6,637,16.32
Banks,Berlin,415,295,29,266,0,295,9.83
Banks,Bushville,816,513,42,468,3,513,8.24
Banks,Columbia,363,279,20,258,0,278,7.19
Banks,Davids,1977,1290,166,1107,11,1284,13.04
Banks,Golden Hill,1008,626,80,538,7,625,12.94
Banks,Grove River,600,425,33,387,4,424,7.86
Banks,Hollingsworth,667,489,53,432,3,488,10.93
Banks,Homer,1544,1073,108,957,6,1071,10.14
Banks,Poplar Springs,1775,1255,113,1121,15,1249,9.16
Banks,Washington,704,498,53,438,4,495,10.79
Banks,Wilmonts,620,429,32,394,3,429,7.51
Barrow,01 Bethlehem Community Center,3359,2336,560,1728,40,2328,24.48
Barrow,02 Bethlehem Church - 211,6784,5091,966,4033,72,5071,19.32
Barrow,03 Hmong New Hope Alliance Church ,6364,4136,943,3098,74,4115,23.34
Barrow,04 Covenant Life Sanctuary ,4012,2589,624,1904,54,2582,24.68
Barrow,05 Fire Station 1 (Statham),8336,6039,1743,4198,70,6011,29.34
Barrow,08 First Baptist Church Winder,7009,4998,1114,3784,86,4984,22.74
Barrow,13 Winder Community Center,9393,5835,2036,3664,108,5808,35.72
Barrow,16 The Church at Winder,10348,7047,2467,4395,160,7022,35.95
Bartow,Adairsville,6995,4819,908,3819,73,4800,19.21
Bartow,Allatoona,4729,2736,696,1997,31,2724,25.84
Bartow,Cartersville East,6805,4427,1527,2810,65,4402,35.21
Bartow,Cartersville West,8129,5894,1776,4030,61,5867,30.59
Bartow,Cassville,4588,3343,1019,2259,53,3331,31.09
Bartow,Center,4007,2940,568,2312,48,2928,19.72
Bartow,Emerson,3122,2039,414,1582,29,2025,20.74
Bartow,Euharlee,5322,3790,853,2859,69,3781,22.98
Bartow,Folsom,1448,1020,113,897,8,1018,11.19
Bartow,Hamilton Crossing,6598,4220,921,3228,45,4194,22.2
Bartow,Kingston,2674,1885,305,1550,27,1882,16.44
Bartow,Mission Road,4012,2816,711,2070,25,2806,25.57
Bartow,Pine Log,2132,1588,189,1369,25,1583,12.13
Bartow,Taylorsville,2829,2098,206,1861,25,2092,9.97
Bartow,White,2723,1961,275,1648,32,1955,14.3
Bartow,Woodland,1865,1287,297,961,21,1279,23.61
Bartow,Zena Drive,6431,3815,1314,2422,64,3800,35.17
Ben Hill,East,3956,2464,1182,1249,20,2451,48.62
Ben Hill,West,5898,4127,1210,2861,38,4109,29.72
Berrien,Alapaha,1140,834,206,622,5,833,24.88
Berrien,Enigma,1111,730,86,636,6,728,11.91
Berrien,Nashville,6079,4120,694,3393,25,4112,16.98
Berrien,Ray City,1946,1300,216,1062,12,1290,16.9
Berrien,West Berrien,999,782,67,706,7,780,8.67
Bibb,East Macon 1,2108,993,929,47,11,987,95.18
Bibb,East Macon 2,3932,2369,2169,157,27,2353,93.25
Bibb,East Macon 3,3494,2165,1563,570,23,2156,73.28
Bibb,East Macon 4,2280,1415,1309,95,9,1413,93.23
Bibb,East Macon 5,2552,1663,1264,379,16,1659,76.93
Bibb,Godfrey 1,6283,3360,2987,326,29,3342,90.16
Bibb,Godfrey 2,2158,905,795,98,8,901,89.03
Bibb,Godfrey 3,3292,1731,1543,175,8,1726,89.81
Bibb,Godfrey 4,2231,977,826,139,7,972,85.6
Bibb,Godfrey 5,4761,2672,2328,301,30,2659,88.55
Bibb,Hazzard 1,3377,1936,1676,232,21,1929,87.84
Bibb,Hazzard 2,4173,2865,1606,1215,34,2855,56.93
Bibb,Hazzard 3,7068,4542,3284,1201,31,4516,73.22
Bibb,Hazzard 4,4745,3789,1618,2112,37,3767,43.38
Bibb,Howard 1,3436,2759,992,1727,21,2740,36.48
Bibb,Howard 2,3394,2714,929,1734,35,2698,34.89
Bibb,Howard 3,6397,4708,2233,2397,55,4685,48.23
Bibb,Howard 4,1711,1240,625,577,22,1224,52.0
Bibb,Howard 5,2272,1473,917,535,14,1466,63.15
Bibb,Howard 6,2213,1643,736,878,18,1632,45.6
Bibb,Howard 7,2897,2325,851,1421,31,2303,37.46
Bibb,Rutland 1,5704,4388,1784,2559,28,4371,41.08
Bibb,Rutland 2,3409,2485,863,1590,26,2479,35.18
Bibb,Vineville 1,3572,2235,1509,670,37,2216,69.25
Bibb,Vineville 2,2067,1262,939,291,21,1251,76.34
Bibb,Vineville 3,3127,1779,1601,153,19,1773,91.28
Bibb,Vineville 4,4097,2361,2042,283,23,2348,87.83
Bibb,Vineville 5,2359,1772,818,913,30,1761,47.26
Bibb,Vineville 6,3021,2173,1180,937,39,2156,55.74
Bibb,Warrior 1,2617,1995,675,1300,16,1991,34.18
Bibb,Warrior 2,3232,2475,877,1573,23,2473,35.8
Bleckley,Fairground,0,5731,1311,4328,67,5706,23.25
Brantley,Hoboken,3394,2394,164,2210,17,2391,6.91
Brantley,Nahunta,4208,2816,268,2522,17,2807,9.61
Brantley,Waynesville,4286,2556,267,2259,22,2548,10.57
Brooks,Barwick,350,248,67,181,0,248,27.02
Brooks,Briggs,2317,1485,315,1148,15,1478,21.53
Brooks,Dixie,1066,765,395,363,4,762,52.11
Brooks,Morven,1962,1341,399,925,10,1334,30.14
Brooks,Nankin,735,510,86,421,2,509,16.96
Brooks,Pavo,607,439,122,314,2,438,27.98
Brooks,Quitman,4117,2340,1406,908,17,2331,60.76
Bryan,Black Creek,2995,1872,393,1442,21,1856,21.42
Bryan,Danielsiding,2291,1682,435,1213,29,1677,26.4
Bryan,Ellabell,2341,1626,302,1300,17,1619,18.85
Bryan,Hwy 144 East,5365,4015,1393,2528,71,3992,35.53
Bryan,JF Gregory Park,2885,2275,573,1654,35,2262,25.73
Bryan,Keller,4270,3290,1017,2205,43,3265,31.56
Bryan,Pembroke,2653,1731,567,1111,32,1710,33.79
Bryan,Public Safety Complex,2570,1621,635,937,41,1613,40.39
Bryan,RH Rec Complex,3264,2082,888,1137,47,2072,43.85
Bryan,Ways Station,1974,1280,536,717,21,1274,42.78
Bulloch,Bay,1610,1204,203,987,12,1202,17.06
Bulloch,Blitch,1947,1547,398,1129,12,1539,26.06
Bulloch,Brooklet,3351,2492,565,1880,35,2480,23.11
Bulloch,Church,5793,3812,1988,1737,63,3788,53.37
Bulloch,Emit,3360,2436,757,1620,49,2426,31.85
Bulloch,Fair,6335,4365,1705,2559,75,4339,39.99
Bulloch,Hagin,2403,1672,575,1079,14,1668,34.76
Bulloch,Leefield,1000,756,112,630,13,755,15.09
Bulloch,Lockhart,720,543,150,385,3,538,28.04
Bulloch,Nevils,1299,921,169,740,12,921,18.59
Bulloch,Pittman Park,5279,2813,1725,992,75,2792,63.49
Bulloch,Portal,1735,1164,309,839,10,1158,26.92
Bulloch,Register,969,641,217,411,10,638,34.55
