"from_2020","to_2024","weight_area","weight_pop","diff"
"NA|NA","NA|NA",1e-06,0.893795,0.893794
"NA|NA","NA|NA",6e-06,0.893795,0.893789
"NA|NA","NA|NA",1.1e-05,0.893795,0.893784
"NA|NA","NA|NA",1.2e-05,0.893795,0.893783
"NA|NA","NA|NA",1.5e-05,0.893795,0.89378
"NA|NA","NA|NA",1.5e-05,0.893795,0.89378
"NA|NA","NA|NA",1.7e-05,0.893795,0.893778
"NA|NA","NA|NA",2.5e-05,0.893795,0.89377
"NA|NA","NA|NA",2.8e-05,0.893795,0.893767
"NA|NA","NA|NA",6.1e-05,0.893795,0.893734
"NA|NA","NA|NA",7.1e-05,0.893795,0.893724
"NA|NA","NA|NA",0.000157,0.893795,0.893638
"NA|NA","NA|NA",0.000659,0.893795,0.893136
"NA|NA","NA|NA",0.000769,0.893795,0.893026
"NA|NA","NA|NA",0.003249,0.893795,0.890546
"CHATHAM|ELI WHITNEY COMPLEX","CHATHAM|ELI WHITNEY COMPLEX",0.110056,1,0.889944
"NA|NA","NA|NA",0.004219,0.893795,0.889576
"NA|NA","NA|NA",0.005244,0.893795,0.888551
"NA|NA","NA|NA",0.013764,0.893795,0.880031
"NA|NA","NA|NA",0.017365,0.893795,0.87643
"NA|NA","NA|NA",0.036925,0.893795,0.85687
"NA|NA","NA|NA",0.14578,0.893795,0.748015
"NA|NA","NA|NA",0.15009,0.893795,0.743705
"TURNER|ASHBURN","TURNER|ASHBURN",0.040677,0.749258,0.708581
"WARE|400","WARE|400 - SECOND BAPTIST CHURCH",0.919235,0.223236,-0.695999
"WARE|400","WARE|200C - SECOND BAPTIST CHURCH",0.080473,0.768041,0.687568
"FULTON|CP07D","FULTON|CP07F",0.332771,0.984199,0.651428
"FULTON|CP07D","FULTON|CP07D",0.66722,0.015801,-0.651419
"NA|NA","NA|NA",0.244147,0.893795,0.649648
"FULTON|SC01A","FULTON|SC31",0.285676,0.93271,0.647034
"FULTON|SC01A","FULTON|SC01A",0.714322,0.06729,-0.647032
