"target","w_area","w_pop","pop","ballots_area","ballots_pop","ballots_total"
"25 WINDERMERE",0.54041,0.75469,13435,4304,6011,7965
"38 DAVES CREEK",0.435026,0.24531,4367,3465,1954,7965
"07 CUMMING",0.021987,0,0,175,0,7965
