county,precinct,contest,candidate,party,method,votes
Candler,Jack Strickland Community Center,President of the US,Donald J. Trump,REP,Election Day,613
Candler,Jack Strickland Community Center,President of the US,Donald J. Trump,REP,Absentee by Mail,66
Candler,Jack Strickland Community Center,President of the US,Donald J. Trump,REP,Provisional,0
Candler,Jack Strickland Community Center,President of the US,Donald J. Trump,REP,Advanced Voting,2687
Candler,Jack Strickland Community Center,President of the US,Kamala D. Harris,DEM,Election Day,325
Candler,Jack Strickland Community Center,President of the US,Kamala D. Harris,DEM,Absentee by Mail,69
Candler,Jack Strickland Community Center,President of the US,Kamala D. Harris,DEM,Provisional,0
Candler,Jack Strickland Community Center,President of the US,Kamala D. Harris,DEM,Advanced Voting,802
Candler,Jack Strickland Community Center,President of the US,Chase Oliver,OTH,Election Day,1
Candler,Jack Strickland Community Center,President of the US,Chase Oliver,OTH,Absentee by Mail,0
Candler,Jack Strickland Community Center,President of the US,Chase Oliver,OTH,Provisional,0
Candler,Jack Strickland Community Center,President of the US,Chase Oliver,OTH,Advanced Voting,2
Candler,Jack Strickland Community Center,President of the US,Jill Stein,OTH,Election Day,2
Candler,Jack Strickland Community Center,President of the US,Jill Stein,OTH,Absentee by Mail,0
Candler,Jack Strickland Community Center,President of the US,Jill Stein,OTH,Provisional,0
Candler,Jack Strickland Community Center,President of the US,Jill Stein,OTH,Advanced Voting,1
Bleckley,1,President of the US,Donald J. Trump,REP,Election Day,995
Bleckley,1,President of the US,Donald J. Trump,REP,Absentee by Mail,145
Bleckley,1,President of the US,Donald J. Trump,REP,Provisional,0
Bleckley,1,President of the US,Donald J. Trump,REP,Advanced Voting,3545
Bleckley,1,President of the US,Kamala D. Harris,DEM,Election Day,425
Bleckley,1,President of the US,Kamala D. Harris,DEM,Absentee by Mail,117
Bleckley,1,President of the US,Kamala D. Harris,DEM,Provisional,0
Bleckley,1,President of the US,Kamala D. Harris,DEM,Advanced Voting,797
Bleckley,1,President of the US,Chase Oliver,OTH,Election Day,5
Bleckley,1,President of the US,Chase Oliver,OTH,Absentee by Mail,0
Bleckley,1,President of the US,Chase Oliver,OTH,Provisional,0
Bleckley,1,President of the US,Chase Oliver,OTH,Advanced Voting,8
Bleckley,1,President of the US,Jill Stein,OTH,Election Day,1
Bleckley,1,President of the US,Jill Stein,OTH,Absentee by Mail,1
Bleckley,1,President of the US,Jill Stein,OTH,Provisional,0
Bleckley,1,President of the US,Jill Stein,OTH,Advanced Voting,5
Glascock,Edgehill,President of the US,Donald J. Trump,REP,(not reported),128
Glascock,Gibson,President of the US,Donald J. Trump,REP,Election Day,102
Glascock,Gibson,President of the US,Donald J. Trump,REP,Absentee by Mail,13
Glascock,Gibson,President of the US,Donald J. Trump,REP,Provisional,0
Glascock,Gibson,President of the US,Donald J. Trump,REP,Advanced Voting,344
Glascock,Mill,President of the US,Donald J. Trump,REP,Election Day,173
Glascock,Mill,President of the US,Donald J. Trump,REP,Absentee by Mail,25
Glascock,Mill,President of the US,Donald J. Trump,REP,Provisional,0
Glascock,Mill,President of the US,Donald J. Trump,REP,Advanced Voting,385
Glascock,Mitchell,President of the US,Donald J. Trump,REP,Election Day,123
Glascock,Mitchell,President of the US,Donald J. Trump,REP,Absentee by Mail,7
Glascock,Mitchell,President of the US,Donald J. Trump,REP,Provisional,0
Glascock,Mitchell,President of the US,Donald J. Trump,REP,Advanced Voting,234
Glascock,Edgehill,President of the US,Kamala D. Harris,DEM,(not reported),14
Glascock,Gibson,President of the US,Kamala D. Harris,DEM,Election Day,18
Glascock,Gibson,President of the US,Kamala D. Harris,DEM,Absentee by Mail,8
Glascock,Gibson,President of the US,Kamala D. Harris,DEM,Provisional,0
Glascock,Gibson,President of the US,Kamala D. Harris,DEM,Advanced Voting,25
Glascock,Mill,President of the US,Kamala D. Harris,DEM,Election Day,11
Glascock,Mill,President of the US,Kamala D. Harris,DEM,Absentee by Mail,0
Glascock,Mill,President of the US,Kamala D. Harris,DEM,Provisional,0
Glascock,Mill,President of the US,Kamala D. Harris,DEM,Advanced Voting,24
Glascock,Mitchell,President of the US,Kamala D. Harris,DEM,Election Day,9
Glascock,Mitchell,President of the US,Kamala D. Harris,DEM,Absentee by Mail,6
Glascock,Mitchell,President of the US,Kamala D. Harris,DEM,Provisional,0
Glascock,Mitchell,President of the US,Kamala D. Harris,DEM,Advanced Voting,18
Glascock,Edgehill,President of the US,Chase Oliver,OTH,(not reported),0
Glascock,Gibson,President of the US,Chase Oliver,OTH,Election Day,0
Glascock,Gibson,President of the US,Chase Oliver,OTH,Absentee by Mail,0
Glascock,Gibson,President of the US,Chase Oliver,OTH,Provisional,0
Glascock,Gibson,President of the US,Chase Oliver,OTH,Advanced Voting,0
Glascock,Mill,President of the US,Chase Oliver,OTH,Election Day,0
Glascock,Mill,President of the US,Chase Oliver,OTH,Absentee by Mail,1
Glascock,Mill,President of the US,Chase Oliver,OTH,Provisional,0
Glascock,Mill,President of the US,Chase Oliver,OTH,Advanced Voting,0
Glascock,Mitchell,President of the US,Chase Oliver,OTH,Election Day,0
Glascock,Mitchell,President of the US,Chase Oliver,OTH,Absentee by Mail,0
Glascock,Mitchell,President of the US,Chase Oliver,OTH,Provisional,0
Glascock,Mitchell,President of the US,Chase Oliver,OTH,Advanced Voting,2
Glascock,Edgehill,President of the US,Jill Stein,OTH,(not reported),0
Glascock,Gibson,President of the US,Jill Stein,OTH,Election Day,0
Glascock,Gibson,President of the US,Jill Stein,OTH,Absentee by Mail,0
Glascock,Gibson,President of the US,Jill Stein,OTH,Provisional,0
Glascock,Gibson,President of the US,Jill Stein,OTH,Advanced Voting,0
Glascock,Mill,President of the US,Jill Stein,OTH,Election Day,0
Glascock,Mill,President of the US,Jill Stein,OTH,Absentee by Mail,0
Glascock,Mill,President of the US,Jill Stein,OTH,Provisional,0
Glascock,Mill,President of the US,Jill Stein,OTH,Advanced Voting,0
Glascock,Mitchell,President of the US,Jill Stein,OTH,Election Day,0
Glascock,Mitchell,President of the US,Jill Stein,OTH,Absentee by Mail,0
Glascock,Mitchell,President of the US,Jill Stein,OTH,Provisional,0
Glascock,Mitchell,President of the US,Jill Stein,OTH,Advanced Voting,0
Johnson,Bray,President of the US,Donald J. Trump,REP,Election Day,123
Johnson,Bray,President of the US,Donald J. Trump,REP,Absentee by Mail,18
Johnson,Bray,President of the US,Donald J. Trump,REP,Provisional,0
Johnson,Bray,President of the US,Donald J. Trump,REP,Advanced Voting,308
Johnson,Kite,President of the US,Donald J. Trump,REP,Election Day,308
Johnson,Kite,President of the US,Donald J. Trump,REP,Absentee by Mail,17
Johnson,Kite,President of the US,Donald J. Trump,REP,Provisional,0
Johnson,Kite,President of the US,Donald J. Trump,REP,Advanced Voting,327
Johnson,Smith,President of the US,Donald J. Trump,REP,Election Day,272
Johnson,Smith,President of the US,Donald J. Trump,REP,Absentee by Mail,15
Johnson,Smith,President of the US,Donald J. Trump,REP,Provisional,0
Johnson,Smith,President of the US,Donald J. Trump,REP,Advanced Voting,262
Johnson,Wrightsville,President of the US,Donald J. Trump,REP,Election Day,191
Johnson,Wrightsville,President of the US,Donald J. Trump,REP,Absentee by Mail,46
Johnson,Wrightsville,President of the US,Donald J. Trump,REP,Provisional,0
Johnson,Wrightsville,President of the US,Donald J. Trump,REP,Advanced Voting,1026
Johnson,Bray,President of the US,Kamala D. Harris,DEM,Election Day,53
Johnson,Bray,President of the US,Kamala D. Harris,DEM,Absentee by Mail,12
Johnson,Bray,President of the US,Kamala D. Harris,DEM,Provisional,0
Johnson,Bray,President of the US,Kamala D. Harris,DEM,Advanced Voting,81
Johnson,Kite,President of the US,Kamala D. Harris,DEM,Election Day,19
Johnson,Kite,President of the US,Kamala D. Harris,DEM,Absentee by Mail,4
Johnson,Kite,President of the US,Kamala D. Harris,DEM,Provisional,0
Johnson,Kite,President of the US,Kamala D. Harris,DEM,Advanced Voting,27
Johnson,Smith,President of the US,Kamala D. Harris,DEM,Election Day,31
Johnson,Smith,President of the US,Kamala D. Harris,DEM,Absentee by Mail,3
Johnson,Smith,President of the US,Kamala D. Harris,DEM,Provisional,0
Johnson,Smith,President of the US,Kamala D. Harris,DEM,Advanced Voting,29
Johnson,Wrightsville,President of the US,Kamala D. Harris,DEM,Election Day,225
Johnson,Wrightsville,President of the US,Kamala D. Harris,DEM,Absentee by Mail,74
Johnson,Wrightsville,President of the US,Kamala D. Harris,DEM,Provisional,0
Johnson,Wrightsville,President of the US,Kamala D. Harris,DEM,Advanced Voting,508
Johnson,Bray,President of the US,Chase Oliver,OTH,Election Day,0
Johnson,Bray,President of the US,Chase Oliver,OTH,Absentee by Mail,0
Johnson,Bray,President of the US,Chase Oliver,OTH,Provisional,0
Johnson,Bray,President of the US,Chase Oliver,OTH,Advanced Voting,0
Johnson,Kite,President of the US,Chase Oliver,OTH,Election Day,1
Johnson,Kite,President of the US,Chase Oliver,OTH,Absentee by Mail,0
Johnson,Kite,President of the US,Chase Oliver,OTH,Provisional,0
Johnson,Kite,President of the US,Chase Oliver,OTH,Advanced Voting,1
Johnson,Smith,President of the US,Chase Oliver,OTH,Election Day,2
Johnson,Smith,President of the US,Chase Oliver,OTH,Absentee by Mail,0
Johnson,Smith,President of the US,Chase Oliver,OTH,Provisional,0
Johnson,Smith,President of the US,Chase Oliver,OTH,Advanced Voting,0
Johnson,Wrightsville,President of the US,Chase Oliver,OTH,Election Day,1
Johnson,Wrightsville,President of the US,Chase Oliver,OTH,Absentee by Mail,0
Johnson,Wrightsville,President of the US,Chase Oliver,OTH,Provisional,0
Johnson,Wrightsville,President of the US,Chase Oliver,OTH,Advanced Voting,0
Johnson,Bray,President of the US,Jill Stein,OTH,Election Day,0
Johnson,Bray,President of the US,Jill Stein,OTH,Absentee by Mail,0
Johnson,Bray,President of the US,Jill Stein,OTH,Provisional,0
Johnson,Bray,President of the US,Jill Stein,OTH,Advanced Voting,0
Johnson,Kite,President of the US,Jill Stein,OTH,Election Day,0
Johnson,Kite,President of the US,Jill Stein,OTH,Absentee by Mail,0
Johnson,Kite,President of the US,Jill Stein,OTH,Provisional,0
Johnson,Kite,President of the US,Jill Stein,OTH,Advanced Voting,0
Johnson,Smith,President of the US,Jill Stein,OTH,Election Day,0
Johnson,Smith,President of the US,Jill Stein,OTH,Absentee by Mail,0
Johnson,Smith,President of the US,Jill Stein,OTH,Provisional,0
Johnson,Smith,President of the US,Jill Stein,OTH,Advanced Voting,0
Johnson,Wrightsville,President of the US,Jill Stein,OTH,Election Day,0
Johnson,Wrightsville,President of the US,Jill Stein,OTH,Absentee by Mail,0
Johnson,Wrightsville,President of the US,Jill Stein,OTH,Provisional,0
