county,contest,candidate,party,votes,registered,ballots_cast
Stewart,President of the United States (Vote For 1),Joseph R. Biden,DEM,1182,2893,2006
Stewart,President of the United States (Vote For 1),Jo Jorgensen,OTH,7,2893,2006
Sumter,President of the United States (Vote For 1),Donald J. Trump,REP,5733,17800,12175
Sumter,President of the United States (Vote For 1),Joseph R. Biden,DEM,6314,17800,12175
Sumter,President of the United States (Vote For 1),Jo Jorgensen,OTH,101,17800,12175
Talbot,President of the United States (Vote For 1),Donald J. Trump,REP,1392,4563,3544
Talbot,President of the United States (Vote For 1),Joseph R. Biden,DEM,2114,4563,3544
Talbot,President of the United States (Vote For 1),Jo Jorgensen,OTH,16,4563,3544
Taliaferro,President of the United States (Vote For 1),Donald J. Trump,REP,360,1245,934
Taliaferro,President of the United States (Vote For 1),Joseph R. Biden,DEM,561,1245,934
Taliaferro,President of the United States (Vote For 1),Jo Jorgensen,OTH,7,1245,934
Tattnall,President of the United States (Vote For 1),Donald J. Trump,REP,6054,12184,8211
Tattnall,President of the United States (Vote For 1),Joseph R. Biden,DEM,2062,12184,8211
Tattnall,President of the United States (Vote For 1),Jo Jorgensen,OTH,69,12184,8211
Taylor,President of the United States (Vote For 1),Donald J. Trump,REP,2420,5400,3860
Taylor,President of the United States (Vote For 1),Joseph R. Biden,DEM,1388,5400,3860
Taylor,President of the United States (Vote For 1),Jo Jorgensen,OTH,34,5400,3860
Telfair,President of the United States (Vote For 1),Donald J. Trump,REP,2825,6032,4354
Telfair,President of the United States (Vote For 1),Joseph R. Biden,DEM,1488,6032,4354
Telfair,President of the United States (Vote For 1),Jo Jorgensen,OTH,21,6032,4354
Terrell,President of the United States (Vote For 1),Donald J. Trump,REP,2004,6594,4437
Terrell,President of the United States (Vote For 1),Joseph R. Biden,DEM,2376,6594,4437
Terrell,President of the United States (Vote For 1),Jo Jorgensen,OTH,36,6594,4437
Thomas,President of the United States (Vote For 1),Donald J. Trump,REP,12969,30028,21969
Thomas,President of the United States (Vote For 1),Joseph R. Biden,DEM,8708,30028,21969
Thomas,President of the United States (Vote For 1),Jo Jorgensen,OTH,195,30028,21969
Tift,President of the United States (Vote For 1),Donald J. Trump,REP,10784,24449,16351
Tift,President of the United States (Vote For 1),Joseph R. Biden,DEM,5318,24449,16351
Tift,President of the United States (Vote For 1),Jo Jorgensen,OTH,177,24449,16351
Toombs,President of the United States (Vote For 1),Donald J. Trump,REP,7873,16134,10963
Toombs,President of the United States (Vote For 1),Joseph R. Biden,DEM,2938,16134,10963
Toombs,President of the United States (Vote For 1),Jo Jorgensen,OTH,103,16134,10963
Towns,President of the United States (Vote For 1),Donald J. Trump,REP,6384,10693,8016
Towns,President of the United States (Vote For 1),Joseph R. Biden,DEM,1550,10693,8016
Towns,President of the United States (Vote For 1),Jo Jorgensen,OTH,45,10693,8016
Treutlen,President of the United States (Vote For 1),Donald J. Trump,REP,2101,4223,3095
Treutlen,President of the United States (Vote For 1),Joseph R. Biden,DEM,952,4223,3095
Treutlen,President of the United States (Vote For 1),Jo Jorgensen,OTH,24,4223,3095
Troup,President of the United States (Vote For 1),Donald J. Trump,REP,18142,42964,30184
Troup,President of the United States (Vote For 1),Joseph R. Biden,DEM,11577,42964,30184
Troup,President of the United States (Vote For 1),Jo Jorgensen,OTH,328,42964,30184
Turner,President of the United States (Vote For 1),Donald J. Trump,REP,2349,5582,3808
Turner,President of the United States (Vote For 1),Joseph R. Biden,DEM,1409,5582,3808
Turner,President of the United States (Vote For 1),Jo Jorgensen,OTH,33,5582,3808
Twiggs,President of the United States (Vote For 1),Donald J. Trump,REP,2370,6304,4458
Twiggs,President of the United States (Vote For 1),Joseph R. Biden,DEM,2044,6304,4458
Twiggs,President of the United States (Vote For 1),Jo Jorgensen,OTH,30,6304,4458
Union,President of the United States (Vote For 1),Donald J. Trump,REP,12650,19201,15644
Union,President of the United States (Vote For 1),Joseph R. Biden,DEM,2800,19201,15644
Union,President of the United States (Vote For 1),Jo Jorgensen,OTH,108,19201,15644
Upson,President of the United States (Vote For 1),Donald J. Trump,REP,8606,18175,12949
Upson,President of the United States (Vote For 1),Joseph R. Biden,DEM,4203,18175,12949
Upson,President of the United States (Vote For 1),Jo Jorgensen,OTH,96,18175,12949
Walker,President of the United States (Vote For 1),Donald J. Trump,REP,23173,42924,29514
Walker,President of the United States (Vote For 1),Joseph R. Biden,DEM,5770,42924,29514
Walker,President of the United States (Vote For 1),Jo Jorgensen,OTH,411,42924,29514
Walton,President of the United States (Vote For 1),Donald J. Trump,REP,37839,70006,51289
Walton,President of the United States (Vote For 1),Joseph R. Biden,DEM,12683,70006,51289
Walton,President of the United States (Vote For 1),Jo Jorgensen,OTH,571,70006,51289
Ware,President of the United States (Vote For 1),Donald J. Trump,REP,9903,21994,14253
Ware,President of the United States (Vote For 1),Joseph R. Biden,DEM,4169,21994,14253
Ware,President of the United States (Vote For 1),Jo Jorgensen,OTH,117,21994,14253
Warren,President of the United States (Vote For 1),Donald J. Trump,REP,1166,3785,2663
Warren,President of the United States (Vote For 1),Joseph R. Biden,DEM,1468,3785,2663
Warren,President of the United States (Vote For 1),Jo Jorgensen,OTH,16,3785,2663
Washington,President of the United States (Vote For 1),Donald J. Trump,REP,4668,12990,9525
Washington,President of the United States (Vote For 1),Joseph R. Biden,DEM,4743,12990,9525
Washington,President of the United States (Vote For 1),Jo Jorgensen,OTH,66,12990,9525
Wayne,President of the United States (Vote For 1),Donald J. Trump,REP,9987,18104,12810
Wayne,President of the United States (Vote For 1),Joseph R. Biden,DEM,2688,18104,12810
Wayne,President of the United States (Vote For 1),Jo Jorgensen,OTH,104,18104,12810
Webster,President of the United States (Vote For 1),Donald J. Trump,REP,748,1705,1400
Webster,President of the United States (Vote For 1),Joseph R. Biden,DEM,640,1705,1400
Webster,President of the United States (Vote For 1),Jo Jorgensen,OTH,3,1705,1400
Wheeler,President of the United States (Vote For 1),Donald J. Trump,REP,1583,3161,2298
Wheeler,President of the United States (Vote For 1),Joseph R. Biden,DEM,689,3161,2298
Wheeler,President of the United States (Vote For 1),Jo Jorgensen,OTH,13,3161,2298
White,President of the United States (Vote For 1),Donald J. Trump,REP,12222,20622,14897
White,President of the United States (Vote For 1),Joseph R. Biden,DEM,2411,20622,14897
White,President of the United States (Vote For 1),Jo Jorgensen,OTH,183,20622,14897
Whitfield,President of the United States (Vote For 1),Donald J. Trump,REP,25644,54749,36957
Whitfield,President of the United States (Vote For 1),Joseph R. Biden,DEM,10680,54749,36957
Whitfield,President of the United States (Vote For 1),Jo Jorgensen,OTH,442,54749,36957
Wilcox,President of the United States (Vote For 1),Donald J. Trump,REP,2402,4661,3292
Wilcox,President of the United States (Vote For 1),Joseph R. Biden,DEM,861,4661,3292
Wilcox,President of the United States (Vote For 1),Jo Jorgensen,OTH,16,4661,3292
Wilkes,President of the United States (Vote For 1),Donald J. Trump,REP,2823,6819,5054
Wilkes,President of the United States (Vote For 1),Joseph R. Biden,DEM,2160,6819,5054
Wilkes,President of the United States (Vote For 1),Jo Jorgensen,OTH,47,6819,5054
Wilkinson,President of the United States (Vote For 1),Donald J. Trump,REP,2665,6470,4791
Wilkinson,President of the United States (Vote For 1),Joseph R. Biden,DEM,2074,6470,4791
Wilkinson,President of the United States (Vote For 1),Jo Jorgensen,OTH,31,6470,4791
Worth,President of the United States (Vote For 1),Donald J. Trump,REP,6830,14469,9315
Worth,President of the United States (Vote For 1),Joseph R. Biden,DEM,2395,14469,9315
Worth,President of the United States (Vote For 1),Jo Jorgensen,OTH,60,14469,9315
