"county","candidate","original","recount","change","pct_change"
"Lamar","Donald J. Trump",6330,6331,1,0.016
"Laurens","Joseph R. Biden",8073,8074,1,0.012
"Long","Donald J. Trump",3528,3527,-1,-0.028
"Lowndes","Donald J. Trump",25691,25692,1,0.004
"Lowndes","Joseph R. Biden",20117,20116,-1,-0.005
"Macon","Joseph R. Biden",2857,2858,1,0.035
"Marion","Joseph R. Biden",1311,1312,1,0.076
"Miller","Joseph R. Biden",749,748,-1,-0.134
"Monroe","Joseph R. Biden",4384,4385,1,0.023
"Montgomery","Joseph R. Biden",979,980,1,0.102
"Morgan","Donald J. Trump",8230,8231,1,0.012
"Murray","Donald J. Trump",12943,12944,1,0.008
"Murray","Joseph R. Biden",2302,2301,-1,-0.043
"Oglethorpe","Donald J. Trump",5593,5592,-1,-0.018
"Pierce","Donald J. Trump",7899,7898,-1,-0.013
"Polk","Joseph R. Biden",3658,3657,-1,-0.027
"Randolph","Donald J. Trump",1391,1390,-1,-0.072
"Richmond","Donald J. Trump",26781,26780,-1,-0.004
"Screven","Donald J. Trump",3916,3915,-1,-0.026
"Stephens","Donald J. Trump",9368,9367,-1,-0.011
"Stephens","Joseph R. Biden",2385,2386,1,0.042
"Sumter","Donald J. Trump",5732,5733,1,0.017
"Tattnall","Donald J. Trump",6053,6054,1,0.017
"Tattnall","Joseph R. Biden",2061,2062,1,0.049
"Taylor","Joseph R. Biden",1387,1388,1,0.072
"Telfair","Joseph R. Biden",1487,1488,1,0.067
"Toombs","Donald J. Trump",7872,7873,1,0.013
"Toombs","Joseph R. Biden",2939,2938,-1,-0.034
"Troup","Donald J. Trump",18143,18142,-1,-0.006
"Troup","Joseph R. Biden",11578,11577,-1,-0.009
"Turner","Joseph R. Biden",1410,1409,-1,-0.071
"Union","Donald J. Trump",12651,12650,-1,-0.008
"Union","Joseph R. Biden",2801,2800,-1,-0.036
"Walker","Donald J. Trump",23174,23173,-1,-0.004
"Walker","Joseph R. Biden",5769,5770,1,0.017
"Walton","Joseph R. Biden",12682,12683,1,0.008
"Warren","Joseph R. Biden",1469,1468,-1,-0.068
