"county","precincts","Joseph R. Biden","Donald J. Trump","Jo Jorgensen","total","dem_two_party_pct"
"Appling",9,1779,6526,36,8341,21.42
"Atkinson",4,825,2300,30,3155,26.4
"Bacon",1,625,4018,25,4668,13.46
"Baker",5,652,897,6,1555,42.09
"Baldwin",14,9140,8903,208,18251,50.66
"Banks",13,932,7795,74,8801,10.68
"Barrow",8,10453,26804,664,37921,28.06
"Bartow",17,12092,37674,701,50467,24.3
"Ben Hill",2,2392,4110,58,6560,36.79
"Berrien",5,1269,6419,55,7743,16.51
"Bibb",31,43468,26585,749,70802,62.05
"Bleckley",1,1311,4328,67,5706,23.25
"Brantley",3,699,6991,56,7746,9.09
"Brooks",7,2790,4260,50,7100,39.57
"Bryan",10,6739,14244,357,21340,32.12
"Bulloch",16,11243,18386,455,30084,37.95
"Burke",16,5209,5400,75,10684,49.1
"Butts",1,3274,8406,91,11771,28.03
"Calhoun",5,1260,923,11,2194,57.72
"Camden",14,7967,15251,470,23688,34.31
"Candler",1,1269,3133,29,4431,28.83
"Carroll",28,16238,37476,760,54474,30.23
"Catoosa",11,6932,25167,494,32593,21.6
"Charlton",8,1103,3419,44,4566,24.39
"Chatham",92,78254,53237,1929,133420,59.51
"Chattahoochee",1,667,880,35,1582,43.12
"Chattooga",13,1854,8064,132,10050,18.69
"Cherokee",42,42794,99587,2449,144830,30.06
"Clarke",24,36048,14446,839,51333,71.39
"Clay",5,790,637,7,1434,55.36
"Clayton",65,95476,15813,1055,112344,85.79
"Clinch",5,747,2105,12,2864,26.19
"Cobb",145,221846,165459,6441,393746,57.28
"Coffee",6,4511,10578,125,15214,29.9
"Colquitt",19,4187,11777,119,16083,26.23
"Columbia",47,29236,50013,1330,80579,36.89
"Cook",8,2059,4900,76,7035,29.59
"Coweta",26,24210,51501,1088,76799,31.98
"Crawford",6,1615,4428,59,6102,26.73
"Crisp",5,2986,4987,66,8039,37.45
"Dade",7,1261,6066,107,7434,17.21
"Dawson",3,2486,13398,197,16081,15.65
"DeKalb",191,308227,58373,4204,370804,84.08
"Decatur",9,4780,6758,89,11627,41.43
"Dodge",16,2171,5843,56,8070,27.09
"Dooly",5,1911,2159,35,4105,46.95
"Dougherty",28,24577,10454,280,35311,70.16
"Douglas",25,42809,25451,837,69097,62.71
"Early",5,2437,2722,28,5187,47.24
"Echols",1,167,1256,18,1441,11.74
"Effingham",17,7720,23358,492,31570,24.84
"Elbert",11,2879,6226,66,9171,31.62
"Emanuel",11,2884,6551,66,9501,30.57
"Evans",1,1324,2888,35,4247,31.43
"Fannin",12,2571,12169,110,14850,17.44
"Fayette",36,33065,37952,976,71993,46.56
"Floyd",25,12008,29123,517,41648,29.19
"Forsyth",20,42203,85122,1980,129305,33.15
"Franklin",7,1593,9069,103,10765,14.94
"Fulton",384,381144,137240,6275,524659,73.53
"Gilmer",13,2932,13429,164,16525,17.92
"Glascock",4,155,1403,8,1566,9.95
"Glynn",20,15879,25616,489,41984,38.27
"Gordon",12,4384,19405,244,24033,18.43
"Grady",13,3619,7034,54,10707,33.97
"Greene",5,4088,7068,91,11247,36.64
"Gwinnett",156,241827,166413,5625,413865,59.24
"Habersham",7,3563,16637,232,20432,17.64
"Hall",31,25031,64170,1322,90523,28.06
"Hancock",10,2985,1159,21,4165,72.03
"Haralson",12,1792,12331,125,14248,12.69
"Harris",12,5457,14319,215,19991,27.59
"Hart",7,3157,9464,106,12727,25.01
"Heard",6,824,4516,51,5391,15.43
"Henry",37,73276,48187,1279,122742,60.33
"Houston",16,32232,41534,1057,74823,43.69
"Irwin",3,1008,3134,26,4168,24.34
"Jackson",4,7642,29497,531,37670,20.58
"Jasper",3,1761,5822,61,7644,23.22
"Jeff Davis",9,1028,4695,48,5771,17.96
"Jefferson",8,4061,3537,44,7642,53.45
"Jenkins",5,1266,2161,28,3455,36.94
"Johnson",4,1222,2850,28,4100,30.01
"Jones",10,4888,9965,113,14966,32.91
"Lamar",6,2615,6330,94,9039,29.23
"Lanier",1,1019,2509,48,3576,28.88
"Laurens",16,8073,14493,163,22729,35.78
"Lee",10,4558,12007,149,16714,27.52
"Liberty",13,13099,7959,331,21389,62.2
"Lincoln",7,1435,3179,36,4650,31.1
"Long",7,2033,3528,95,5656,36.56
"Lowndes",13,20117,25691,547,46355,43.92
"Lumpkin",1,3126,12163,242,15531,20.45
"Macon",5,2857,1783,22,4662,61.57
"Madison",12,3411,11326,200,14937,23.15
"Marion",5,1311,2275,38,3624,36.56
"McDuffie",9,4168,6169,118,10455,40.32
"McIntosh",6,2612,4016,68,6696,39.41
"Meriwether",14,4287,6524,66,10877,39.65
"Miller",1,749,2066,20,2835,26.61
"Mitchell",11,3995,4935,33,8963,44.74
"Monroe",14,4384,11060,148,15592,28.39
"Montgomery",7,979,2960,27,3966,24.85
"Morgan",7,3355,8230,122,11707,28.96
"Murray",7,2302,12943,144,15389,15.1
"Muscogee",25,49529,30049,965,80543,62.24
"Newton",22,29794,23869,576,54239,55.52
"Oconee",12,8162,16595,411,25168,32.97
"Oglethorpe",3,2436,5593,102,8131,30.34
"Paulding",19,29704,54525,1156,85385,35.27
"Peach",7,5920,6502,123,12545,47.66
"Pickens",12,2808,14075,233,17116,16.63
"Pierce",8,1100,7899,49,9048,12.22
"Pike",8,1505,9127,88,10720,14.16
"Polk",7,3658,13589,152,17399,21.21
"Pulaski",1,1217,2805,37,4059,30.26
"Putnam",5,3448,8291,116,11855,29.37
"Quitman",2,497,604,5,1106,45.14
"Rabun",1,1984,7474,110,9568,20.98
"Randolph",6,1671,1391,12,3074,54.57
