"to_2024","TRUMP20","BIDEN20","JORGENSON2","PURDUE20","OSSOFF20","HAZEL20","LOEFFLER20","COLLINS20","WARNOCK20","REG20","VOTED20"
"APPLING|1B",870,116,7,828,134,16,271,289,72,1362,993
"APPLING|1C",595,47,2,580,47,6,141,216,29,907,669
"APPLING|2",530,904,9,513,861,32,145,171,557,2406,1451
"APPLING|3A1",587,20,4,570,25,5,179,239,12,831,612
"APPLING|3C",843,289,4,819,282,22,191,324,156,1679,1140
"APPLING|4B",647,23,2,639,25,2,241,206,12,882,697
"APPLING|4D",1048,130,1,1021,129,15,261,395,72,1569,1178
"APPLING|5A",697,118,5,660,115,17,170,256,65,1264,815
"APPLING|5B",709,132,2,676,136,13,208,259,76,1169,846
"ATKINSON|AXSON",479,45,3,461,46,10,166,244,19,751,526
"ATKINSON|PEARSON CITY",229,329,6,238,293,12,100,95,157,966,570
"ATKINSON|PEARSON COUNTY",1026,160,11,1008,164,13,442,450,74,1834,1196
"ATKINSON|WILLACOOCHEE",566,291,10,565,270,17,238,249,156,1327,875
"BACON|DOUGLAS",4018,625,25,3929,591,70,1547,1646,315,6945,4674
"BAKER|ANNA",178,106,0,176,103,1,89,69,64,395,287
"BAKER|ELMODEL",126,110,0,122,110,3,56,59,78,349,236
"BAKER|HOGGARDS MILL",136,118,3,129,122,2,60,53,78,392,258
"BAKER|MILFORD",432,298,2,420,295,7,196,195,223,1081,734
"BAKER|NEWTON",26,19,0,25,19,1,12,12,15,69,45
"BALDWIN|BODDIE",317,724,11,327,696,23,155,144,465,1888,1059
"BALDWIN|CITY HALL ANNEX",199,404,8,199,384,21,106,73,237,1194,618
"BALDWIN|COOPERS",784,320,10,768,307,27,398,298,215,1587,1119
"BALDWIN|COURTHOUSE",60,94,3,60,93,4,25,23,61,280,157
"BALDWIN|EAST BALDWIN",1600,1181,28,1580,1148,63,872,594,811,3936,2824
"BALDWIN|EAST HARDWICK",140,520,12,139,496,19,49,52,358,1328,672
"BALDWIN|MERIWETHER",1366,831,26,1359,789,56,703,583,564,2890,2233
"BALDWIN|NORTH BALDWIN",1892,812,24,1883,781,48,1021,768,537,3612,2748
"BALDWIN|NORTH MILLEDGEVILLE",633,787,18,641,753,34,331,272,507,2028,1444
"BALDWIN|SCOTTSBORO",426,275,8,407,271,21,219,153,197,1118,713
"BALDWIN|SOUTH MILLEDGEVILLE",161,526,8,164,515,12,69,55,356,1174,701
"BALDWIN|WEST BALDWIN",731,604,19,735,579,24,388,290,425,1887,1357
"BALDWIN|WEST HARDWICK",400,1421,22,411,1357,51,203,141,989,2930,1850
"BALDWIN|WEST THOMAS",198,646,9,203,620,23,103,76,448,1402,856
"BANKS|ANDERSON",903,100,12,884,98,26,312,533,78,1559,1024
"BANKS|BALDWIN",528,103,6,504,111,13,171,321,66,900,640
"BANKS|BERLIN",266,29,0,263,27,4,105,144,14,422,303
"BANKS|BUSHVILLE",470,42,3,453,41,14,170,258,26,828,514
"BANKS|COLUMBIA",273,24,0,273,21,4,67,193,12,404,296
"BANKS|DAVIDS",1106,166,11,1088,153,32,408,645,95,2023,1282
"BANKS|GOLDEN HILL",539,80,7,539,79,6,161,345,48,1028,622
"BANKS|GROVE RIVER",388,33,4,382,34,8,111,266,23,608,428
"BANKS|HOLLINGSWORTH",432,53,3,418,50,14,141,252,38,685,488
"BANKS|HOMER",957,108,6,937,101,22,333,565,64,1562,1065
"BANKS|POPLAR SPRINGS",1121,113,15,1100,107,29,358,704,77,1806,1255
"BANKS|WASHINGTON",442,54,4,436,54,8,138,269,41,720,502
"BANKS|WILMONTS",394,32,3,383,27,10,136,231,24,630,427
"BARROW|1",2029,729,51,1988,702,97,1124,684,396,4242,2814
"BARROW|13",4617,2570,143,4516,2517,239,2390,1688,1503,12384,7362
"BARROW|16",3146,1766,115,3093,1719,167,1754,1032,989,7784,5044
"BARROW|2",4029,965,72,3988,909,120,2156,1556,570,7107,5086
"BARROW|3",3097,943,74,3013,888,163,1704,1047,527,6702,4139
"BARROW|4",1903,624,54,1882,600,67,1014,691,314,4200,2584
"BARROW|5",4198,1743,70,4145,1670,156,2298,1543,1072,8719,6043
"BARROW|8",3784,1114,86,3691,1060,184,2044,1431,654,7361,4999
"BARTOW|ADAIRSVILLE",3775,897,72,3691,870,137,2004,1341,614,7207,4749
"BARTOW|ALLATOONA",1994,695,31,1923,671,99,1148,629,427,4971,2703
"BARTOW|CARTERSVILLE EAST",2780,1507,64,2737,1465,114,1564,935,940,7255,4376
"BARTOW|CARTERSVILLE WEST",3937,1732,60,3946,1598,143,2337,1335,1120,8330,5754
"BARTOW|CASSVILLE",2250,1015,53,2183,991,104,1256,764,634,4769,2907
"BARTOW|CENTER",2318,572,48,2288,560,80,1326,820,377,4241,2946
"BARTOW|EMERSON",1612,428,29,1598,409,51,949,561,283,3334,2096
"BARTOW|EUHARLEE",2859,853,69,2797,832,116,1641,898,542,5626,3791
"BARTOW|FOLSOM",897,113,8,877,107,22,497,316,75,1484,1031
"BARTOW|HAMILTON CROSSING",3227,921,45,3185,890,96,1846,1088,546,6939,4636
"BARTOW|KINGSTON",1550,305,27,1543,267,49,872,545,208,2771,1894
"BARTOW|MISSION ROAD",2069,712,25,2024,707,65,1095,773,454,4179,2810
"BARTOW|PINE LOG",1369,189,25,1334,188,49,739,509,118,2180,1581
