"GEOID20","pop","precinct_2020","precinct_2024"
"130259603001058",11,"BRANTLEY|HOBOKEN","BRANTLEY|HOBOKEN"
"130259603001096",0,"BRANTLEY|HOBOKEN","BRANTLEY|HOBOKEN"
"130259601021034",48,"BRANTLEY|WAYNESVILLE","BRANTLEY|WAYNESVILLE"
"131510703133004",232,"HENRY|MOUNT CARMEL","HENRY|MOUNT CARMEL"
"131510701151009",0,"HENRY|RED OAK","HENRY|RED OAK"
"131510703171026",0,"HENRY|WESTSIDE","HENRY|WESTSIDE"
"133159601002012",1,"WILCOX|ABBEVILLE NORTH #2","WILCOX|ABBEVILLE NORTH #2"
"131690302004020",28,"JONES|SANDERS","JONES|SANDERS"
"131930003002064",5,"MACON|OGLETHORPE","MACON|OGLETHORPE"
"131930001002067",0,"MACON|IDEAL","MACON|IDEAL"
"132437901001075",17,"RANDOLPH|BENEVOLENCE","RANDOLPH|BENEVOLENCE"
"132437902001068",0,"RANDOLPH|COLEMAN","RANDOLPH|COLEMAN"
"130990902001010",18,"EARLY|URQUHART","EARLY|URQUHART"
"132759610003076",3,"THOMAS|METCALFE","THOMAS|METCALFE"
"131850102012052",0,"LOWNDES|RAINWATER","LOWNDES|RAINWATER"
"131850114053020",0,"LOWNDES|S LOWNDES","LOWNDES|S LOWNDES"
"132759603001014",5,"THOMAS|COOLIDGE","THOMAS|COOLIDGE/MERRILLVILLE"
"132759611001026",0,"THOMAS|BOSTON","THOMAS|BOSTON"
"131850105002006",20,"LOWNDES|MT CALVARY","LOWNDES|LOWNDES CIVIC"
"132070503014010",29,"MONROE|BURGAYS","MONROE|BURGAYS"
"132450102052004",7,"RICHMOND|306","RICHMOND|306"
"132450109052009",0,"RICHMOND|802","RICHMOND|802"
"132450101091004",22,"RICHMOND|703","RICHMOND|703"
"132450105101001",38,"RICHMOND|202","RICHMOND|202"
"132450012005039",68,"RICHMOND|208","RICHMOND|208"
"132450109041020",39,"RICHMOND|804","RICHMOND|804"
"131150006002059",0,"FLOYD|NORTH ROME","FLOYD|NORTH ROME"
"130390101001024",2,"CAMDEN|TARBORO","CAMDEN|TARBORO"
