"to_2024","TRUMP20","BIDEN20","PURDUE20","OSSOFF20","WARNOCK20","REG20","VOTED20"
"APPLING|1B",870,116,828,134,72,1362,993
"APPLING|1C",595,46,580,46,28,906,669
"APPLING|2",529,905,512,861,557,2407,1452
"APPLING|3A1",587,20,570,25,12,831,612
"APPLING|3C",843,289,819,282,156,1679,1140
"APPLING|4B",647,23,639,25,12,882,697
"APPLING|4D",1048,130,1021,129,72,1569,1178
"APPLING|5A",697,118,660,115,65,1264,815
"APPLING|5B",709,132,676,136,76,1169,846
"ATKINSON|AXSON",479,45,461,46,19,751,526
"ATKINSON|PEARSON CITY",229,329,238,293,157,966,570
"ATKINSON|PEARSON COUNTY",1026,160,1008,164,74,1834,1196
"ATKINSON|WILLACOOCHEE",566,291,565,270,156,1327,875
"BACON|DOUGLAS",4018,625,3929,591,315,6945,4674
"BAKER|ANNA",206,137,203,133,84,474,345
"BAKER|ELMODEL",166,135,161,135,99,454,302
"BAKER|HOGGARDS MILL",163,140,155,144,93,467,307
"BAKER|MILFORD",199,121,195,118,87,453,323
"BAKER|NEWTON",164,118,159,118,94,437,283
"BALDWIN|BODDIE",368,759,378,729,486,1984,1147
"BALDWIN|CITY HALL ANNEX",178,368,178,348,214,1087,560
"BALDWIN|COOPERS",784,320,768,307,215,1587,1119
"BALDWIN|COURTHOUSE",79,130,79,127,84,377,212
"BALDWIN|EAST BALDWIN",1586,1163,1566,1131,800,3891,2791
"BALDWIN|EAST HARDWICK",140,520,139,496,358,1328,672
"BALDWIN|MERIWETHER",1366,831,1359,789,564,2890,2233
"BALDWIN|NORTH BALDWIN",1891,810,1882,779,536,3608,2745
"BALDWIN|NORTH MILLEDGEVILLE",595,759,603,726,489,1947,1377
"BALDWIN|SCOTTSBORO",426,275,407,271,197,1118,713
"BALDWIN|SOUTH MILLEDGEVILLE",134,438,137,429,297,977,583
"BALDWIN|WEST BALDWIN",731,604,735,579,425,1887,1357
"BALDWIN|WEST HARDWICK",400,1421,411,1357,989,2930,1850
"BALDWIN|WEST THOMAS",229,746,235,717,514,1639,989
"BANKS|ANDERSON",905,101,886,99,79,1563,1027
"BANKS|BALDWIN",528,103,504,111,66,900,640
"BANKS|BERLIN",266,29,263,27,14,421,303
"BANKS|BUSHVILLE",476,44,459,43,27,840,522
"BANKS|COLUMBIA",258,20,258,17,10,372,276
"BANKS|DAVIDS",1107,166,1089,153,95,2025,1283
"BANKS|GOLDEN HILL",540,80,540,79,48,1031,623
"BANKS|GROVE RIVER",387,33,381,34,23,607,427
"BANKS|HOLLINGSWORTH",432,53,418,50,38,685,488
"BANKS|HOMER",957,108,937,101,64,1562,1065
"BANKS|POPLAR SPRINGS",1121,113,1100,107,77,1806,1255
"BANKS|WASHINGTON",438,53,432,54,41,712,497
"BANKS|WILMONTS",388,32,377,27,24,622,422
"BARROW|1",1764,580,1727,558,312,3587,2390
"BARROW|13",4555,2531,4455,2480,1482,12223,7259
"BARROW|16",3483,1955,3424,1903,1095,8618,5584
"BARROW|2",4019,963,3978,907,569,7089,5073
"BARROW|3",3098,943,3014,888,527,6704,4140
"BARROW|4",1904,624,1883,600,314,4202,2585
"BARROW|5",4198,1743,4145,1670,1072,8719,6043
"BARROW|8",3784,1114,3691,1060,654,7361,4999
"BARTOW|ADAIRSVILLE",3819,908,3734,880,621,7291,4804
"BARTOW|ALLATOONA",1997,696,1926,672,428,4979,2707
"BARTOW|CARTERSVILLE EAST",2790,1516,2748,1475,946,7287,4399
"BARTOW|CARTERSVILLE WEST",4058,1789,4066,1652,1157,8608,5935
"BARTOW|CASSVILLE",2269,1024,2202,1000,639,4812,2933
"BARTOW|CENTER",2312,568,2282,556,374,4223,2936
"BARTOW|EMERSON",1577,413,1563,395,273,3259,2044
"BARTOW|EUHARLEE",2859,853,2797,832,542,5626,3791
"BARTOW|FOLSOM",897,113,877,107,75,1484,1031
"BARTOW|HAMILTON CROSSING",3228,921,3186,890,546,6941,4638
"BARTOW|KINGSTON",1550,305,1543,267,208,2771,1894
"BARTOW|MISSION ROAD",2086,721,2041,715,460,4216,2836
"BARTOW|PINE LOG",1369,189,1334,188,118,2180,1581
"BARTOW|TAYLORSVILLE",1861,206,1830,209,143,2919,2100
"BARTOW|WHITE",1648,275,1625,271,189,2814,1964
"BARTOW|WOODLAND",959,296,945,292,174,1924,1283
"BARTOW|ZENA DRIVE",2395,1299,2311,1264,762,6911,3766
"BEN HILL|EAST",4110,2392,4077,2284,1308,10811,6594
"BERRIEN|ALAPAHA",622,206,614,197,143,1181,841
"BERRIEN|ENIGMA",636,86,617,87,55,1196,730
"BERRIEN|NASHVILLE",3393,694,3345,636,342,6606,4122
"BERRIEN|RAY CITY",1062,216,1028,211,114,2171,1296
"BERRIEN|WEST BERRIEN",706,67,682,73,47,1061,781
"BIBB|EAST MACON 1",47,929,47,891,678,2281,991
"BIBB|EAST MACON 2",157,2169,173,2101,1618,4135,2369
"BIBB|EAST MACON 3",570,1563,570,1493,1127,3769,2166
"BIBB|EAST MACON 4",95,1309,99,1264,998,2368,1417
"BIBB|EAST MACON 5",379,1264,368,1232,967,2644,1664
"BIBB|GODFREY 1",326,2987,350,2868,2043,6934,3357
"BIBB|GODFREY 2",98,795,95,756,533,2343,905
"BIBB|GODFREY 3",175,1543,177,1480,1065,3505,1740
"BIBB|GODFREY 4",139,826,141,781,532,2497,977
"BIBB|GODFREY 5",301,2328,316,2249,1574,5072,2674
"BIBB|HAZZARD 1",232,1676,230,1635,1174,3666,1944
