"tgt","id","part","x","y"
"43 LAKELAND",1,1,0.798,4.7431
"43 LAKELAND",1,1,0.5782,4.4632
"43 LAKELAND",1,1,0.4438,4.2823
"43 LAKELAND",1,1,0.3088,4.1435
"43 LAKELAND",1,1,0.138,4.0347
"43 LAKELAND",1,1,0.0467,3.9972
"43 LAKELAND",1,1,0.0445,4.0241
"43 LAKELAND",1,1,0.1839,4.0903
"43 LAKELAND",1,1,0.269,4.1502
"43 LAKELAND",1,1,0.3675,4.24
"43 LAKELAND",1,1,0.7609,4.7421
"43 LAKELAND",1,1,0.798,4.7431
"08 MASHBURN",2,1,5.1968,4.7094
"08 MASHBURN",2,1,5.3039,4.6281
"08 MASHBURN",2,1,5.4531,4.5345
"08 MASHBURN",2,1,5.594,4.4265
"08 MASHBURN",2,1,5.4548,4.5121
"08 MASHBURN",2,1,5.2838,4.6154
"08 MASHBURN",2,1,5.1851,4.6873
"08 MASHBURN",2,1,4.9201,4.9026
"08 MASHBURN",2,1,4.8263,5.0142
"08 MASHBURN",2,1,4.6839,5.2289
"08 MASHBURN",2,1,4.6969,5.2389
"08 MASHBURN",2,1,4.8392,5.03
"08 MASHBURN",2,1,4.9621,4.8903
"08 MASHBURN",2,1,5.1968,4.7094
"25 WINDERMERE",3,1,5.4548,4.5121
"25 WINDERMERE",3,1,5.594,4.4265
"25 WINDERMERE",3,1,5.6298,4.399
"25 WINDERMERE",3,1,5.7426,4.3039
"25 WINDERMERE",3,1,5.8391,4.2075
"25 WINDERMERE",3,1,6.0414,3.9752
"25 WINDERMERE",3,1,6.1491,3.8249
"25 WINDERMERE",3,1,6.2447,3.6366
"25 WINDERMERE",3,1,6.2804,3.5432
"25 WINDERMERE",3,1,6.3328,3.3592
"25 WINDERMERE",3,1,6.364,3.1508
"25 WINDERMERE",3,1,6.3693,3.0188
"25 WINDERMERE",3,1,6.3565,2.7708
"25 WINDERMERE",3,1,6.3474,2.5239
"25 WINDERMERE",3,1,6.3738,2.3367
"25 WINDERMERE",3,1,6.4247,2.2064
"25 WINDERMERE",3,1,6.5521,2.033
"25 WINDERMERE",3,1,6.7352,1.8699
"25 WINDERMERE",3,1,6.8287,1.7461
"25 WINDERMERE",3,1,6.8655,1.6641
"25 WINDERMERE",3,1,6.9512,1.3748
"25 WINDERMERE",3,1,6.9949,1.2507
"25 WINDERMERE",3,1,7.0728,1.1106
"25 WINDERMERE",3,1,7.1584,1.0003
"25 WINDERMERE",3,1,7.2655,0.9056
"25 WINDERMERE",3,1,7.456,0.7399
"25 WINDERMERE",3,1,7.4837,0.716
"25 WINDERMERE",3,1,7.4382,0.5866
"25 WINDERMERE",3,1,7.4036,0.5318
"25 WINDERMERE",3,1,7.3024,0.4435
"25 WINDERMERE",3,1,7.1884,0.392
"25 WINDERMERE",3,1,7.1107,0.3344
"25 WINDERMERE",3,1,7.0533,0.3366
"25 WINDERMERE",3,1,7.0447,0.4152
"25 WINDERMERE",3,1,7.0924,0.5728
"25 WINDERMERE",3,1,7.0548,0.6069
"25 WINDERMERE",3,1,6.9261,0.6202
