"yr","name","x","y","status","focus","split"
2020,"35 JOHNS CREEK",10.242,2.587,"kept",FALSE,TRUE
2020,"04 CHESTATEE",24.791,25.571,"kept",FALSE,TRUE
2020,"36 NICHOLS",12.631,7.124,"kept",FALSE,FALSE
2020,"19 OLD ATLANTA",13.44,3.072,"kept",FALSE,FALSE
2020,"02 BRANDYWINE",2.201,7.408,"kept",FALSE,FALSE
2020,"34 FOWLER",1.77,11.58,"kept",FALSE,TRUE
2020,"01 BIG CREEK",6.567,7.702,"kept",FALSE,TRUE
2020,"21 SOUTH FORSYTH",9.321,7.511,"kept",FALSE,TRUE
2020,"29 POLO",6.891,13.615,"retired",FALSE,TRUE
2020,"10 MIDWAY",2.936,15.804,"kept",FALSE,TRUE
2020,"15 HEARDSVILLE",3.972,24.335,"kept",FALSE,TRUE
2020,"37 SAWNEE",4.452,20.557,"retired",FALSE,TRUE
2020,"27 CONCORD",8.876,28.99,"retired",FALSE,TRUE
2020,"25 WINDERMERE",12.601,10.901,"kept",TRUE,TRUE
2020,"07 CUMMING",12.435,17.457,"kept",FALSE,TRUE
2020,"08 MASHBURN",15.399,12.62,"kept",FALSE,TRUE
2020,"06 CROSSROADS",20.799,27.582,"kept",FALSE,TRUE
2020,"16 OTWELL",11.252,22.513,"kept",FALSE,TRUE
2020,"05 COAL MOUNTAIN",12.934,25.336,"kept",FALSE,TRUE
2020,"03 BROWNS BRIDGE",20.674,18.595,"retired",FALSE,TRUE
2024,"35 JOHNS CREEK",9.909,2.597,"kept",FALSE,FALSE
2024,"02 BRANDYWINE",2.199,7.408,"kept",FALSE,FALSE
2024,"41 GRASSLAND",1.6,11.147,"new",FALSE,FALSE
2024,"10 MIDWAY",2.578,14.834,"kept",FALSE,FALSE
2024,"01 BIG CREEK",5.778,6.464,"kept",FALSE,FALSE
2024,"21 SOUTH FORSYTH",9.263,6.687,"kept",FALSE,FALSE
2024,"34 FOWLER",6.104,12.282,"kept",FALSE,FALSE
2024,"46 SAWMILL BRANCH",7.249,16.372,"new",FALSE,FALSE
2024,"38 DAVES CREEK",8.947,10.869,"new",FALSE,FALSE
2024,"43 LAKELAND",8.88,14.243,"new",FALSE,FALSE
2024,"40 WEST FORSYTH",2.27,20.409,"new",FALSE,FALSE
2024,"15 HEARDSVILLE",3.979,24.921,"kept",FALSE,FALSE
2024,"49 CHEATAM CREEK",5.121,19.397,"new",FALSE,FALSE
2024,"45 MOUNTAINSIDE",6.13,21.904,"new",FALSE,FALSE
2024,"51 MATT",7.084,28.697,"new",FALSE,FALSE
2024,"19 OLD ATLANTA",13.44,3.072,"kept",FALSE,FALSE
2024,"39 MATHIS",10.399,4.484,"new",FALSE,FALSE
2024,"36 NICHOLS",12.631,7.124,"kept",FALSE,FALSE
2024,"25 WINDERMERE",12.724,10.069,"kept",TRUE,FALSE
2024,"47 RIVERCLUB",15.697,11.065,"new",FALSE,FALSE
2024,"07 CUMMING",12.444,16.924,"kept",FALSE,FALSE
2024,"08 MASHBURN",14.833,13.843,"kept",FALSE,FALSE
2024,"16 OTWELL",12.873,22.01,"kept",FALSE,FALSE
2024,"05 COAL MOUNTAIN",15.431,27.436,"kept",FALSE,FALSE
2024,"44 LANIER",20.411,18.256,"new",FALSE,FALSE
2024,"50 BROWNS BRIDGE",24.397,20.312,"new",FALSE,FALSE
2024,"04 CHESTATEE",22.487,25.802,"kept",FALSE,FALSE
2024,"06 CROSSROADS",18.764,27.883,"kept",FALSE,FALSE
2024,"42 KEITH BRIDGE",27.482,26.588,"new",FALSE,FALSE
