"check","value"
"cycles read","10"
"House candidate rows, 2004-2022","22,066"
"of those, marked Unopposed rather than given a vote total","2,050"
"of those, on a Democratic or Republican line","16,547 of 22,066"
"Democratic and Republican House candidacies","16,321"
"contested House primaries with usable vote totals","3,705"
"of those, in all-party (top-two) states, shares not comparable","576"
"party primaries used for share statistics","3,129"
"runoffs held","173"
"of those, won by the primary leader","112"
"of those, won by somebody who did not lead the primary","61"
"share of runoffs that overturned the primary leader","61 of 173"
"primaries settled outright whose winner took under 50%","593 of 2,956 (20.1%)"
"primaries settled outright whose winner took under 40%","279 of 2,956 (9.4%)"
"primaries settled outright whose winner took under 35%","157 of 2,956 (5.3%)"
"primaries settled outright whose winner took under half the vote","593"
"states that held at least one House runoff, 2004-2022","8"
"tightest bracket around a state's threshold","GA, 49.5 to 50.2 percent"
"states whose runoff bracket closes","6"
"states whose runoff bracket does not close","2"
"of those, states named","TX, NC"
"cycles shown for states whose bracket does not close","17"
