"year","contests","runoffs","overturned","under_half","median_leader_share"
2004,224,10,4,26,63.7
2006,207,6,2,53,60.3
2008,233,8,3,52,61.6
2010,350,27,8,82,60.5
2012,349,23,8,43,62.1
2014,278,13,5,47,63.1
2016,300,6,2,54,64.8
2018,409,30,10,90,61
2020,388,25,11,72,63.2
2022,391,25,8,74,62.6
