"year","st","district","party","candidates","leader","leader_share","second","second_share","runoff_winner","leader_won_runoff"
2022,"GA","2","R",6,"Hunt, Jeremy",36.97,"West, Chris",30.09,"West, Chris",FALSE
2022,"GA","6","R",9,"McCormick, Rich",43.12,"Evans, Jake",23.04,"McCormick, Rich",TRUE
2022,"GA","7","R",5,"Corbin, Michael",41.07,"Gonsalves, Mark",27.5,"Gonsalves, Mark",FALSE
2022,"MS","2","R",4,"Flowers, Brian",43.16,"Eller, Ronald",32.36,"Flowers, Brian",TRUE
2022,"MS","3","R",3,"Guest, Michael",47.48,"Cassidy, Michael",46.94,"Guest, Michael",TRUE
2022,"MS","4","R",7,"Palazzo, Steven",31.49,"Ezell, Mike",25.02,"Ezell, Mike",FALSE
2022,"OK","2","R",14,"Frix, Avery",14.74,"Brecheen, Josh",13.75,"Brecheen, Josh",FALSE
2022,"TX","1","D",4,"Jefferson, Jrmar (JJ)",45.46,"Dunn, Victor D.",27.93,"Jefferson, Jrmar (JJ)",TRUE
2022,"TX","15","D",6,"Ramirez, Ruben",28.27,"Vallejo, Michelle",20.14,"Vallejo, Michelle",FALSE
2022,"TX","21","D",6,"Zapata, Claudia Andreana",47.23,"Villarreal, Ricardo",27.28,"Zapata, Claudia Andreana",TRUE
2022,"TX","24","D",3,"McDowell, Jan",39.3,"Gay, Derrik T.",32.8,"McDowell, Jan",TRUE
2022,"TX","28","D",3,"Cuellar, Henry",48.66,"Cisneros, Jessica",46.62,"Cuellar, Henry",TRUE
2022,"TX","28","R",7,"Garcia, Cassy",23.55,"Whitten, Sandra",18.02,"Garcia, Cassy",TRUE
2022,"TX","29","R",4,"Schafranek, Robert",39.35,"Garza, Julio",31.36,"Schafranek, Robert",TRUE
2022,"TX","30","D",9,"Crockett, Jasmine",48.47,"Hamilton, Jane Hope",17.07,"Crockett, Jasmine",TRUE
2022,"TX","30","R",6,"Harris, James ""J. Frank""",32.91,"Rodgers, James",31.26,"Rodgers, James",FALSE
2022,"TX","32","R",6,"Swad, Antonio",40.3,"Webb, Justin",18.02,"Swad, Antonio",TRUE
2022,"TX","35","R",10,"McQueen, Dan",21.28,"Rodriguez, Michael",14.93,"McQueen, Dan",TRUE
2022,"TX","37","R",3,"Sharon, Jenny Garcia",46.77,"Lingsch, Rod",27.81,"Sharon, Jenny Garcia",TRUE
2022,"TX","38","D",3,"Alexander, Diana Martinez",44.6,"Klussmann, Duncan F.",39.34,"Klussmann, Duncan F.",FALSE
2022,"TX","7","R",7,"Teague, Johnny",42.99,"Stroud, Tim",29.36,"Teague, Johnny",TRUE
