"year","st","district","party","candidates","total_votes","leader","leader_votes","leader_share","second","second_share","runoff","runoff_winner","leader_won_runoff","top_two_state"
2006,"GA","4","D",3,61998,"McKinney, Cynthia",29216,47.12,"Johnson, Henry C. ""Hank,"" Jr.",44.4,TRUE,"Johnson, Henry C. ""Hank,"" Jr.",FALSE,FALSE
2006,"GA","6","R",2,58243,"Price, Tom",47921,82.28,"Konop, John",17.72,FALSE,NA,NA,FALSE
2006,"GA","8","R",2,30749,"Collins, Mac",25065,81.51,"Harris, James Neal",18.49,FALSE,NA,NA,FALSE
2006,"GA","9","D",2,14972,"Bradbury, John D.",10354,69.16,"Longwith, Bob",30.84,FALSE,NA,NA,FALSE
2006,"HI","1","D",2,103836,"Abercrombie, Neil",82169,79.13,"Kaan, Alexandra",20.87,FALSE,NA,NA,FALSE
2006,"HI","1","R",2,9832,"Hough, Richard (Noah)",5652,57.49,"Terry, Mark",42.51,FALSE,NA,NA,FALSE
2006,"HI","2","D",10,112135,"Hirono, Mazie K.",24487,21.84,"Hanabusa, Colleen",21.08,FALSE,NA,NA,FALSE
2006,"HI","2","R",2,16646,"Hogue, Bob",8420,50.58,"Kawananakoa, Quentin Kuhio",49.42,FALSE,NA,NA,FALSE
2006,"IA","1","D",4,29074,"Braley, Bruce",10489,36.08,"Dickinson, Rick",34.3,FALSE,NA,NA,FALSE
2006,"IA","1","R",3,22632,"Whalen, Mike",10977,48.5,"Dix, Bill",37.48,FALSE,NA,NA,FALSE
2006,"IA","5","D",2,14160,"Schulte, Joyce",8874,62.67,"Chambers, Robert L.",37.33,FALSE,NA,NA,FALSE
2006,"ID","1","D",2,14556,"Grant, Larry",10885,74.78,"Kelly, Cecil, III",25.22,FALSE,NA,NA,FALSE
2006,"ID","1","R",6,73532,"Sali, Bill",18985,25.82,"Vasquez, Robert",18.53,FALSE,NA,NA,FALSE
2006,"IL","1","D",2,100020,"Rush, Bobby L.",81593,81.58,"Jackson, Phillip",18.42,FALSE,NA,NA,FALSE
2006,"IL","10","D",2,33156,"Seals, Daniel J.",23462,70.76,"Smith, Zane",29.24,FALSE,NA,NA,FALSE
2006,"IL","12","D",2,50591,"Costello, Jerry F.",45600,90.13,"Wiezer, Kenneth Charles",9.87,FALSE,NA,NA,FALSE
2006,"IL","13","D",2,31708,"Shannon, Joseph",17919,56.51,"Reedy, Bill",43.49,FALSE,NA,NA,FALSE
