"state","name","n","n_eff","deff","est","moe","actual","error","covers"
"VT","Vermont",68,36.5,1.86,66.52,15.3,66.3859,0.13,TRUE
"WY","Wyoming",77,38.1,2.02,24.62,13.68,26.5189,-1.9,TRUE
"ND","North Dakota",85,53.9,1.58,50.71,13.34,31.3019,19.41,FALSE
"AK","Alaska",106,38.1,2.78,45.56,15.81,43.1579,2.4,TRUE
"DC","District of Columbia",110,56.5,1.95,79.59,10.51,93.3127,-13.72,FALSE
"SD","South Dakota",121,74.5,1.62,31.55,10.55,35.0568,-3.51,TRUE
"HI","Hawaii",128,72.1,1.78,64.77,11.03,61.7824,2.99,TRUE
"RI","Rhode Island",144,98.3,1.46,56.06,9.81,57.0812,-1.02,TRUE
"MT","Montana",147,82.9,1.77,40.31,10.56,39.7109,0.6,TRUE
"DE","Delaware",168,91,1.85,62.23,9.96,57.4786,4.75,TRUE
"ME","Maine",202,126.6,1.6,50.5,8.71,53.5459,-3.05,TRUE
"ID","Idaho",220,62.2,3.54,22.98,10.45,31.2391,-8.26,TRUE
"NE","Nebraska",250,88.5,2.82,35.59,9.98,39.5804,-3.99,TRUE
"NH","New Hampshire",253,162.7,1.55,59.28,7.55,51.4109,7.87,FALSE
"NM","New Mexico",276,116.9,2.36,52.44,9.05,53.0706,-0.63,TRUE
"WV","West Virginia",354,86.3,4.1,26.9,9.36,28.653,-1.75,TRUE
"UT","Utah",355,137.1,2.59,39.62,8.19,38.8906,0.73,TRUE
"KS","Kansas",384,146.3,2.62,40.31,7.95,41.7923,-1.48,TRUE
"MS","Mississippi",403,148.3,2.72,44.53,8,38.4265,6.1,TRUE
"AR","Arkansas",414,130.3,3.18,35.24,8.2,34.329,0.91,TRUE
"CT","Connecticut",459,211.2,2.17,54.04,6.72,57.3812,-3.34,TRUE
"IA","Iowa",484,157.4,3.08,37.18,7.55,43.2774,-6.1,TRUE
"NV","Nevada",514,137.6,3.73,50.51,8.35,48.4197,2.09,TRUE
"LA","Louisiana",524,211.9,2.47,44.57,6.69,38.8195,5.75,TRUE
"OK","Oklahoma",573,223.7,2.56,31.19,6.07,32.5311,-1.34,TRUE
"MN","Minnesota",703,222.2,3.16,47.07,6.56,52.1721,-5.1,TRUE
"MD","Maryland",747,295.9,2.52,66.13,5.39,64.757,1.37,TRUE
"KY","Kentucky",750,302,2.48,35.86,5.41,34.4884,1.37,TRUE
"AL","Alabama",759,259.3,2.93,40.57,5.98,34.5596,6.01,FALSE
"CO","Colorado",759,279.3,2.72,50.66,5.86,55.6492,-4.99,TRUE
"OR","Oregon",779,347.5,2.24,55.33,5.23,57.4293,-2.1,TRUE
"SC","South Carolina",787,248.3,3.17,45.8,6.2,40.9372,4.86,TRUE
"MA","Massachusetts",805,315.2,2.55,60.84,5.39,62.9576,-2.12,TRUE
"IN","Indiana",935,299.4,3.12,37.37,5.48,40.3462,-2.98,TRUE
"WI","Wisconsin",941,314.3,2.99,47.07,5.52,49.5627,-2.49,TRUE
"TN","Tennessee",1009,303.3,3.33,32.33,5.26,34.9382,-2.61,TRUE
"WA","Washington",1009,392.7,2.57,56.66,4.9,59.4595,-2.8,TRUE
"VA","Virginia",1017,385.8,2.64,50.28,4.99,52.9526,-2.67,TRUE
"AZ","Arizona",1043,291,3.58,42.55,5.68,47.2194,-4.67,TRUE
"MO","Missouri",1093,320.8,3.41,39.23,5.34,40.6615,-1.43,TRUE
"NJ","New Jersey",1192,355.7,3.35,51.04,5.2,53.0144,-1.97,TRUE
"MI","Michigan",1301,410.7,3.17,43.64,4.8,49.2758,-5.64,FALSE
"NC","North Carolina",1334,367.8,3.63,46.68,5.1,48.3707,-1.69,TRUE
"GA","Georgia",1385,411.7,3.36,49.83,4.83,48.8918,0.94,TRUE
"IL","Illinois",1632,548.7,2.97,55.36,4.16,55.5703,-0.21,TRUE
"OH","Ohio",1804,552,3.27,43.04,4.13,44.2717,-1.23,TRUE
"PA","Pennsylvania",2231,750,2.97,44.23,3.55,49.1366,-4.91,FALSE
"NY","New York",2762,886.2,3.12,58.76,3.24,56.3426,2.42,TRUE
"FL","Florida",3106,797.4,3.9,46.64,3.46,43.3892,3.25,TRUE
"CA","California",3429,1169.9,2.93,59.03,2.82,60.4029,-1.37,TRUE
"TX","Texas",3618,1277.9,2.83,42.9,2.71,43.0629,-0.16,TRUE
