"YEAR","STATE","STATE_ABV","TOTAL_BALLOTS_COUNTED","VOTE_FOR_HIGHEST_OFFICE","VAP","NONCITIZEN_PCT","INELIGIBLE_PRISON","INELIGIBLE_PROBATION","INELIGIBLE_PAROLE","INELIGIBLE_FELONS_TOTAL","ELIGIBLE_OVERSEAS","VEP","VEP_TURNOUT_RATE","VAP_TURNOUT_RATE","rate_vap_hi","rate_vep_hi","rate_vap_tb","rate_vep_tb","gap_hi","gap_tb","presidential","vep_recon","vep_recon_pct_err","pub_vep_err","pub_vap_err","inelig_pct"
1980,"United States","",NA,86515221,164445475,3.5,324410,618471,168331,801977,1803021,159690927,NA,NA,52.6103,54.1767,NA,NA,1.56639,NA,TRUE,159690927,0.000000234829,NA,NA,2.89126
1982,"United States","",NA,67615576,166027633,4,399102,789951,165559,959637,1981895,160408786,NA,NA,40.7255,42.152,NA,NA,1.42654,NA,FALSE,160408786,-0.00000019949,NA,NA,3.38428
1984,"United States","",NA,92652680,173994610,4.3,454092,1012936,204686,1165246,2360867,167708463,NA,NA,53.2503,55.2463,NA,NA,1.99596,NA,TRUE,167708463,-0.000000137143,NA,NA,3.61284
1986,"United States","",NA,64991128,177922330,4.7,535547,1177814,242663,1367117,2216053,170408916,NA,NA,36.5278,38.1383,NA,NA,1.61053,NA,FALSE,170408916,0.000000287544,NA,NA,4.22286
1988,"United States","",NA,91594691,181955484,5.1,616785,1319935,317223,1593976,2527370,173609148,NA,NA,50.3391,52.7591,NA,NA,2.42007,NA,TRUE,173609148,0.000000182018,NA,NA,4.58702
1990,"United States","",NA,67859189,186158841,5.5,761106,1489999,395140,1901246,2659455,176678314,NA,NA,36.4523,38.4083,NA,NA,1.95602,NA,FALSE,176678314,-0.00000014433,NA,NA,5.09271
1992,"United States","",NA,104405155,190777923,6,866945,1648767,491856,2183185,2417648,179565711,NA,NA,54.726,58.1431,NA,NA,3.41713,NA,TRUE,179565711,-0.000000211622,NA,NA,5.8771
1994,"United States","",NA,75105860,195258350,6.4,1037855,1778797,513686,2440940,2228514,182549390,NA,NA,38.4649,41.1428,NA,NA,2.6779,NA,FALSE,182549390,-0.000000219119,NA,NA,6.50879
1996,"United States","",NA,96262935,200015917,6.8,1162253,1865990,491165,2586413,2499256,186327678,NA,NA,48.1276,51.6633,NA,NA,3.53561,NA,TRUE,186327678,-0.000000191061,NA,NA,6.84357
1998,"United States","",74825832,72537000,205313182,7.3,1285469,2236975,515924,2919881,2937000,190342439,39.31,36.44,35.3299,38.1087,36.4447,39.3112,2.77876,2.86644,FALSE,190342439,-0.000000150256,0.00116591,0.00472862,7.29166
2000,"United States","",107390107,105375486,210623408,7.7,1377013,2339388,536039,3082746,2937000,194259660,55.28,50.99,50.0303,54.2447,50.9868,55.2817,4.21437,4.29495,TRUE,194259660,-0.000000214146,0.00173322,-0.00321367,7.7692
2002,"United States","",80295249,78381943,215461549,8,1456927,2451708,485282,3168063,3308145,198364707,40.48,37.27,36.3786,39.5141,37.2666,40.4786,3.13543,3.21197,FALSE,198364707,0.0000000403298,-0.00140367,-0.0033743,7.93499
2004,"United States","",123535883,122294978,220336019,8.2,1490169,2387283,474632,3158443,3862836,202972858,60.86,56.07,55.5039,60.2519,56.067,60.8633,4.74804,4.79621,TRUE,202972858,0.000000217763,0.00325247,-0.00296041,7.88031
2006,"United States","",85769132,83815592,225485399,8.6,1566526,2418574,587305,3363118,4417527,207148064,41.4,38.04,37.1712,40.4617,38.0376,41.4047,3.2905,3.36719,FALSE,207148064,-0.000000151582,0.00474709,-0.00244529,8.13238
2008,"United States","",132609063,131304731,230872030,8.4,1605448,2451085,627680,3144831,4972217,213306165,62.17,57.44,56.8734,61.5569,57.4383,62.1684,4.68355,4.73007,TRUE,213306165,0.000000225029,-0.00158447,-0.00165937,7.60849
2010,"United States","",90895897,89099476,240897888,8.6,1608162,1201093,524092,3333347,4972217,221776507,40.99,37.73,36.9864,40.1753,37.7321,40.9854,3.18894,3.25323,FALSE,221819540,0.0194036,-0.00464126,0.00212698,7.93755
2012,"United States","",130231296,129070906,240897888,8.4,1473412,2342582,637410,3352390,5127418,222437494,58.57,54.09,53.5791,58.0257,54.0608,58.5474,4.4466,4.48658,TRUE,222437493,-0.000000266142,-0.022633,-0.0292122,7.66316
2014,"United States","",83155963,81687059,245497227,8.3,1493706,2298993,548576,3329718,5345814,227137053,36.61,33.87,33.2741,35.9638,33.8725,36.6105,2.68965,2.73801,FALSE,227137053,0.0000000700018,0.00047896,0.00246529,7.47877
2016,"United States","",138747904,136753936,249964761,8.3,1416810,2198907,506297,3176484,4739596,230780798,60.12,55.51,54.7093,59.2571,55.507,60.1211,4.54778,4.61409,TRUE,230780798,-0.0000000706298,0.00107818,-0.00301436,7.67467
2018,"United States","",118581921,117069210,253979028,7.5,1356822,1188516,438200,2983538,4971025,236918088,50.05,46.69,46.094,49.4134,46.6897,50.0519,3.31932,3.36221,FALSE,236918088,-0.0000000422087,0.00186476,-0.00034931,6.71746
