"state","n","b_vap","se_vap","p_vap","b_vep","se_vep","p_vep","fit_vap","fit_vep","nc_first","nc_last","rate_vap_first","rate_vap_last","rate_vep_first","rate_vep_last","sign_flip","divergence"
"Nevada",10,0.232875,0.10858,0.0643013,0.432033,0.116995,0.00610588,8.38349,15.5532,4,12.6,41.1453,49.7883,43.2626,57.7502,FALSE,0.199159
"Georgia",10,0.414627,0.0933501,0.00216324,0.611082,0.107068,0.000450519,14.9266,21.999,0.9,7.2,41.2556,52.5392,42.1197,59.1186,FALSE,0.196455
"New Jersey",10,0.025306,0.0789173,0.75668,0.193572,0.082336,0.0466087,0.911015,6.96858,4.9,12,54.8993,56.1178,58.0593,64.9873,FALSE,0.168266
"Texas",10,-0.0935894,0.0657338,0.192326,0.0711583,0.0745419,0.367727,-3.36922,2.5617,4.3,13.3,44.8751,43.2914,47.4456,51.3032,TRUE,0.164748
"Maryland",10,0.333758,0.0898086,0.00590241,0.482082,0.0976152,0.00113707,12.0153,17.3549,2.7,8.8,49.9932,59.6398,51.9874,66.5052,FALSE,0.148323
"Colorado",10,0.279889,0.103039,0.0263976,0.427279,0.10695,0.00397665,10.076,15.382,2,7,55.919,64.6316,57.1581,69.9996,FALSE,0.14739
"Arizona",10,0.0849627,0.097834,0.41045,0.231987,0.105655,0.0593901,3.05866,8.35153,3.4,9.4,44.3864,48.7086,46.2345,54.7705,FALSE,0.147024
"Florida",10,0.312922,0.0868612,0.00695649,0.453194,0.0959344,0.00149444,11.2652,16.315,5.8,10.5,48.6723,56.9764,52.0265,64.6191,FALSE,0.140272
"Washington",10,0.0702523,0.0661201,0.319029,0.200469,0.0712369,0.0226986,2.52908,7.21688,2.9,8.6,57.3686,58.2568,59.5938,64.7406,FALSE,0.130217
"Virginia",10,0.413578,0.0849276,0.00124033,0.542261,0.090506,0.000326496,14.8888,19.5214,2,6.9,47.5134,60.7761,48.7291,66.0737,FALSE,0.128683
"North Carolina",10,0.515988,0.100012,0.000864447,0.644297,0.106182,0.000299926,18.5756,23.1947,0.7,5.5,43.4402,60.0294,44.1654,64.3342,FALSE,0.128309
"Delaware",10,0.183697,0.089998,0.0755423,0.300279,0.0961259,0.0141469,6.61308,10.8101,1.3,5.7,54.7485,59.3162,55.9928,64.3066,FALSE,0.116583
"Minnesota",10,0.092921,0.0925652,0.344847,0.209175,0.0967571,0.0626082,3.34516,7.53029,1,4.6,70.0352,69.4095,71.1605,74.0821,FALSE,0.116254
