"check","value"
"Table 1 data rows parsed","27"
"Table 1 election years","1948-2000"
"rows where the rebuilt VEP rate matches the printed one within 0.1 pts","27"
"largest disagreement between rebuilt and printed VEP rate, pts","0.05"
"rows where the printed adjustments sum to the printed VEP rate within 0.2 pts","25"
"paper's VEP trend 1972-2000, pts per election","-0.006"
"its standard error","0.40"
"paper's VAP trend over the same years, pts per election","-0.564"
"Elections Project rows, 1980-2024","1,196"
"rows where VEP equals VAP*(1-noncitizen%) - felons + overseas within 0.1%","1,196"
"largest disagreement on that identity, %","0.058"
"rows with a published turnout rate to check against","987"
"of those, rows reproduced within 0.05 pts","987"
"largest disagreement with a published rate, pts","0.03"
"rows where VOTE_FOR_HIGHEST_OFFICE holds a URL","51"
"which years those are","2022"
"election years with no published turnout rate at all","1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996"
"2024 national VAP-to-VEP gap, pts","5.10"
"ballots that gap is worth","13,500,186"
"state pairs compared in 2024","1,275"
"pairs that reverse under the two denominators","127"
"states whose 1980-2016 presidential trend changes sign","5"
"elections published in both 1980-2000 sources","11"
"mean revision to the numerator since 2001, %","0.004"
"mean revision to the denominator since 2001, %","0.783"
"largest revision to a published VAP turnout rate, pts","1.17"
