"year","num_2001","vap_2001","vap_rate","vep_rate","num_now","vap_now","rate_vap_hi","rate_vep_hi","num_move_pct","vap_move_pct","vap_rate_move","vep_rate_move"
1980,86515000,163945000,52.8,54.7,86515221,164445475,52.6103,54.1767,0.000255447,0.30527,-0.189722,-0.523333
1982,67616000,166724000,40.6,43,67615576,166027633,40.7255,42.152,-0.000627071,-0.417677,0.125495,-0.84796
1984,92653000,173995000,53.3,57.2,92652680,173994610,53.2503,55.2463,-0.000345375,-0.000224144,-0.0496838,-1.95372
1986,64991000,177922000,36.5,39,64991128,177922330,36.5278,38.1383,0.00019695,0.000185475,0.0278085,-0.861662
1988,91595000,181956000,50.3,54.2,91594691,181955484,50.3391,52.7591,-0.000337355,-0.000283585,0.0390659,-1.44086
1990,67859000,185888000,36.5,39.8,67859189,186158841,36.4523,38.4083,0.000278519,0.145701,-0.0476947,-1.39167
1992,104405000,189687000,55,60.6,104405155,190777923,54.726,58.1431,0.00014846,0.575117,-0.273985,-2.45685
1994,75106000,193163000,38.9,41.8,75105860,195258350,38.4649,41.1428,-0.000186403,1.08476,-0.435135,-0.657239
1996,96263000,196928000,48.9,52.6,96262935,200015917,48.1276,51.6633,-0.0000675233,1.56804,-0.772363,-0.93675
1998,72537000,200929000,36.1,39,72537000,205313182,35.3299,38.1087,0,2.18196,-0.770072,-0.891315
2000,105326000,205813000,51.2,55.6,105375486,210623408,50.0303,54.2447,0.0469837,2.33727,-1.16972,-1.35534
