"caseId","caseName","term","justiceName","vote","direction","majority","majVotes","minVotes","caseDisposition"
"1992-019","WILBURN DOBBS v. WALTER D. ZANT, WARDEN",1992,"WHRehnquist",7,NA,1,7,2,4
"1992-019","WILBURN DOBBS v. WALTER D. ZANT, WARDEN",1992,"BRWhite",7,NA,1,7,2,4
"1992-019","WILBURN DOBBS v. WALTER D. ZANT, WARDEN",1992,"HABlackmun",1,2,2,7,2,4
"1992-019","WILBURN DOBBS v. WALTER D. ZANT, WARDEN",1992,"JPStevens",1,2,2,7,2,4
"1992-019","WILBURN DOBBS v. WALTER D. ZANT, WARDEN",1992,"SDOConnor",1,2,2,7,2,4
"1992-019","WILBURN DOBBS v. WALTER D. ZANT, WARDEN",1992,"AScalia",4,2,2,7,2,4
"1992-019","WILBURN DOBBS v. WALTER D. ZANT, WARDEN",1992,"AMKennedy",1,2,2,7,2,4
"1992-019","WILBURN DOBBS v. WALTER D. ZANT, WARDEN",1992,"DHSouter",1,2,2,7,2,4
"1992-019","WILBURN DOBBS v. WALTER D. ZANT, WARDEN",1992,"CThomas",4,2,2,7,2,4
"2021-019","DOBBS v. JACKSON WOMEN’S HEALTH ORGANIZATION",2021,"JGRoberts",4,1,2,6,3,4
"2021-019","DOBBS v. JACKSON WOMEN’S HEALTH ORGANIZATION",2021,"CThomas",3,1,2,6,3,4
"2021-019","DOBBS v. JACKSON WOMEN’S HEALTH ORGANIZATION",2021,"SGBreyer",2,2,1,6,3,4
"2021-019","DOBBS v. JACKSON WOMEN’S HEALTH ORGANIZATION",2021,"SAAlito",1,1,2,6,3,4
"2021-019","DOBBS v. JACKSON WOMEN’S HEALTH ORGANIZATION",2021,"SSotomayor",2,2,1,6,3,4
"2021-019","DOBBS v. JACKSON WOMEN’S HEALTH ORGANIZATION",2021,"EKagan",2,2,1,6,3,4
"2021-019","DOBBS v. JACKSON WOMEN’S HEALTH ORGANIZATION",2021,"NMGorsuch",1,1,2,6,3,4
"2021-019","DOBBS v. JACKSON WOMEN’S HEALTH ORGANIZATION",2021,"BMKavanaugh",3,1,2,6,3,4
"2021-019","DOBBS v. JACKSON WOMEN’S HEALTH ORGANIZATION",2021,"ACBarrett",1,1,2,6,3,4
