"term","cases","9_0","8_1","7_2","6_3","5_4"
1946,123,40.7,10.6,14.6,14.6,19.5
1947,100,31,7,22,15,25
1948,113,29.2,8,12.4,22.1,28.3
1949,14,28.6,28.6,21.4,7.1,14.3
1950,73,37,12.3,6.8,23.3,20.5
1951,57,21.1,14,21.1,26.3,17.5
1952,87,19.5,24.1,24.1,24.1,8
1953,59,37.3,6.8,23.7,16.9,15.3
1954,16,31.2,6.2,6.2,50,6.2
1955,82,43.9,3.7,13.4,19.5,19.5
1956,65,27.7,12.3,9.2,26.2,24.6
1957,138,27.5,12.3,18.1,20.3,21.7
1958,111,45,5.4,9.9,18.9,20.7
1959,120,30,11.7,14.2,22.5,21.7
1960,123,32.5,12.2,13,20.3,22
1961,42,40.5,16.7,9.5,21.4,11.9
1962,133,35.3,19.5,21.8,12.8,10.5
1963,165,38.8,18.8,14.5,17.6,10.3
1964,112,42,20.5,17.9,10.7,8.9
1965,109,41.3,16.5,14.7,13.8,13.8
1966,127,27.6,18.9,9.4,23.6,20.5
1967,114,28.1,27.2,20.2,21.1,3.5
1968,69,34.8,17.4,18.8,18.8,10.1
1969,7,71.4,14.3,0,14.3,0
1970,120,32.5,18.3,11.7,13.3,24.2
1971,82,37.8,11,7.3,19.5,24.4
1972,160,30.6,13.1,11.2,25,20
1973,151,31.8,13.9,8.6,25.8,19.9
1974,114,36,16.7,8.8,23.7,14.9
1975,92,40.2,5.4,19.6,18.5,16.3
1976,149,36.2,10.1,18.8,18.1,16.8
1977,106,30.2,7.5,19.8,26.4,16
1978,122,31.1,13.9,11.5,21.3,22.1
1979,136,25,13.2,15.4,26.5,19.9
1980,125,30.4,11.2,18.4,25.6,14.4
1981,158,34.8,10.1,11.4,22.8,20.9
1982,157,36.9,13.4,11.5,18.5,19.7
1983,152,42.1,9.9,11.2,18.4,18.4
1984,101,39.6,10.9,11.9,19.8,17.8
1985,150,31.3,10.7,12,21.3,24.7
1986,150,28,6,12.7,24,29.3
1987,63,42.9,12.7,7.9,14.3,22.2
1988,136,37.5,8.8,8.1,20.6,25
1989,137,35,8,12.4,16.1,28.5
1990,108,40.7,2.8,14.8,21.3,20.4
1991,98,36.7,7.1,19.4,22.4,14.3
1992,118,47.5,10.2,13.6,12.7,16.1
1993,92,43.5,6.5,23.9,12,14.1
1994,86,41.9,12.8,14,11.6,19.8
1995,85,44.7,11.8,18.8,8.2,16.5
1996,94,50,8.5,10.6,12.8,18.1
1997,101,51.5,8.9,9.9,14.9,14.9
1998,89,37.1,18,15.7,12.4,16.9
1999,83,41,8.4,14.5,13.3,22.9
2000,83,45.8,8.4,6,9.6,30.1
2001,78,42.3,6.4,7.7,17.9,25.6
2002,79,44.3,7.6,12.7,17.7,17.7
2003,75,45.3,8,10.7,12,24
2004,69,36.2,8.7,17.4,13,24.6
2005,64,59.4,3.1,7.8,14.1,15.6
2006,67,38.8,9,11.9,4.5,35.8
2007,67,34.3,7.5,25.4,14.9,17.9
2008,83,36.1,4.8,15.7,13.3,30.1
2009,82,46.3,6.1,15.9,11,20.7
2010,52,40.4,9.6,11.5,7.7,30.8
2011,70,42.9,11.4,5.7,20,20
2012,73,50.7,2.7,8.2,8.2,30.1
2013,70,65.7,1.4,7.1,11.4,14.3
2014,72,41.7,8.3,9.7,15.3,25
2015,17,58.8,23.5,0,17.6,0
2016,17,47.1,11.8,17.6,5.9,17.6
2017,68,41.2,7.4,16.2,8.8,26.5
2018,65,40,6.2,10.8,15.4,27.7
2019,57,36.8,10.5,21.1,12.3,19.3
2020,52,46.2,7.7,5.8,26.9,13.5
2021,62,27.4,17.7,4.8,32.3,17.7
2022,57,50.9,8.8,10.5,17.5,12.3
2023,57,43.9,5.3,5.3,36.8,8.8
