"quantity","value"
"Seats on the bench",9
"Justices appearing in the window",10
"Pairs",45
"Pairs that never shared a case",1
"Mean pairwise correlation (phi)",0.515
"Design-effect inflation, 1 + (n-1) * rho",5.12
"Effective number of independent voters",1.76
