"district","election","year","share_old","share_new"
1,"ag-2018",2018,0.272958,0.281965
2,"ag-2018",2018,0.37076,0.377362
3,"ag-2018",2018,0.411849,0.39959
4,"ag-2018",2018,0.364259,0.398609
5,"ag-2018",2018,0.394215,0.423529
6,"ag-2018",2018,0.3799,0.396759
7,"ag-2018",2018,0.667858,0.677911
8,"ag-2018",2018,0.365398,0.41733
9,"ag-2018",2018,0.793103,0.504328
10,"ag-2018",2018,0.403111,0.42888
11,"ag-2018",2018,0.299693,0.355946
12,"ag-2018",2018,0.408153,0.416342
13,"ag-2018",2018,0.277783,0.285041
14,"ag-2018",2018,0.372088,0.399612
15,"ag-2018",2018,0.563146,0.563087
16,"ag-2018",2018,0.716446,0.717171
17,"ag-2018",2018,0.389355,0.427174
18,"ag-2018",2018,0.770447,0.843642
19,"ag-2018",2018,0.279382,0.279382
20,"ag-2018",2018,0.689127,0.727731
21,"ag-2018",2018,0.392545,0.414381
22,"ag-2018",2018,0.406601,0.398957
23,"ag-2018",2018,0.483924,0.473911
24,"ag-2018",2018,0.415367,0.416085
25,"ag-2018",2018,0.348178,0.428761
26,"ag-2018",2018,0.388832,0.390477
27,"ag-2018",2018,0.400881,0.417377
28,"ag-2018",2018,0.603152,0.678377
29,"ag-2018",2018,0.755951,0.754197
30,"ag-2018",2018,0.797463,0.797917
31,"ag-2018",2018,0.388723,0.396744
32,"ag-2018",2018,0.660391,0.450677
33,"ag-2018",2018,0.781697,0.74666
34,"ag-2018",2018,0.66358,0.552968
35,"ag-2018",2018,0.759703,0.49702
36,"ag-2018",2018,0.35408,0.417838
37,"ag-2018",2018,0.776801,0.832438
38,"ag-2018",2018,0.392788,0.396589
1,"ag-2022",2022,0.226017,0.23467
2,"ag-2022",2022,0.369103,0.375694
3,"ag-2022",2022,0.407653,0.386185
4,"ag-2022",2022,0.342745,0.386272
5,"ag-2022",2022,0.363036,0.396921
6,"ag-2022",2022,0.350598,0.381924
7,"ag-2022",2022,0.645294,0.662243
8,"ag-2022",2022,0.325586,0.357963
9,"ag-2022",2022,0.766622,0.432787
10,"ag-2022",2022,0.384369,0.410214
11,"ag-2022",2022,0.261186,0.340016
12,"ag-2022",2022,0.397259,0.394043
13,"ag-2022",2022,0.249308,0.256976
14,"ag-2022",2022,0.328954,0.376898
15,"ag-2022",2022,0.47815,0.477254
16,"ag-2022",2022,0.645936,0.646968
17,"ag-2022",2022,0.348734,0.398098
18,"ag-2022",2022,0.743629,0.81916
19,"ag-2022",2022,0.231448,0.231448
20,"ag-2022",2022,0.668965,0.706518
21,"ag-2022",2022,0.388935,0.399484
22,"ag-2022",2022,0.395893,0.38407
23,"ag-2022",2022,0.451663,0.452464
24,"ag-2022",2022,0.430788,0.428229
25,"ag-2022",2022,0.317778,0.38275
26,"ag-2022",2022,0.383754,0.383131
27,"ag-2022",2022,0.360852,0.400371
28,"ag-2022",2022,0.53896,0.574466
29,"ag-2022",2022,0.694217,0.71276
30,"ag-2022",2022,0.781972,0.778407
31,"ag-2022",2022,0.384096,0.384304
32,"ag-2022",2022,0.662199,0.429443
