"old","new","pop","weight"
1,1,650963,0.848959
1,3,53579,0.069876
1,32,39011,0.050877
1,4,23225,0.030289
2,2,620601,0.800437
2,9,95730,0.12347
2,29,33932,0.043765
2,8,17652,0.022767
2,38,7413,0.009561
3,3,579736,0.756994
3,4,168930,0.220581
3,32,17174,0.022425
4,4,530290,0.692159
4,32,133717,0.174534
4,3,100945,0.131758
4,1,1187,0.001549
5,5,580922,0.759473
5,32,182306,0.238339
5,33,1673,0.002187
6,6,486543,0.634685
6,30,95430,0.124486
6,5,57922,0.075558
6,1,50412,0.065761
6,17,49406,0.064449
6,33,26877,0.03506
7,7,566661,0.741774
7,8,143516,0.187866
7,22,30887,0.040432
7,38,16065,0.021029
7,18,6798,0.008899
8,8,504798,0.656091
8,38,95428,0.124029
8,10,86917,0.112967
8,22,65906,0.085659
8,2,16354,0.021255
9,18,500650,0.652337
9,7,123373,0.160753
9,36,81178,0.105773
9,14,39828,0.051895
9,9,22442,0.029241
10,10,422789,0.554413
10,27,173103,0.226994
10,11,66855,0.087669
10,8,56794,0.074475
10,17,43047,0.056449
11,11,566229,0.738395
11,31,200609,0.261605
12,12,622899,0.813379
12,25,99827,0.130354
12,24,43090,0.056267
13,13,753533,0.983644
13,26,12530,0.016356
14,14,578970,0.749676
14,22,152551,0.19753
14,36,40773,0.052795
15,28,322249,0.422637
15,15,310944,0.40781
15,35,129280,0.169554
16,16,733566,0.964976
16,23,26625,0.035024
17,17,408476,0.535152
17,10,89212,0.116878
17,11,86931,0.11389
17,36,86395,0.113188
17,1,64653,0.084703
17,8,20660,0.027067
17,31,6962,0.009121
18,29,442665,0.581117
18,18,195018,0.256014
18,2,58752,0.077128
18,7,41342,0.054273
18,38,23971,0.031468
19,19,766510,1
20,20,461751,0.603972
20,21,117708,0.153962
20,35,112388,0.147004
20,23,72677,0.095062
21,21,544574,0.705167
21,35,106687,0.138149
21,27,56467,0.073119
21,23,43326,0.056103
21,10,21209,0.027463
22,22,505364,0.661664
22,14,141789,0.185642
22,27,77825,0.101895
22,36,34739,0.045483
22,18,4060,0.005316
23,23,635890,0.81894
23,35,33879,0.043632
23,21,32454,0.041796
23,16,30857,0.03974
23,28,26254,0.033812
23,20,17145,0.02208
24,24,669249,0.865734
24,32,66799,0.086411
24,5,26411,0.034165
24,25,5386,0.006967
24,12,3513,0.004544
24,33,1684,0.002178
25,25,466765,0.608874
25,6,214541,0.279859
25,30,69724,0.090952
25,17,15573,0.020314
26,26,714727,0.928022
26,4,42053,0.054603
26,13,13382,0.017376
27,27,308504,0.401405
27,34,291739,0.379592
27,15,168317,0.219003
28,28,411173,0.534474
28,35,308198,0.400619
28,20,49933,0.064907
29,9,339379,0.439436
29,29,285810,0.370074
29,36,67430,0.08731
29,18,60586,0.078448
29,7,19101,0.024732
30,30,529135,0.688596
30,33,236064,0.307205
30,24,3227,0.004199
31,31,557488,0.726267
31,17,201710,0.262778
31,11,8409,0.010955
32,32,317886,0.414097
32,33,248911,0.324246
32,5,97514,0.127027
32,26,38057,0.049575
32,3,33355,0.04345
32,24,24959,0.032513
32,30,4159,0.005418
32,4,2820,0.003673
33,33,249083,0.327133
33,25,195085,0.256215
33,12,134868,0.177129
33,30,71279,0.093614
33,6,67450,0.088585
33,24,29678,0.038978
33,32,13969,0.018346
34,34,472571,0.615827
34,15,287074,0.374098
34,28,7731,0.010075
35,37,245032,0.322021
35,20,227705,0.29925
35,27,128076,0.168318
35,35,78883,0.103668
35,21,67534,0.088753
35,10,13689,0.01799
36,36,452637,0.590807
36,9,313497,0.409193
37,37,523734,0.674948
37,10,134664,0.173545
37,17,52016,0.067034
37,11,34659,0.044666
37,27,30889,0.039807
38,38,627456,0.826997
38,2,77484,0.102125
38,8,21998,0.028994
38,22,20050,0.026426
38,7,11728,0.015458
