"reach","districts","blocks","pop","pop_black_pct","vap_black_pct","reg_black_pct","pp","reock"
1,5,540,32738,45.336,41.265,48.168,0.324,0.766
1,4,691,40910,48.208,44.325,50.374,0.37,0.794
2,5,543,32784,45.174,41.136,47.846,0.251,0.762
2,4,695,41381,47.923,44.054,50.081,0.273,0.751
3,5,571,33398,47.641,43.463,48.828,0.273,0.772
3,4,705,40910,49.323,45.308,50.568,0.281,0.81
4,5,580,32857,47.822,43.575,48.851,0.202,0.769
4,4,711,40968,49.566,45.571,50.714,0.254,0.795
6,5,566,32800,46.899,42.828,48.917,0.174,0.727
6,4,691,40910,49.252,45.381,50.77,0.213,0.737
8,5,574,32988,48.496,44.32,49.608,0.161,0.759
8,4,737,40963,49.884,45.909,51.027,0.209,0.775
12,5,581,32769,49.345,45.193,50.232,0.118,0.756
12,4,730,40926,50.672,46.785,51.714,0.132,0.764
16,5,574,32747,49.174,45.107,49.863,0.086,0.689
16,4,774,41082,50.772,46.837,51.882,0.096,0.708
24,5,597,32733,51.618,47.692,52.275,0.074,0.599
24,4,814,40960,52.192,48.299,53.2,0.069,0.661
40,5,707,32769,54.857,51.07,55.569,0.036,0.336
40,4,873,40924,52.754,48.927,53.984,0.038,0.404
60,5,779,32740,57.376,53.866,57.255,0.029,0.315
60,4,928,40985,53.063,49.283,54.071,0.034,0.395
100,5,874,32832,58.422,55.179,58.859,0.023,0.309
100,4,1047,41030,53.117,49.589,53.734,0.021,0.351
200,5,1124,32734,44.202,42.68,41.837,0.006,0.248
200,4,1249,41193,42.684,40.981,41.186,0.006,0.263
500,5,1528,32731,62.091,59.996,58.044,0.008,0.284
500,4,1781,40942,58.668,56.643,55.069,0.007,0.301
Inf,5,1528,32731,62.091,59.996,58.044,0.008,0.284
Inf,4,1788,40939,58.519,56.534,54.971,0.007,0.306
