"seed","seed_vap_black","d5_vap_black_pct","d5_reg_black_pct","d4_vap_black_pct","d4_reg_black_pct"
"131530201061019",114,60.192,58.017,56.534,54.971
"131530201082007",53,61.846,59.136,57.518,56.017
"131530201083016",25,59.996,58.044,56.534,54.971
"131530201082011",13,61.846,59.136,57.518,56.017
"131530201081024",34,61.846,59.136,57.518,56.017
"131530201101012",45,59.996,58.044,56.534,54.971
"131530201102000",16,59.996,58.044,56.534,54.971
"131530201101007",41,59.996,58.044,56.534,54.971
"131530201101008",85,59.996,58.044,56.534,54.971
"131530201101009",146,59.996,58.044,56.534,54.971
"131530201101011",25,59.996,58.044,56.534,54.971
"131530201101014",47,59.996,58.044,56.534,54.971
"131530201102003",330,59.996,58.044,56.534,54.971
"131530201102004",102,59.996,58.044,56.534,54.971
"131530201101002",80,59.996,58.044,56.534,54.971
"131530201101004",145,59.996,58.044,56.534,54.971
"131530201111007",61,59.996,58.044,56.534,54.971
"131530201111021",75,59.996,58.044,56.534,54.971
"131530201111022",18,59.996,58.044,56.534,54.971
"131530201111023",16,59.996,58.044,56.534,54.971
"131530201111024",70,59.996,58.044,56.534,54.971
"131530201111025",19,59.996,58.044,56.534,54.971
"131530201111026",49,59.996,58.044,56.534,54.971
"131530201111031",36,59.996,58.044,56.534,54.971
"131530201111032",21,59.996,58.044,56.534,54.971
"131530201112007",197,59.996,58.044,56.534,54.971
"131530201112011",62,59.996,58.044,56.534,54.971
"131530201112015",34,59.959,58.044,56.534,54.971
"131530201122012",15,60.796,58.531,57.027,55.64
"131530201121004",76,61.846,59.136,57.518,56.017
"131530201121005",15,61.846,59.136,57.518,56.017
"131530201121006",20,61.846,59.136,57.518,56.017
"131530201121007",12,61.846,59.136,57.518,56.017
"131530201122006",36,59.996,58.044,56.534,54.971
"131530201131003",18,60.387,58.233,56.922,55.327
"131530201131011",50,60.387,58.233,56.922,55.327
"131530201131013",16,60.387,58.233,56.922,55.327
"131530201133004",18,61.88,59.446,57.425,56.082
"131530201133008",23,61.88,59.446,57.425,56.082
"131530201131004",41,60.387,58.233,56.922,55.327
"131530201131014",25,60.387,58.233,56.922,55.327
"131530201131015",72,60.387,58.233,56.922,55.327
"131530201131017",33,60.387,58.233,56.922,55.327
"131530201131018",29,59.996,58.044,56.534,54.971
"131530201133005",19,61.88,59.446,57.425,56.082
"131530201133007",18,61.88,59.446,57.425,56.082
"131530201133012",28,61.88,59.446,57.425,56.082
"131530202001021",43,59.996,58.044,56.534,54.971
"131530202001002",26,59.996,58.044,56.534,54.971
"131530202001004",42,59.996,58.044,56.534,54.971
"131530202004008",22,59.959,58.044,56.534,54.971
"131530202001023",19,59.996,58.044,56.534,54.971
"131530202001030",14,60.239,58.03,56.534,54.971
"131530202002000",45,59.996,58.044,56.534,54.971
"131530202002011",18,59.996,58.044,56.534,54.971
"131530202002012",84,59.996,58.044,56.534,54.971
"131530202002013",30,59.996,58.044,56.534,54.971
"131530202003004",22,60.239,58.03,56.534,54.971
"131530202003006",33,60.239,58.03,56.534,54.971
"131530202003009",60,60.239,58.03,56.534,54.971
"131530202003010",46,60.239,58.03,56.534,54.971
"131530202003011",19,60.239,58.03,56.534,54.971
"131530202004000",37,59.959,58.044,56.534,54.971
"131530202004005",14,59.959,58.044,56.534,54.971
"131530202001001",33,59.996,58.044,56.534,54.971
"131530202001003",160,59.996,58.044,56.534,54.971
"131530202001015",27,59.996,58.044,56.534,54.971
"131530203011011",157,59.996,58.044,56.534,54.971
"131530203013015",92,59.996,58.044,56.534,54.971
"131530203013016",136,59.996,58.044,56.534,54.971
"131530203012000",222,59.996,58.044,56.534,54.971
"131530203013007",15,59.996,58.044,56.534,54.971
"131530203013018",23,59.996,58.044,56.534,54.971
"131530203013021",73,59.996,58.044,56.534,54.971
"131530203013023",72,59.996,58.044,56.534,54.971
"131530203013024",25,59.996,58.044,56.534,54.971
"131530203013027",24,59.996,58.044,56.534,54.971
"131530203023005",60,59.996,58.044,56.534,54.971
"131530203023010",28,59.996,58.044,56.534,54.971
"131530203023012",39,59.996,58.044,56.534,54.971
"131530203024008",36,59.996,58.044,56.534,54.971
"131530203024010",48,59.996,58.044,56.534,54.971
"131530203024015",42,59.996,58.044,56.534,54.971
"131530203021002",86,59.996,58.044,56.534,54.971
"131530203021004",41,59.996,58.044,56.534,54.971
"131530203021007",22,59.996,58.044,56.534,54.971
"131530203021009",42,59.996,58.044,56.534,54.971
"131530203022003",26,59.996,58.044,56.534,54.971
"131530203022021",16,59.996,58.044,56.534,54.971
"131530203022023",36,59.996,58.044,56.534,54.971
