"plan","kind","blocks","pop","pop_black_pct","vap","vap_black_pct","reg","reg_black_pct","pp","reock","area_km2","perim_km"
"Enacted BOE district 1","enacted",602,32638,30.388,25328,27.874,9595,34.664,0.28895,0.44296,68.34958,54.52105
"Enacted BOE district 2","enacted",461,32579,29.989,23832,28.688,9484,30.335,0.46637,0.45845,42.27174,33.74944
"Enacted BOE district 3","enacted",1001,33090,28.652,24976,27.462,10376,27.197,0.39685,0.55962,704.16894,149.32368
"Enacted BOE district 4","enacted",698,32550,57.447,23849,53.73,9265,58.208,0.26578,0.51411,65.88962,55.81526
"Enacted BOE district 5","enacted",507,32776,26.397,24133,25.007,11051,29.708,0.17218,0.39206,104.00341,87.12422
"Ceiling, 5 districts","ceiling",486,32850,68.198,23512,67.102,9738,62.785,0.0057,0.05621,89.52078,444.28328
"Ceiling, 4 districts","ceiling",618,41635,64.153,30078,62.7,12558,58.823,0.0048,0.07642,123.8614,569.4659
"Reach 1, 5 districts","reach",540,32738,45.336,24711,41.265,9417,48.168,0.32387,0.7663,32.76667,35.65653
"Reach 40, 5 districts","reach",707,32769,54.857,23973,51.07,9149,55.569,0.03574,0.33556,34.84689,110.69537
"Reach unlimited, 5 districts","reach",1528,32731,62.091,23625,59.996,9622,58.044,0.00763,0.28433,531.19683,935.09925
"Reach 1, 4 districts","reach",691,40910,48.208,30588,44.325,11621,50.374,0.36959,0.79365,40.19141,36.96682
"Reach unlimited, 4 districts","reach",1788,40939,58.519,29623,56.534,12352,54.971,0.00672,0.30628,572.20398,1034.46368
