"GEOID20","boe5","pop","pop_black","pop_white","vap","vap_black","vap_white","reg","reg_black","x_km","y_km","area_km2"
"131530201101002",4,182,103,66,144,80,53,65,42,20.5914,40.2813,0.13538
"131530201101004",4,236,189,36,188,145,34,129,90,20.0667,39.6706,0.20848
"131530201111001",4,71,27,0,46,22,0,7,1,19.667,39.4704,0.01303
"131530201111003",4,58,13,9,35,9,7,9,2,19.6919,39.3854,0.01881
"131530201111005",4,64,19,19,48,15,15,10,3,19.6723,39.0174,0.24339
"131530201111006",4,14,2,0,5,0,0,0,0,19.7153,39.2829,0.00454
"131530201111008",4,96,47,46,83,40,40,31,9,18.9151,39.1887,0.07477
"131530201111010",1,46,15,22,29,6,14,14,9,18.9306,38.868,0.02695
"131530201111012",1,107,31,65,78,23,51,28,6,18.642,39.1869,0.05813
"131530201111013",1,343,136,186,274,99,161,140,57,18.3475,38.9838,0.24552
"131530201111017",1,31,2,18,26,2,18,4,0,18.164,39.0882,0.01092
"131530201111030",1,45,21,19,26,9,12,13,6,18.5543,38.7397,0.02802
"131530201112002",1,56,29,16,33,16,10,18,12,18.1542,40.2365,0.00582
"131530201112005",1,42,12,21,38,10,21,3,1,18.3951,40.1783,0.02582
"131530201112008",4,95,23,61,80,17,53,21,4,18.9458,39.6145,0.08095
"131530201111000",4,141,58,32,106,47,29,32,9,19.6121,39.5259,0.04451
"131530201111002",4,47,16,5,35,14,5,4,0,19.5803,39.4652,0.01042
"131530201111004",4,87,13,13,56,9,7,6,0,19.5734,39.2254,0.01685
"131530201111007",4,121,72,39,102,61,37,25,15,19.3132,39.334,0.21785
"131530201111009",4,110,38,55,76,27,39,28,7,19.0945,39.1542,0.06494
"131530201111011",1,132,66,53,107,46,51,47,32,18.6993,38.951,0.08475
"131530201111014",1,31,7,16,25,3,16,9,1,18.1578,38.9471,0.00973
"131530201111015",1,32,4,19,27,4,19,2,0,18.1628,39.0178,0.01002
"131530201111016",1,35,2,20,29,1,20,19,4,18.0612,38.9853,0.01549
"131530201111018",1,31,2,22,25,1,18,2,0,18.1516,38.877,0.01009
"131530201111019",1,44,21,14,32,16,10,18,7,19.0338,38.8577,0.02815
"131530201111020",1,59,24,31,47,18,26,12,2,19.1332,38.8223,0.03394
"131530201111021",4,129,100,22,102,75,22,29,21,19.293,38.7941,0.05864
"131530201111022",4,34,22,11,25,18,6,15,8,19.3317,38.9145,0.01264
"131530201111023",4,44,27,9,29,16,9,15,12,19.4199,38.9117,0.01368
"131530201111024",4,141,86,7,125,70,7,16,8,19.6454,38.4667,0.13299
"131530201111025",4,33,27,1,25,19,1,6,5,19.5053,38.5661,0.00984
"131530201111026",4,128,81,34,87,49,26,37,26,19.3121,38.478,0.07348
"131530201111027",1,23,14,7,17,8,7,6,3,19.0742,38.6218,0.02635
"131530201111028",1,53,21,23,41,9,23,13,7,18.8871,38.5646,0.06053
"131530201111029",1,0,0,0,0,0,0,0,0,18.7488,38.6111,0.02134
"131530201111031",4,69,55,7,47,36,7,20,17,19.3163,38.6222,0.02149
"131530201111032",1,46,22,17,38,21,15,16,6,19.0598,38.4617,0.03945
"131530201112000",1,3,0,2,1,0,1,0,0,19.858,40.4382,0.00582
"131530201112001",1,239,104,121,207,84,111,83,33,18.9299,40.2383,0.66038
"131530201112003",1,50,13,30,43,10,26,10,4,18.4168,40.0741,0.02931
"131530201112004",1,138,31,98,105,27,69,41,17,18.6091,39.9861,0.09052
"131530201112006",1,4,0,1,3,0,1,1,1,18.7771,40.385,0.0939
"131530201112007",4,400,250,136,329,197,123,127,60,19.2812,39.8398,0.3473
"131530201112009",4,76,26,46,63,21,40,20,7,19.169,39.768,0.07604
"131530201112010",4,37,9,21,31,5,19,23,11,18.9366,39.4189,0.03645
"131530201112011",4,115,78,31,91,62,24,43,25,19.6842,39.712,0.05953
"131530201112012",4,50,14,31,42,8,29,14,4,19.3334,39.8215,0.04261
"131530201112013",1,148,47,98,114,34,79,33,8,18.4364,39.5456,0.16464
"131530201112014",1,38,15,19,28,10,14,9,1,18.4509,39.7296,0.02342
"131530201112015",1,71,39,29,58,34,22,17,5,18.287,39.8354,0.06462
"131530201112016",1,58,20,36,49,13,35,64,32,18.1515,39.5079,0.08179
"131530201121003",1,0,0,0,0,0,0,0,0,13.5512,40.7762,0.00667
"131530201121008",1,8,0,7,8,0,7,11,6,14.5638,40.7898,0.00939
"131530201121013",1,180,80,84,155,69,71,211,117,14.117,40.3947,0.32069
"131530201121015",1,36,18,14,34,16,14,13,5,13.8431,40.3897,0.01687
"131530201121017",1,0,0,0,0,0,0,0,0,13.5426,39.3274,0.01999
"131530201121020",1,13,5,1,12,5,1,0,0,15.055,39.979,0.00573
"131530201121025",1,32,7,24,31,6,24,8,1,14.9693,38.8674,0.02265
"131530201121028",1,0,0,0,0,0,0,0,0,13.5492,38.6814,0.0019
"131530201122009",1,34,8,20,26,4,20,10,2,14.6599,37.2688,0.01766
"131530201122012",1,29,18,2,20,15,0,5,1,14.4449,36.982,0.00982
"131530201122015",1,60,18,29,44,10,22,16,8,13.6428,37.8292,0.24623
"131530201122017",1,417,159,182,349,124,163,0,0,13.6786,37.5195,0.06713
"131530201122020",1,0,0,0,0,0,0,0,0,13.6007,36.8305,0.18458
"131530201123003",1,42,13,15,28,9,12,3,2,14.9716,38.4813,0.01515
"131530201123009",1,99,17,46,69,13,31,28,14,13.8043,38.5459,0.04653
