"","key","value"
"1","centroid_rows","3221"
"2","centroid_fetch","2026-08-10"
"3","rows_2020","3152"
"4","rows_2024","3160"
"5","only_2020","48"
"6","only_2024","56"
"7","in_both","3104"
"8","dc_name_2020","District of Columbia"
"9","dc_name_2024","Ward 1"
"10","dc_votes_2020","344356"
"11","dc_votes_2024","40463"
"12","dc_state_total_2024","325869"
"13","ak_collisions","3"
"14","ak_collision_list","02013, 02016, 02020"
"15","ak_collision_detail","02013 = State House District 13 in the returns, Aleutians East Borough/Census Area in the centroids; 02016 = State House District 16 in the returns, Aleutians West Borough/Census Area in the centroids; 02020 = State House District 20 in the returns, Anchorage Borough/Census Area in the centroids"
"16","ct_current_units","9"
"17","ct_current_list","09110, 09120, 09130, 09140, 09150, 09160, 09170, 09180, 09190"
"18","ct_old_list","09001, 09003, 09005, 09007, 09009, 09011, 09013, 09015"
"19","ct_new_list","09110, 09120, 09130, 09140, 09150, 09160, 09170, 09180, 09190"
"20","ak_2020_range","02901-02940"
"21","ak_2024_range","02001-02040"
"22","ak_dropped_2020","40"
"23","ak_dropped_2024","40"
"24","dc_rows_folded","8"
"25","matched_after_harmonise","3104"
"26","ct_units_lost","8"
"27","ct_votes_lost","1824280"
"28","matched_with_centroid","3104"
"29","naive_matched","3104"
"30","naive_dc_margin_20","-88.9339"
"31","naive_dc_margin_24","-89.4396"
"32","naive_dc_swing","-0.505714"
"33","true_dc_margin_20","-88.9339"
"34","true_dc_margin_24","-86.6295"
"35","true_dc_swing","2.30442"
"36","dc_swing_error","2.81013"
"37","us_arrows","3100"
"38","us_outside_frame","4"
"39","us_outside_states","Hawaii"
"40","us_swing_median","3.06145"
"41","us_swing_min","-9.15126"
"42","us_swing_max","28.1354"
"43","us_share_R","88.5161"
"44","us_capped_len","60"
"45","us_capped_angle","66"
"46","us_agg_margin_20","-4.29311"
"47","us_agg_margin_24","1.74825"
"48","us_agg_swing","6.04136"
"49","us_swing_unweighted","3.40321"
"50","us_biggest","Los Angeles County"
"51","us_biggest_state","California"
"52","us_biggest_votes","3606971"
"53","us_smallest_votes","96"
"54","us_size_ratio","37573"
"55","us_median_votes","12366.5"
"56","us_outline_points","14122"
"57","ga_rows_2020","159"
"58","ga_rows_2024","159"
"59","ga_county_join_misses","0"
"60","ga_counties_drawn","159"
"61","ga_swing_median","2.96053"
"62","ga_swing_min","-9.18875"
"63","ga_swing_max","10.5821"
"64","ga_swing_min_county","Henry"
"65","ga_swing_max_county","Webster"
"66","ga_share_R","81.761"
"67","ga_capped_len","3"
"68","ga_state_margin_20","-0.256668"
"69","ga_state_margin_24","2.20882"
"70","ga_state_swing","2.46548"
"71","ga_swing_voteweighted","0.697163"
"72","ga_swing_unweighted","2.71846"
"73","ga_ballots_24","5250048"
"74","ga_biggest","Fulton"
"75","ga_biggest_votes","529389"
"76","ga_smallest","Taliaferro"
"77","ga_smallest_votes","882"
"78","ga_size_ratio","600"
"79","ga_outline_points","2735"
"80","ga_counties","159"
"81","pj_precincts_2020","2692"
"82","pj_precincts_2024","2701"
"83","pj_exact","2198"
"84","pj_best","2446"
"85","pj_best_pct","90.9"
"86","pj_lost","246"
"87","pj_lost_pct","9.1"
"88","pj_worst_county","CHATHAM"
"89","pj_worst_unmatched","86"
"90","pj_worst_total","86"
"91","pj_worst_ballots","131490"
"92","pj_counties_affected","44"
"93","pj_ballots_lost","487319"
"94","pj_ballots_lost_pct","9.9"
"95","pj_dem_share_matched","50.5236"
"96","pj_dem_share_lost","46.5032"
"97","og_n","2641"
"98","og_state_pres","-0.234921"
"99","og_state_sen","1.84368"
"100","og_state_gap","2.0786"
"101","og_median_abs","1.63137"
"102","og_p90_abs","5.31251"
"103","og_max_abs","24.5804"
"104","og_share_over2","41.9917"
"105","og_share_over5","11.2079"
"106","og_ballots","4934434"
"107","og_cor","0.998492"
"108","og_gap_vs_ga_swing","2.0786"
"109","ga22_election","November 8, 2022 - General/Special Election"
"110","ga22_date","2022-11-08"
"111","ga22_snapshot","2025-01-08"
"112","ga22_counties","159"
"113","ga22_dem","1813673"
"114","ga22_gop","2111572"
"115","ga22_margin","7.58931"
"116","stub_rows","159"
"117","stub_filled","0"
"118","deg_per_point","8"
"119","angle_cap","90"
"120","len_min_frac","0.15"
"121","len_max_km_us","150"
"122","net_votes_full_us","25000"
"123","len_max_km_ga_county","55"
"124","net_votes_full_ga_county","8000"
"125","fetch_date","2026-08-10"
"126","rows_2016_raw","9474"
"127","fetch_date_2016","2026-08-12"
"128","url_2016","https://raw.githubusercontent.com/MEDSL/county-returns/master/countypres_2000-2016.csv"
"129","medsl_version_2016","20190722"
"130","source_2016","MIT Election Data and Science Lab, county-returns"
"131","nofips_units_2016","4"
"132","nofips_votes_2016","5056"
"133","kc_votes_folded_2016","128601"
"134","empty_units_2016","51515"
"135","empty_units_2016_n","1"
"136","rows_2016","3152"
"137","rows_2020_for_1620","3152"
"138","only_2016","41"
"139","only_2020_vs_2016","41"
"140","in_both_1620","3111"
"141","ak_2016_rows","40"
"142","ak_2016_distinct_totals","40"
"143","ak_2016_units","40"
"144","ak_2016_unit_kind","State House districts, coded 02701-02740"
"145","ct_2016_units","8"
"146","ct_2020_units","8"
"147","ak_dropped_2016","40"
"148","dc_rows_folded_2016","1"
"149","matched_1620","3111"
"150","units_lost_1620","41"
"151","votes_lost_1620","394546"
"152","votes_lost_1620_pct","0.249029"
"153","ak_votes_lost_1620","391346"
"154","matched_with_centroid_1620","3111"
"155","us16_arrows","3107"
"156","us16_outside_frame","4"
"157","us16_swing_median","-1.27273"
"158","us16_swing_min","-16.1693"
"159","us16_swing_max","56.3222"
"160","us16_share_R","38.3006"
"161","us16_capped_len","54"
"162","us16_capped_angle","88"
"163","us16_agg_margin_16","-2.16081"
"164","us16_agg_margin_20","-4.47808"
"165","us16_agg_swing","-2.31727"
"166","us16_swing_unweighted","-1.10887"
"167","us1624_arrows","3099"
"168","us1624_share_R","63.1171"
"169","us1624_vshare_R","56.5764"
"170","us1624_swing_median","1.84557"
"171","us1624_swing_min","-25.3206"
"172","us1624_swing_max","77.4214"
"173","us1624_swing_sd","7.2579"
"174","us1624_sd_if_indep","6.1356"
"175","us1624_sd_a","5.14818"
"176","us1624_sd_b","3.33793"
"177","us1624_halves_cor","0.437364"
"178","us1624_halves_cor_w","0.621809"
"179","us1624_slope","0.283574"
"180","us1624_slope_w","0.487581"
"181","us1624_int","3.71203"
"182","us1624_int_w","6.04355"
"183","us1624_swing_sd_w","9.084"
"184","us1624_sd_if_indep_w","7.17287"
"185","us1624_half_vote_n","158"
"186","us1624_off_frame","8"
"187","us1624_weight_ratio","37572.6"
"188","us1624_same_dir","45.8858"
"189","us1624_D_then_R","52.1136"
"190","us1624_R_then_D","2.00065"
"191","us1624_R_both","36.3988"
"192","us1624_D_both","9.48693"
"193","us1624_margin_16","-2.01037"
"194","us1624_margin_24","1.74973"
"195","us1624_ct_lost","8"
"196","us1624_capped","70"
"197","us1624_top_county","Starr"
"198","us1624_top_state","Texas"
"199","us1624_top_swing","77.4214"
"200","us1624_top_m16","-61.3654"
"201","us1624_top_m24","16.056"
"202","us1624_bot_county","Henry"
"203","us1624_bot_state","Georgia"
"204","us1624_bot_swing","-25.3206"
"205","us1624_agg_swing","3.7601"
"206","src16_err_scrape","0.149"
"207","src16_err_official","0.004"
"208","src16_worst_state","CO"
"209","src16_worst_err","2.19"
"210","src16_share_az","79"
"211","src16_share_ca","84"
"212","src16_share_ut","87"
"213","src16_share_wa","92"
"214","src16_share_ny","91"
"215","src16_share_tx","99"
"216","src16_share_fl","100"
"217","src16_states_under95","11"
"218","src16_votes_recovered","6578910"
"219","corr_n_moved","532"
"220","corr_n_1pt","188"
"221","corr_n_5pt","14"
"222","corr_understated","404"
"223","corr_overstated","128"
"224","corr_flips","39"
"225","corr_max_county","Poinsett"
"226","corr_max_delta","23.8"
"227","corr_max_old","35.9"
"228","corr_max_new","12.1"
"229","us_netvotes_max","400096"
"230","us_netvotes_ratio","1117"
"231","us_atmax_pct","1.9"
"232","us_capped_angle_pct","2.1"
"233","ga_capped_angle_pct","0"
"234","us_over1_nn","68.7"
"235","us_over3_nn","9.6"
"236","ga_over3_nn","1.3"
