"to_2024","two_pres","two_sen","margin_pres","margin_sen","gap"
"APPLING|1B",986,962,76.4706,72.1414,-4.32922
"APPLING|1C",641,626,85.6474,85.3035,-0.343912
"APPLING|2",1434,1373,-26.2204,-25.4188,0.801572
"APPLING|3A1",607,595,93.4102,91.5966,-1.81358
"APPLING|3C",1132,1101,48.9399,48.7738,-0.166087
"APPLING|4B",670,664,93.1343,92.4699,-0.664449
"APPLING|4D",1178,1150,77.9287,77.5652,-0.363475
"APPLING|5A",815,775,71.0429,70.3226,-0.720364
"APPLING|5B",841,812,68.6088,66.5025,-2.10634
"ATKINSON|AXSON",524,507,82.8244,81.854,-0.970384
"ATKINSON|PEARSON CITY",558,531,-17.9211,-10.3578,7.56333
"ATKINSON|PEARSON COUNTY",1186,1172,73.0185,72.0137,-1.0049
"ATKINSON|WILLACOOCHEE",857,835,32.0887,35.3293,3.24066
"BACON|DOUGLAS",4643,4520,73.0778,73.8496,0.771806
"BAKER|ANNA",343,336,20.1166,20.8333,0.716715
"BAKER|ELMODEL",301,296,10.299,8.78378,-1.51522
"BAKER|HOGGARDS MILL",303,299,7.59076,3.67893,-3.91183
"BAKER|MILFORD",320,313,24.375,24.6006,0.225639
"BAKER|NEWTON",282,277,16.3121,14.8014,-1.51061
"BALDWIN|BODDIE",1127,1107,-34.6939,-31.7073,2.98656
"BALDWIN|CITY HALL ANNEX",546,526,-34.7985,-32.3194,2.47914
"BALDWIN|COOPERS",1104,1075,42.029,42.8837,0.854735
"BALDWIN|COURTHOUSE",209,206,-24.4019,-23.301,1.10094
"BALDWIN|EAST BALDWIN",2749,2697,15.3874,16.129,0.741619
"BALDWIN|EAST HARDWICK",660,635,-57.5758,-56.2205,1.35529
"BALDWIN|MERIWETHER",2197,2148,24.3514,26.5363,2.18492
"BALDWIN|NORTH BALDWIN",2701,2661,40.0222,41.4506,1.42837
"BALDWIN|NORTH MILLEDGEVILLE",1354,1329,-12.1123,-9.25508,2.85718
"BALDWIN|SCOTTSBORO",701,678,21.5407,20.059,-1.48166
"BALDWIN|SOUTH MILLEDGEVILLE",572,566,-53.1469,-51.5901,1.55675
"BALDWIN|WEST BALDWIN",1335,1314,9.51311,11.8721,2.35904
"BALDWIN|WEST HARDWICK",1821,1768,-56.0681,-53.5068,2.56131
"BALDWIN|WEST THOMAS",975,952,-53.0256,-50.6303,2.39539
"BANKS|ANDERSON",1006,985,79.9205,79.8985,-0.022
"BANKS|BALDWIN",631,615,67.3534,63.9024,-3.45097
"BANKS|BERLIN",295,290,80.339,81.3793,1.04033
"BANKS|BUSHVILLE",520,502,83.0769,82.8685,-0.208397
"BANKS|COLUMBIA",278,275,85.6115,87.6364,2.02485
"BANKS|DAVIDS",1273,1242,73.9199,75.3623,1.44244
"BANKS|GOLDEN HILL",620,619,74.1935,74.475,0.281411
"BANKS|GROVE RIVER",420,415,84.2857,83.6145,-0.671256
"BANKS|HOLLINGSWORTH",485,468,78.1443,78.6325,0.488149
"BANKS|HOMER",1065,1038,79.7183,80.5395,0.821189
"BANKS|POPLAR SPRINGS",1234,1207,81.6856,82.2701,0.584516
"BANKS|WASHINGTON",491,486,78.4114,77.7778,-0.633628
"BANKS|WILMONTS",420,404,84.7619,86.6337,1.87176
"BARROW|1",2344,2285,50.5119,51.1597,0.647792
"BARROW|13",7086,6935,28.5634,28.4787,-0.0846333
"BARROW|16",5438,5327,28.0986,28.5527,0.454091
"BARROW|2",4982,4885,61.3408,62.8659,1.52509
"BARROW|3",4041,3902,53.3284,54.4849,1.1565
"BARROW|4",2528,2483,50.6329,51.6714,1.03845
"BARROW|5",5941,5815,41.323,42.5623,1.23933
"BARROW|8",4898,4751,54.512,55.3778,0.865769
"BARTOW|ADAIRSVILLE",4727,4614,61.5824,61.8552,0.272824
"BARTOW|ALLATOONA",2693,2598,48.3104,48.2679,-0.0425361
"BARTOW|CARTERSVILLE EAST",4306,4223,29.5866,30.1444,0.557824
"BARTOW|CARTERSVILLE WEST",5847,5718,38.8062,42.2176,3.41133
"BARTOW|CASSVILLE",3293,3202,37.8075,37.539,-0.268432
"BARTOW|CENTER",2880,2838,60.5556,60.8175,0.261922
"BARTOW|EMERSON",1990,1958,58.4925,59.6527,1.16024
"BARTOW|EUHARLEE",3712,3629,54.0409,54.1471,0.1062
"BARTOW|FOLSOM",1010,984,77.6238,78.252,0.62827
"BARTOW|HAMILTON CROSSING",4149,4076,55.6038,56.3297,0.725975
"BARTOW|KINGSTON",1855,1810,67.1159,70.4972,3.38133
"BARTOW|MISSION ROAD",2807,2756,48.6284,48.1132,-0.515221
"BARTOW|PINE LOG",1558,1522,75.7381,75.2957,-0.442462
"BARTOW|TAYLORSVILLE",2067,2039,80.0677,79.4998,-0.567976
"BARTOW|WHITE",1923,1896,71.3989,71.4135,0.0146462
"BARTOW|WOODLAND",1255,1237,52.8287,52.789,-0.0396796
"BARTOW|ZENA DRIVE",3694,3575,29.6697,29.2867,-0.383021
"BEN HILL|EAST",6502,6361,26.4226,28.1874,1.76475
"BERRIEN|ALAPAHA",828,811,50.2415,51.418,1.17646
"BERRIEN|ENIGMA",722,704,76.1773,75.2841,-0.893194
"BERRIEN|NASHVILLE",4087,3981,66.0387,68.0482,2.00957
"BERRIEN|RAY CITY",1278,1239,66.1972,65.9403,-0.256909
"BERRIEN|WEST BERRIEN",773,755,82.6649,80.6623,-2.00269
"BIBB|EAST MACON 1",976,938,-90.3689,-89.9787,0.390174
"BIBB|EAST MACON 2",2326,2274,-86.5004,-84.7845,1.71591
"BIBB|EAST MACON 3",2133,2063,-46.5541,-44.7407,1.81348
"BIBB|EAST MACON 4",1404,1363,-86.4672,-85.4732,0.994016
"BIBB|EAST MACON 5",1643,1600,-53.8649,-54,-0.135119
"BIBB|GODFREY 1",3313,3218,-80.32,-78.2474,2.07259
"BIBB|GODFREY 2",893,851,-78.0515,-77.6733,0.378186
"BIBB|GODFREY 3",1718,1657,-79.6275,-78.6361,0.991384
"BIBB|GODFREY 4",965,922,-71.1917,-69.4143,1.77739
"BIBB|GODFREY 5",2629,2565,-77.1016,-75.3606,1.74094
"BIBB|HAZZARD 1",1908,1865,-75.6813,-75.3351,0.346221
"BIBB|HAZZARD 2",2821,2771,-13.8603,-14.0383,-0.17792
"BIBB|HAZZARD 3",4485,4396,-46.4437,-46.3603,0.0833737
"BIBB|HAZZARD 4",3703,3647,13.2595,14.1212,0.861676
"BIBB|HOWARD 1",2724,2693,27.0191,32.1946,5.17549
"BIBB|HOWARD 2",2658,2634,30.2483,31.8907,1.64235
"BIBB|HOWARD 3",4670,4603,3.98287,6.97371,2.99084
"BIBB|HOWARD 4",1202,1192,-3.99334,-2.01342,1.97992
"BIBB|HOWARD 5",1452,1400,-26.3085,-24,2.30854
"BIBB|HOWARD 6",1614,1590,8.79802,11.195,2.39695
"BIBB|HOWARD 7",2272,2260,25.088,26.9027,1.81463
"BIBB|RUTLAND 1",4343,4271,17.8448,17.5837,-0.261104
"BIBB|RUTLAND 2",2453,2400,29.6372,28.8333,-0.803846
"BIBB|VINEVILLE 1",2179,2123,-38.5039,-35.5629,2.94102
"BIBB|VINEVILLE 2",1230,1205,-52.6829,-49.2116,3.47131
"BIBB|VINEVILLE 3",1754,1693,-82.5542,-81.2168,1.33739
"BIBB|VINEVILLE 4",2325,2263,-75.6559,-72.8679,2.78804
"BIBB|VINEVILLE 5",1731,1710,5.48816,8.42105,2.9329
"BIBB|VINEVILLE 6",2117,2057,-11.4785,-5.78512,5.69338
"BIBB|WARRIOR 1",1975,1953,31.6456,32.6165,0.970918
"BIBB|WARRIOR 2",2450,2409,28.4082,26.7746,-1.63357
