"fips","county","state","pop","lat","lon"
"01001","Autauga","Alabama",58805,32.5002,-86.4878
"01003","Baldwin","Alabama",231767,30.5374,-87.7615
"01005","Barbour","Alabama",25223,31.844,-85.3013
"01007","Bibb","Alabama",22293,33.0322,-87.1368
"01009","Blount","Alabama",59134,33.9546,-86.5927
"01011","Bullock","Alabama",10357,32.1158,-85.7024
"01013","Butler","Alabama",19051,31.776,-86.6524
"01015","Calhoun","Alabama",116441,33.7272,-85.818
"01017","Chambers","Alabama",34772,32.8564,-85.2596
"01019","Cherokee","Alabama",24971,34.1805,-85.6299
"01021","Chilton","Alabama",45014,32.8791,-86.6889
"01023","Choctaw","Alabama",12665,32.0161,-88.2625
"01025","Clarke","Alabama",23087,31.6835,-87.8159
"01027","Clay","Alabama",14236,33.2743,-85.8172
"01029","Cleburne","Alabama",15056,33.6252,-85.4957
"01031","Coffee","Alabama",53465,31.3532,-85.8996
"01033","Colbert","Alabama",57227,34.7243,-87.6819
"01035","Conecuh","Alabama",11597,31.4164,-86.9975
"01037","Coosa","Alabama",10387,32.9769,-86.1562
"01039","Covington","Alabama",37570,31.2841,-86.4092
"01041","Crenshaw","Alabama",13194,31.7473,-86.2968
"01043","Cullman","Alabama",87866,34.1627,-86.8327
"01045","Dale","Alabama",49326,31.3839,-85.6377
"01047","Dallas","Alabama",38462,32.4118,-87.0353
"01049","DeKalb","Alabama",71608,34.4527,-85.8175
"01051","Elmore","Alabama",87977,32.5585,-86.2253
"01053","Escambia","Alabama",36757,31.0854,-87.2801
"01055","Etowah","Alabama",103436,34.0122,-86.0259
"01057","Fayette","Alabama",16321,33.7269,-87.7675
"01059","Franklin","Alabama",32113,34.4635,-87.7936
"01061","Geneva","Alabama",26659,31.0945,-85.7814
"01063","Greene","Alabama",7730,32.8338,-87.9245
"01065","Hale","Alabama",14785,32.7833,-87.628
"01067","Henry","Alabama",17146,31.4693,-85.2711
"01069","Houston","Alabama",107202,31.2048,-85.3963
"01071","Jackson","Alabama",52579,34.7273,-85.9436
"01073","Jefferson","Alabama",674721,33.5172,-86.8116
"01075","Lamar","Alabama",13972,33.7613,-88.1088
"01077","Lauderdale","Alabama",93564,34.8655,-87.6089
"01079","Lawrence","Alabama",33073,34.5409,-87.2716
"01081","Lee","Alabama",174241,32.5923,-85.3598
"01083","Limestone","Alabama",103570,34.804,-86.9224
"01085","Lowndes","Alabama",10311,32.1642,-86.6152
"01087","Macon","Alabama",19532,32.4291,-85.7118
"01089","Madison","Alabama",388153,34.743,-86.6153
"01091","Marengo","Alabama",19323,32.3424,-87.8035
"01093","Marion","Alabama",29341,34.1104,-87.8765
"01095","Marshall","Alabama",97612,34.3112,-86.2913
"01097","Mobile","Alabama",414809,30.684,-88.1752
"01099","Monroe","Alabama",19772,31.4988,-87.3646
"01101","Montgomery","Alabama",228954,32.3465,-86.2338
"01103","Morgan","Alabama",123421,34.5139,-86.932
"01105","Perry","Alabama",8511,32.5849,-87.3697
"01107","Pickens","Alabama",19123,33.2847,-88.0744
"01109","Pike","Alabama",33009,31.786,-85.947
"01111","Randolph","Alabama",21967,33.2647,-85.4274
"01113","Russell","Alabama",59183,32.4149,-85.0546
"01115","St. Clair","Alabama",91103,33.6609,-86.3749
"01117","Shelby","Alabama",223024,33.2903,-86.739
"01119","Sumter","Alabama",12345,32.571,-88.2309
"01121","Talladega","Alabama",82149,33.3769,-86.1659
"01123","Tallapoosa","Alabama",41311,32.8517,-85.864
"01125","Tuscaloosa","Alabama",227036,33.2148,-87.5185
"01127","Walker","Alabama",65342,33.8342,-87.2505
"01129","Washington","Alabama",15388,31.4137,-88.1953
"01131","Wilcox","Alabama",10600,32.0074,-87.3769
"01133","Winston","Alabama",23540,34.1644,-87.4156
"02013","Aleutians East","Alaska",3420,54.6729,-163.764
"02016","Aleutians West","Alaska",5232,54.0246,-168.148
"02020","Anchorage","Alaska",291247,61.1915,-149.792
"02050","Bethel","Alaska",18666,60.6676,-162.178
"02060","Bristol Bay","Alaska",844,58.7335,-156.834
"02063","Chugach","Alaska",7102,60.8814,-146.199
"02066","Copper River","Alaska",2617,62.0608,-145.033
"02068","Denali","Alaska",1619,63.8643,-149.027
"02070","Dillingham","Alaska",4857,59.1288,-158.751
"02090","Fairbanks North Star","Alaska",95655,64.8312,-147.623
"02100","Haines","Alaska",2080,59.2342,-135.497
"02105","Hoonah-Angoon","Alaska",2365,58.1239,-135.424
"02110","Juneau","Alaska",32255,58.3602,-134.533
"02122","Kenai Peninsula","Alaska",58799,60.284,-151.068
"02130","Ketchikan Gateway","Alaska",13948,55.3691,-131.678
"02150","Kodiak Island","Alaska",13101,57.7746,-152.455
"02158","Kusilvak","Alaska",8368,62.0768,-164.34
"02164","Lake and Peninsula","Alaska",1476,58.6172,-156.273
"02170","Matanuska-Susitna","Alaska",107081,61.6072,-149.433
"02180","Nome","Alaska",10046,64.4316,-165.269
"02185","North Slope","Alaska",11031,70.4808,-155.295
"02188","Northwest Arctic","Alaska",7793,66.8971,-161.583
"02195","Petersburg","Alaska",3398,56.7951,-132.944
"02198","Prince of Wales-Hyder","Alaska",5753,55.5908,-132.669
"02220","Sitka","Alaska",8458,57.0628,-135.336
"02230","Skagway","Alaska",1240,59.4659,-135.311
"02240","Southeast Fairbanks","Alaska",6808,63.8616,-144.699
"02275","Wrangell","Alaska",2127,56.4261,-132.355
"02282","Yakutat","Alaska",662,59.5451,-139.715
"02290","Yukon-Koyukuk","Alaska",5343,64.9661,-152.828
"04001","Apache","Arizona",66021,35.5437,-109.419
"04003","Cochise","Arizona",125447,31.6035,-110.073
"04005","Coconino","Arizona",145101,35.4761,-111.602
"04007","Gila","Arizona",53272,33.8444,-111.015
"04009","Graham","Arizona",38533,32.8671,-109.808
"04011","Greenlee","Arizona",9563,32.9852,-109.26
"04012","La Paz","Arizona",16557,33.9542,-114.184
"04013","Maricopa","Arizona",4420568,33.4901,-112.044
"04015","Mohave","Arizona",213267,35.0345,-114.262
"04017","Navajo","Arizona",106717,34.8622,-110.205
"04019","Pima","Arizona",1043433,32.2164,-110.958
"04021","Pinal","Arizona",425264,33.0693,-111.602
"04023","Santa Cruz","Arizona",47669,31.4392,-110.946
"04025","Yavapai","Arizona",236209,34.6287,-112.274
"04027","Yuma","Arizona",203881,32.6414,-114.605
"05001","Arkansas","Arkansas",17149,34.4035,-91.4608
"05003","Ashley","Arkansas",19062,33.1796,-91.8779
"05005","Baxter","Arkansas",41627,36.3318,-92.3839
"05007","Benton","Arkansas",284333,36.3351,-94.2303
"05009","Boone","Arkansas",37373,36.2666,-93.0988
"05011","Bradley","Arkansas",10545,33.5744,-92.1013
"05013","Calhoun","Arkansas",4739,33.586,-92.5007
"05015","Carroll","Arkansas",28260,36.3757,-93.5747
"05017","Chicot","Arkansas",10208,33.326,-91.3184
"05019","Clark","Arkansas",21446,34.0993,-93.124
"05021","Clay","Arkansas",14552,36.3703,-90.3664
"05023","Cleburne","Arkansas",24711,35.5072,-92.0378
"05025","Cleveland","Arkansas",7550,33.913,-92.1364
"05027","Columbia","Arkansas",22801,33.2588,-93.2472
"05029","Conway","Arkansas",20715,35.213,-92.7059
"05031","Craighead","Arkansas",111231,35.8358,-90.6692
"05033","Crawford","Arkansas",60133,35.4941,-94.2859
"05035","Crittenden","Arkansas",48163,35.1767,-90.2135
"05037","Cross","Arkansas",16833,35.2517,-90.7774
"05039","Dallas","Arkansas",6482,33.8649,-92.5252
"05041","Desha","Arkansas",11395,33.768,-91.4152
"05043","Drew","Arkansas",17350,33.6273,-91.7841
"05045","Faulkner","Arkansas",123498,35.1057,-92.4061
"05047","Franklin","Arkansas",17097,35.4422,-93.891
"05049","Fulton","Arkansas",12075,36.3757,-91.7668
"05051","Garland","Arkansas",100180,34.5058,-93.0807
"05053","Grant","Arkansas",17958,34.3117,-92.4126
"05055","Greene","Arkansas",45736,36.0715,-90.5226
"05057","Hempstead","Arkansas",20065,33.6982,-93.6208
"05059","Hot Spring","Arkansas",33040,34.3536,-92.8955
"05061","Howard","Arkansas",12785,33.9815,-93.9089
"05063","Independence","Arkansas",37938,35.7507,-91.6073
"05065","Izard","Arkansas",13577,36.1215,-91.9117
"05067","Jackson","Arkansas",16755,35.6231,-91.2465
"05069","Jefferson","Arkansas",67260,34.2348,-92.0451
"05071","Johnson","Arkansas",25749,35.4765,-93.4731
"05073","Lafayette","Arkansas",6308,33.2789,-93.5577
"05075","Lawrence","Arkansas",16216,36.0708,-91.0644
"05077","Lee","Arkansas",8600,34.7874,-90.7696
"05079","Lincoln","Arkansas",12941,33.9734,-91.7459
"05081","Little River","Arkansas",12026,33.7003,-94.1987
"05083","Logan","Arkansas",21131,35.2277,-93.7683
"05085","Lonoke","Arkansas",74015,34.917,-91.9739
"05087","Madison","Arkansas",16521,36.0629,-93.7577
"05089","Marion","Arkansas",16826,36.2844,-92.6602
"05091","Miller","Arkansas",42600,33.4024,-93.9872
"05093","Mississippi","Arkansas",40685,35.8434,-90.0016
"05095","Monroe","Arkansas",6799,34.7771,-91.2215
"05097","Montgomery","Arkansas",8484,34.5146,-93.6224
"05099","Nevada","Arkansas",8310,33.7255,-93.3594
"05101","Newton","Arkansas",7225,35.9826,-93.1657
"05103","Ouachita","Arkansas",22650,33.5738,-92.8387
"05105","Perry","Arkansas",10019,34.9987,-92.7777
"05107","Phillips","Arkansas",16568,34.5309,-90.7038
"05109","Pike","Arkansas",10171,34.1864,-93.6262
"05111","Poinsett","Arkansas",22965,35.6048,-90.5584
"05113","Polk","Arkansas",19221,34.5228,-94.2579
"05115","Pope","Arkansas",63381,35.3091,-93.0968
"05117","Prairie","Arkansas",8282,34.8638,-91.5405
"05119","Pulaski","Arkansas",399125,34.7752,-92.3151
"05121","Randolph","Arkansas",18571,36.3021,-90.9896
"05123","St. Francis","Arkansas",23090,35.0164,-90.7749
"05125","Saline","Arkansas",123416,34.597,-92.5461
"05127","Scott","Arkansas",9836,34.9042,-94.097
"05129","Searcy","Arkansas",7828,35.9231,-92.6607
"05131","Sebastian","Arkansas",127799,35.3187,-94.3548
"05133","Sevier","Arkansas",15839,34.0153,-94.3038
"05135","Sharp","Arkansas",17271,36.1781,-91.5195
"05137","Stone","Arkansas",12359,35.8557,-92.1338
"05139","Union","Arkansas",39054,33.2074,-92.652
"05141","Van Buren","Arkansas",15796,35.5681,-92.4201
"05143","Washington","Arkansas",245871,36.0959,-94.1723
"05145","White","Arkansas",76822,35.2394,-91.7736
"05147","Woodruff","Arkansas",6269,35.2332,-91.251
"05149","Yell","Arkansas",20263,35.1278,-93.2829
"06001","Alameda","California",1682353,37.7066,-122.099
"06003","Alpine","California",1204,38.7285,-119.848
"06005","Amador","California",40474,38.3959,-120.778
"06007","Butte","California",211632,39.6589,-121.727
"06009","Calaveras","California",45292,38.1573,-120.645
"06011","Colusa","California",21839,39.1534,-122.084
"06013","Contra Costa","California",1165927,37.935,-122.025
"06015","Del Norte","California",27743,41.7908,-124.164
"06017","El Dorado","California",191185,38.741,-120.761
"06019","Fresno","California",1008654,36.7438,-119.765
"06021","Glenn","California",28917,39.6658,-122.179
"06023","Humboldt","California",136463,40.7576,-124.088
"06025","Imperial","California",179702,32.8416,-115.54
"06027","Inyo","California",19016,37.1714,-118.269
"06029","Kern","California",909235,35.3698,-118.942
"06031","Kings","California",152486,36.2527,-119.727
"06033","Lake","California",68163,38.9762,-122.733
"06035","Lassen","California",32730,40.3937,-120.584
"06037","Los Angeles","California",10014009,34.0679,-118.246
"06039","Madera","California",156255,37.0371,-120.01
"06041","Marin","California",262321,37.9865,-122.547
"06043","Mariposa","California",17131,37.5321,-119.971
"06045","Mendocino","California",91601,39.2856,-123.394
"06047","Merced","California",281202,37.2748,-120.629
"06049","Modoc","California",8700,41.5217,-120.631
"06051","Mono","California",13195,37.773,-118.971
"06053","Monterey","California",439035,36.6147,-121.647
"06055","Napa","California",138019,38.3251,-122.32
"06057","Nevada","California",102241,39.22,-120.915
"06059","Orange","California",3186989,33.7327,-117.859
"06061","Placer","California",404739,38.8397,-121.198
"06063","Plumas","California",19790,39.9812,-120.822
"06065","Riverside","California",2418185,33.7993,-117.077
"06067","Sacramento","California",1585055,38.5683,-121.381
"06069","San Benito","California",64209,36.8431,-121.403
"06071","San Bernardino","California",2181654,34.191,-117.36
"06073","San Diego","California",3298634,32.8844,-117.112
"06075","San Francisco","California",873965,37.7606,-122.436
"06077","San Joaquin","California",779233,37.9245,-121.302
"06079","San Luis Obispo","California",282424,35.3418,-120.666
"06081","San Mateo","California",764442,37.5636,-122.34
"06083","Santa Barbara","California",448229,34.6451,-120.103
"06085","Santa Clara","California",1936259,37.3155,-121.911
"06087","Santa Cruz","California",270861,36.9863,-121.939
"06089","Shasta","California",182155,40.5783,-122.3
"06091","Sierra","California",3236,39.6072,-120.422
"06093","Siskiyou","California",44076,41.5727,-122.494
"06095","Solano","California",453491,38.2363,-122.067
"06097","Sonoma","California",488863,38.4123,-122.72
"06099","Stanislaus","California",552878,37.6184,-120.956
"06101","Sutter","California",99633,39.1372,-121.644
"06103","Tehama","California",65829,40.1148,-122.219
"06105","Trinity","California",16112,40.63,-123.097
"06107","Tulare","California",473117,36.2541,-119.235
"06109","Tuolumne","California",55620,37.972,-120.325
"06111","Ventura","California",843843,34.2428,-119.025
"06113","Yolo","California",216403,38.5982,-121.719
"06115","Yuba","California",81575,39.1319,-121.511
"08001","Adams","Colorado",519572,39.8769,-104.921
"08003","Alamosa","Colorado",16376,37.4819,-105.878
"08005","Arapahoe","Colorado",655070,39.6466,-104.839
"08007","Archuleta","Colorado",13359,37.2403,-107.09
"08009","Baca","Colorado",3506,37.3681,-102.532
"08011","Bent","Colorado",5650,38.0729,-103.166
"08013","Boulder","Colorado",330758,40.063,-105.18
"08014","Broomfield","Colorado",74112,39.9399,-105.058
"08015","Chaffee","Colorado",19476,38.6768,-106.085
"08017","Cheyenne","Colorado",1748,38.8177,-102.47
"08019","Clear Creek","Colorado",9397,39.7135,-105.533
"08021","Conejos","Colorado",7461,37.1996,-105.987
"08023","Costilla","Colorado",3499,37.2922,-105.444
"08025","Crowley","Colorado",5922,38.1938,-103.856
"08027","Custer","Colorado",4704,38.1332,-105.383
"08029","Delta","Colorado",31196,38.7982,-107.914
"08031","Denver","Colorado",715522,39.7249,-104.95
"08033","Dolores","Colorado",2326,37.7469,-108.759
"08035","Douglas","Colorado",357978,39.482,-104.874
"08037","Eagle","Colorado",55731,39.6005,-106.733
"08039","Elbert","Colorado",26062,39.3886,-104.523
"08041","El Paso","Colorado",730395,38.8773,-104.752
"08043","Fremont","Colorado",48939,38.4269,-105.214
"08045","Garfield","Colorado",61685,39.5071,-107.549
"08047","Gilpin","Colorado",5808,39.8561,-105.483
"08049","Grand","Colorado",15717,40.0511,-105.979
"08051","Gunnison","Colorado",16918,38.66,-106.944
"08053","Hinsdale","Colorado",788,38.0026,-107.299
"08055","Huerfano","Colorado",6820,37.6125,-104.888
"08057","Jackson","Colorado",1379,40.6902,-106.295
"08059","Jefferson","Colorado",582910,39.7237,-105.13
"08061","Kiowa","Colorado",1446,38.4701,-102.701
"08063","Kit Carson","Colorado",7087,39.3104,-102.462
"08065","Lake","Colorado",7436,39.2448,-106.307
"08067","La Plata","Colorado",55638,37.266,-107.804
"08069","Larimer","Colorado",359066,40.5044,-105.089
"08071","Las Animas","Colorado",14555,37.1921,-104.501
"08073","Lincoln","Colorado",5675,39.18,-103.614
"08075","Logan","Colorado",21528,40.6403,-103.186
"08077","Mesa","Colorado",155703,39.0929,-108.547
"08079","Mineral","Colorado",865,37.7791,-106.942
"08081","Moffat","Colorado",13292,40.5161,-107.614
"08083","Montezuma","Colorado",25849,37.3719,-108.554
"08085","Montrose","Colorado",42679,38.4813,-107.922
"08087","Morgan","Colorado",29111,40.2542,-103.789
"08089","Otero","Colorado",18690,38.0232,-103.656
"08091","Ouray","Colorado",4874,38.146,-107.752
"08093","Park","Colorado",17390,39.3057,-105.625
"08095","Phillips","Colorado",4530,40.5994,-102.386
"08097","Pitkin","Colorado",17358,39.2318,-106.909
"08099","Prowers","Colorado",11999,38.083,-102.549
"08101","Pueblo","Colorado",168162,38.2658,-104.647
"08103","Rio Blanco","Colorado",6529,40.0511,-108.269
"08105","Rio Grande","Colorado",11539,37.6118,-106.242
"08107","Routt","Colorado",24829,40.4555,-106.897
"08109","Saguache","Colorado",6368,37.9253,-106.006
"08111","San Juan","Colorado",705,37.8019,-107.674
"08113","San Miguel","Colorado",8072,37.9718,-107.958
"08115","Sedgwick","Colorado",2404,40.9622,-102.326
"08117","Summit","Colorado",31055,39.5724,-106.056
"08119","Teller","Colorado",24710,38.9448,-105.14
"08121","Washington","Colorado",4817,40.0983,-103.157
"08123","Weld","Colorado",328981,40.3224,-104.807
"08125","Yuma","Colorado",9988,40.0658,-102.481
"09001","Fairfield","Connecticut",957419,41.206,-73.3672
"09003","Hartford","Connecticut",899498,41.7612,-72.7179
"09005","Litchfield","Connecticut",185186,41.727,-73.1904
"09007","Middlesex","Connecticut",164245,41.479,-72.5716
"09009","New Haven","Connecticut",864835,41.3966,-72.9423
"09011","New London","Connecticut",268555,41.4433,-72.0975
"09013","Tolland","Connecticut",149788,41.8423,-72.373
"09015","Windham","Connecticut",116418,41.8051,-71.9935
"10001","Kent","Delaware",181851,39.1271,-75.5591
"10003","New Castle","Delaware",570719,39.6789,-75.6353
"10005","Sussex","Delaware",237378,38.6618,-75.3315
"11001","District of Columbia","District of Columbia",689545,38.9102,-77.014
"12001","Alachua","Florida",278468,29.6647,-82.3916
"12003","Baker","Florida",28259,30.2864,-82.1845
"12005","Bay","Florida",175216,30.2128,-85.6706
"12007","Bradford","Florida",28303,29.9499,-82.1283
"12009","Brevard","Florida",606612,28.2251,-80.6909
"12011","Broward","Florida",1944375,26.1354,-80.227
"12013","Calhoun","Florida",13648,30.4643,-85.1258
"12015","Charlotte","Florida",186847,26.9538,-82.1173
"12017","Citrus","Florida",153843,28.8656,-82.4552
"12019","Clay","Florida",218245,30.0878,-81.8005
"12021","Collier","Florida",375752,26.2037,-81.6926
"12023","Columbia","Florida",69698,30.122,-82.6645
"12027","DeSoto","Florida",33976,27.1868,-81.8705
"12029","Dixie","Florida",16759,29.6346,-83.0587
"12031","Duval","Florida",995567,30.2986,-81.6204
"12033","Escambia","Florida",321905,30.4857,-87.2771
"12035","Flagler","Florida",115378,29.5215,-81.2221
"12037","Franklin","Florida",12451,29.786,-84.8132
"12039","Gadsden","Florida",43826,30.5936,-84.5717
"12041","Gilchrist","Florida",17864,29.7053,-82.8081
"12043","Glades","Florida",12126,26.897,-81.1896
"12045","Gulf","Florida",14192,29.9556,-85.2597
"12047","Hamilton","Florida",14004,30.5014,-82.999
"12049","Hardee","Florida",25327,27.5481,-81.817
"12051","Hendry","Florida",39619,26.7266,-81.2161
"12053","Hernando","Florida",194515,28.5044,-82.497
"12055","Highlands","Florida",101235,27.4626,-81.4448
"12057","Hillsborough","Florida",1459762,27.9673,-82.3986
"12059","Holmes","Florida",19653,30.847,-85.7547
"12061","Indian River","Florida",159788,27.6713,-80.4407
"12063","Jackson","Florida",47319,30.7972,-85.219
"12065","Jefferson","Florida",14510,30.5029,-83.8913
"12067","Lafayette","Florida",8226,30.0636,-83.1764
"12069","Lake","Florida",383956,28.7169,-81.7507
"12071","Lee","Florida",760822,26.576,-81.8518
"12073","Leon","Florida",292198,30.4661,-84.2697
"12075","Levy","Florida",42915,29.3801,-82.6629
"12077","Liberty","Florida",7974,30.3991,-84.9071
"12079","Madison","Florida",17968,30.4724,-83.4259
"12081","Manatee","Florida",399710,27.4783,-82.5205
"12083","Marion","Florida",375908,29.1358,-82.1261
"12085","Martin","Florida",158431,27.1459,-80.2457
"12086","Miami-Dade","Florida",2701767,25.7693,-80.3012
"12087","Monroe","Florida",82874,24.7474,-81.2448
"12089","Nassau","Florida",90352,30.6083,-81.6343
"12091","Okaloosa","Florida",211668,30.5516,-86.5656
"12093","Okeechobee","Florida",39644,27.2719,-80.8243
"12095","Orange","Florida",1429908,28.5261,-81.3884
"12097","Osceola","Florida",388656,28.2691,-81.3904
"12099","Palm Beach","Florida",1492191,26.6165,-80.1437
"12101","Pasco","Florida",561891,28.2582,-82.5102
