"fips","county","lon","lat","x","y","pop","dem_20","gop_20","tot_20","dem_24","gop_24","tot_24","margin_20","margin_24","swing","angle_deg","len_km","dx","dy","lw","capped_len","capped_angle","net_votes"
"13121","Fulton","-84.3962","33.8325","-92.1857","126.095","1066710","381144","137240","524659","384741","144648","535220","-47.0508","-45.3529","1.69798",13.5838,55,12.9177,53.4615,"1","TRUE","FALSE",8988.92
"13135","Gwinnett","-84.0532","33.9541","-60.3617","139.341","957062","241827","166413","413865","242507","173041","420681","-18.473","-16.7167","1.75624",14.0499,52.9018,12.8428,51.3192,"0.885978","FALSE","FALSE",7298.02
"13067","Cobb","-84.558","33.9418","-107.025","138.368","766149","221846","165459","393746","228404","168679","401369","-14.5588","-15.0409","-0.482126",-3.85701,31.1195,-2.09331,31.0491,"0.86607","FALSE","FALSE",1914.44
"13089","DeKalb","-84.2476","33.7902","-78.4742","121.282","764382","308227","58373","370804","299630","62622","366008","-68.1544","-65.4263","2.72811",21.8249,55,20.4474,51.0578,"0.827214","TRUE","FALSE",9882.63
"13057","Cherokee","-84.4947","34.1705","-100.921","163.678","266620","42794","99587","144830","48838","112142","162281","39.888","39.3241","-0.563907",-4.51126,23.998,-1.88756,23.9237,"0.55144","FALSE","FALSE",907.777
"13051","Chatham","-81.1366","32.0432","213.646","-70.6133","295291","78254","53237","133420","82758","57336","141109","-19.0256","-18.1464","0.879249",7.03399,26.5944,3.2567,26.3942,"0.514425","FALSE","FALSE",1231.78
"13117","Forsyth","-84.1502","34.1905","-69.1417","165.621","251283","42203","85122","129305","45509","91281","138249","33.7082","33.4615","-0.246717",-1.97374,17.852,-0.614849,17.8414,"0.508323","FALSE","FALSE",337.484
"13151","Henry","-84.1746","33.4703","-71.9753","85.7332","240712","73276","48187","122742","83253","44982","129034","-20.6557","-29.8444","-9.18875",-73.51,55,-52.7378,15.6116,"0.492171","TRUE","FALSE",11783.2
"13063","Clayton","-84.3612","33.5516","-89.2274","94.8933","297595","95476","15813","112344","94203","16877","111729","-71.5821","-69.6129","1.96921",15.7537,32.6956,8.87693,31.4675,"0.458069","FALSE","FALSE",2187.4
"13139","Hall","-83.8476","34.2694","-41.2213","174.214","203136","25031","64170","90523","28347","72991","101973","43.8773","44.0546","0.177239",1.41791,15.2549,0.377478,15.2502,"0.437521","FALSE","FALSE",179.61
"13223","Paulding","-84.8142","33.9139","-130.749","135.558","168661","29704","54525","85385","35802","58769","95196","29.4685","24.2855","-5.18302",-41.4642,44.8438,-29.6934,33.6046,"0.42266","FALSE","FALSE",4901.63
"13077","Coweta","-84.7335","33.378","-124.025","76.0061","146158","24210","51501","76799","28111","57204","85916","36.0463","34.1007","-1.9456",-15.5648,29.5449,-7.92773,28.4614,"0.401444","FALSE","FALSE",1659.89
