"unit_id","unit_name","state","office","year_from","year_to","votes_dem_from","votes_gop_from","votes_dem_to","votes_gop_to"
"13001","Appling","Georgia","Governor",2022,2026,1131,5552,NA,NA
"13003","Atkinson","Georgia","Governor",2022,2026,467,1767,NA,NA
"13005","Bacon","Georgia","Governor",2022,2026,393,3312,NA,NA
"13007","Baker","Georgia","Governor",2022,2026,500,755,NA,NA
"13009","Baldwin","Georgia","Governor",2022,2026,6913,7987,NA,NA
"13011","Banks","Georgia","Governor",2022,2026,607,6651,NA,NA
"13013","Barrow","Georgia","Governor",2022,2026,7309,21833,NA,NA
"13015","Bartow","Georgia","Governor",2022,2026,8137,31528,NA,NA
"13017","Ben Hill","Georgia","Governor",2022,2026,1680,3412,NA,NA
"13019","Berrien","Georgia","Governor",2022,2026,772,5209,NA,NA
"13021","Bibb","Georgia","Governor",2022,2026,31514,22396,NA,NA
"13023","Bleckley","Georgia","Governor",2022,2026,883,3886,NA,NA
"13025","Brantley","Georgia","Governor",2022,2026,393,5416,NA,NA
"13027","Brooks","Georgia","Governor",2022,2026,1959,3644,NA,NA
"13029","Bryan","Georgia","Governor",2022,2026,4676,12188,NA,NA
"13031","Bulloch","Georgia","Governor",2022,2026,7352,16067,NA,NA
"13033","Burke","Georgia","Governor",2022,2026,3720,4685,NA,NA
"13035","Butts","Georgia","Governor",2022,2026,2420,7223,NA,NA
"13037","Calhoun","Georgia","Governor",2022,2026,919,793,NA,NA
"13039","Camden","Georgia","Governor",2022,2026,5264,12494,NA,NA
"13043","Candler","Georgia","Governor",2022,2026,885,2666,NA,NA
"13045","Carroll","Georgia","Governor",2022,2026,11258,32095,NA,NA
"13047","Catoosa","Georgia","Governor",2022,2026,4255,20009,NA,NA
"13049","Charlton","Georgia","Governor",2022,2026,728,2654,NA,NA
"13051","Chatham","Georgia","Governor",2022,2026,58978,46593,NA,NA
"13053","Chattahoochee","Georgia","Governor",2022,2026,427,583,NA,NA
"13055","Chattooga","Georgia","Governor",2022,2026,1192,6471,NA,NA
"13057","Cherokee","Georgia","Governor",2022,2026,29893,89322,NA,NA
"13059","Clarke","Georgia","Governor",2022,2026,26901,13091,NA,NA
"13061","Clay","Georgia","Governor",2022,2026,553,570,NA,NA
"13063","Clayton","Georgia","Governor",2022,2026,72399,11306,NA,NA
"13065","Clinch","Georgia","Governor",2022,2026,433,1668,NA,NA
"13067","Cobb","Georgia","Governor",2022,2026,161872,147698,NA,NA
"13069","Coffee","Georgia","Governor",2022,2026,3021,8818,NA,NA
"13071","Colquitt","Georgia","Governor",2022,2026,2684,9860,NA,NA
"13073","Columbia","Georgia","Governor",2022,2026,20617,43437,NA,NA
"13075","Cook","Georgia","Governor",2022,2026,1387,4138,NA,NA
"13077","Coweta","Georgia","Governor",2022,2026,17847,45376,NA,NA
"13079","Crawford","Georgia","Governor",2022,2026,1171,3633,NA,NA
"13081","Crisp","Georgia","Governor",2022,2026,2013,4296,NA,NA
"13083","Dade","Georgia","Governor",2022,2026,807,4969,NA,NA
"13085","Dawson","Georgia","Governor",2022,2026,1827,12010,NA,NA
"13087","Decatur","Georgia","Governor",2022,2026,3191,5659,NA,NA
"13089","DeKalb","Georgia","Governor",2022,2026,241901,54522,NA,NA
"13091","Dodge","Georgia","Governor",2022,2026,1518,5087,NA,NA
"13093","Dooly","Georgia","Governor",2022,2026,1416,1860,NA,NA
"13095","Dougherty","Georgia","Governor",2022,2026,18091,8524,NA,NA
"13097","Douglas","Georgia","Governor",2022,2026,32858,19719,NA,NA
"13099","Early","Georgia","Governor",2022,2026,1576,2321,NA,NA
"13101","Echols","Georgia","Governor",2022,2026,94,956,NA,NA
"13103","Effingham","Georgia","Governor",2022,2026,5603,19553,NA,NA
"13105","Elbert","Georgia","Governor",2022,2026,1916,5369,NA,NA
"13107","Emanuel","Georgia","Governor",2022,2026,2024,5505,NA,NA
"13109","Evans","Georgia","Governor",2022,2026,882,2467,NA,NA
"13111","Fannin","Georgia","Governor",2022,2026,1796,10752,NA,NA
"13113","Fayette","Georgia","Governor",2022,2026,25769,34116,NA,NA
