"fips","county","lon","lat","x","y","pop","dem","gop","total","margin_from","dem_to","gop_to","margin_to","swing"
"13001","Appling",-82.3388,31.7707,100.481,-102.604,18444,1131,5552,6703,66.1529,NA,NA,NA,NA
"13003","Atkinson",-82.8781,31.3175,49.6601,-153.255,8286,467,1767,2246,58.1916,NA,NA,NA,NA
"13005","Bacon",-82.4661,31.547,88.6421,-127.532,11140,393,3312,3721,78.7854,NA,NA,NA,NA
"13007","Baker",-84.4336,31.311,-98.3583,-153.624,2876,500,755,1258,20.3187,NA,NA,NA,NA
"13009","Baldwin",-83.2436,33.0855,14.5927,42.7841,43799,6913,7987,15002,7.20805,NA,NA,NA,NA
"13011","Banks",-83.5075,34.3492,-9.88758,182.985,18035,607,6651,7326,83.2736,NA,NA,NA,NA
"13013","Barrow",-83.7286,33.9925,-30.3535,143.458,83505,7309,21833,29430,49.8387,NA,NA,NA,NA
"13015","Bartow",-84.8291,34.2085,-131.69,168.262,108901,8137,31528,39997,58.9714,NA,NA,NA,NA
"13017","Ben Hill",-83.2481,31.7271,14.3855,-107.927,17194,1680,3412,5118,34.0141,NA,NA,NA,NA
"13019","Berrien",-83.2518,31.2335,14.1184,-162.685,18160,772,5209,6019,74.1849,NA,NA,NA,NA
"13021","Bibb",-83.6901,32.8346,-27.1441,14.975,157346,31514,22396,54200,-16.9134,NA,NA,NA,NA
"13023","Bleckley",-83.3322,32.4015,6.37668,-33.118,12583,883,3886,4805,62.9692,NA,NA,NA,NA
"13025","Brantley",-81.97,31.2172,136.215,-163.583,18021,393,5416,5859,86.4693,NA,NA,NA,NA
"13027","Brooks",-83.5423,30.8411,-13.6081,-206.196,16301,1959,3644,5642,30.0732,NA,NA,NA,NA
"13029","Bryan",-81.3534,31.9587,193.367,-80.3906,44738,4676,12188,17006,44.5446,NA,NA,NA,NA
"13031","Bulloch",-81.7624,32.4153,153.952,-30.4066,81099,7352,16067,23591,37.2134,NA,NA,NA,NA
"13033","Burke",-82.0023,33.1032,130.395,45.5951,24596,3720,4685,8467,11.4813,NA,NA,NA,NA
"13035","Butts",-83.9729,33.2949,-53.3378,66.1487,25434,2420,7223,9695,49.8082,NA,NA,NA,NA
"13037","Calhoun",-84.663,31.5261,-119.899,-129.524,5573,919,793,1715,-7.35981,NA,NA,NA,NA
"13039","Camden",-81.6314,30.8125,169.214,-207.971,54768,5264,12494,17945,40.714,NA,NA,NA,NA
"13043","Candler",-82.0604,32.3992,125.957,-32.5903,10981,885,2666,3562,50.1549,NA,NA,NA,NA
"13045","Carroll",-85.0438,33.624,-152.468,103.699,119148,11258,32095,43727,48.0636,NA,NA,NA,NA
"13047","Catoosa",-85.1722,34.9285,-161.971,248.586,67872,4255,20009,24503,64.9275,NA,NA,NA,NA
"13049","Charlton",-82.0242,30.7866,131.665,-211.406,12518,728,2654,3405,56.9486,NA,NA,NA,NA
"13051","Chatham",-81.1366,32.0432,213.646,-70.6133,295291,58978,46593,106329,-11.7314,NA,NA,NA,NA
"13053","Chattahoochee",-84.8964,32.3428,-140.787,-38.6467,9565,427,583,1020,15.4455,NA,NA,NA,NA
"13055","Chattooga",-85.344,34.496,-178.55,200.896,24965,1192,6471,7712,68.8895,NA,NA,NA,NA
"13057","Cherokee",-84.4947,34.1705,-100.921,163.678,266620,29893,89322,120374,49.8503,NA,NA,NA,NA
"13059","Clarke",-83.3814,33.9504,1.71739,138.739,128671,26901,13091,40316,-34.5319,NA,NA,NA,NA
