"part","x","y"
1,736.4,-781.8
1,736.9,-782.8
1,741.1,-782.8
1,748.2,-780.4
1,753.9,-779.9
1,757.7,-780.9
1,759.5,-777.1
1,755.8,-774.7
1,755.3,-777.1
1,750.6,-778
1,740.2,-780.9
1,736.4,-781.8
2,705.2,-251.6
2,709.9,-259.2
2,715.6,-262.5
2,715.1,-281.4
2,714.7,-292.7
2,714.2,-319.7
2,713.2,-359.4
2,712.3,-394.3
2,711.8,-417.5
2,710.9,-466.6
2,709.9,-507.3
2,709.5,-536.6
2,709,-567.7
2,708,-598.9
2,710.4,-620.7
2,717,-670.3
2,720.3,-697.7
2,724.1,-727.5
2,726.5,-749.2
2,728.8,-767.2
2,730.7,-765.3
2,735,-764.8
2,736.4,-766.7
2,741.6,-764.8
2,747.3,-766.7
2,748.7,-771.4
2,752,-770
2,754.4,-770.5
2,756.2,-764.3
2,755.8,-755.8
2,756.7,-753.5
2,755.8,-749.2
2,757.2,-747.3
2,756.7,-743.5
2,759.1,-737.9
2,758.1,-734.1
2,761,-733.1
2,762.9,-729.4
2,768.1,-731.7
2,769.9,-731.7
2,772.8,-736
2,772.8,-739.3
2,774.2,-743.1
2,771.8,-750.6
2,773.3,-752
2,775.1,-759.1
2,781.3,-762
2,785.1,-766.7
2,788.8,-768.6
2,790.7,-770.9
2,790.3,-774.2
2,785.1,-775.2
2,781.3,-777.1
2,778,-777.6
2,773.7,-775.7
2,771.4,-778.5
2,783.6,-778.5
2,800.7,-774.7
2,810.1,-770.9
2,813.4,-770
2,816.3,-766.7
2,815.8,-764.8
2,819.6,-762
2,819.1,-759.6
2,821,-755.3
2,823.3,-754.4
2,826.2,-752
2,826.2,-750.1
2,821.9,-749.7
2,819.6,-747.3
2,818.1,-742.1
2,820.5,-737.9
2,821.9,-730.3
2,820.5,-725.1
2,810.6,-720.8
2,807.7,-719
2,805.4,-714.2
2,800.7,-710.9
2,796.9,-706.2
2,797.8,-703.8
2,800.2,-694.9
2,798.8,-691.1
2,831.4,-688.2
2,842.2,-687.3
2,881.5,-683.5
2,883.4,-683.5
2,897.1,-682.1
2,901.3,-682.1
2,915,-680.7
2,939.6,-678.3
2,960.4,-676
2,997.7,-671.7
2,1021.8,-668.4
2,1045,-665.6
2,1043.1,-659.9
2,1040.2,-654.2
2,1038.3,-653.3
2,1036,-649.5
2,1032.7,-646.2
2,1032.7,-641
2,1030.8,-636.3
2,1032.7,-634.4
2,1032.7,-629.2
2,1031.7,-626.8
2,1033.2,-618.8
2,1032.2,-615
2,1034.1,-608.9
2,1034.1,-606
2,1032.2,-603.2
2,1031.3,-597.5
2,1024.2,-590.4
2,1024.6,-586.2
2,1022.3,-580
2,1022.3,-577.2
2,1020.9,-574.4
2,1021.3,-569.6
2,1025.1,-562.1
2,1027,-554.5
2,1026.5,-546
2,1025.1,-540.8
2,1028.9,-535.1
2,1033.2,-532.8
2,1032.2,-530.4
2,1036.5,-529.9
2,1036.9,-526.6
2,1039.3,-525.2
2,1034.6,-521.4
2,1028,-519.5
2,1027,-518.1
2,1028.9,-514.8
2,1028.9,-505.8
2,1026.5,-504.9
2,1024.6,-497.3
2,1018.5,-491.7
2,1015.7,-486
2,1015.7,-483.2
2,1012.8,-480.3
2,1011.4,-477.5
2,1012.4,-475.6
2,1009.5,-472.3
2,1010.9,-470.9
2,1006.2,-467.1
2,1007.2,-463.3
2,1003.9,-461.9
2,996.3,-435
2,985,-394.3
2,976.9,-365
2,966.1,-325.3
2,959.4,-301.7
2,953.3,-281.4
2,946.2,-255.9
2,941,-237
2,939.1,-230.4
2,919.3,-232.2
2,897.5,-234.1
2,867.8,-237
2,855.9,-238.4
2,826.2,-241.2
2,774.7,-244.5
2,753.4,-246.4
2,723.2,-248.8
2,704.7,-250.2
2,705.2,-251.6
3,122.6,-111.3
3,125.9,-133.5
3,132,-174.6
3,138.2,-213.8
3,141.5,-234.6
3,141,-257.8
3,140.5,-291.3
3,140,-318.7
3,140,-350.4
3,139.6,-388.2
3,139.6,-431.2
3,141.9,-430.2
3,142.4,-433.1
3,145.7,-437.8
3,148.6,-437.3
3,148.1,-440.6
3,151.4,-441.6
3,151.9,-439.7
3,156.1,-440.6
3,157.1,-437.8
3,159.4,-439.2
3,160.8,-436.4
3,163.7,-440.2
3,167.5,-435.9
3,171.2,-437.3
3,173.1,-440.2
3,175,-438.3
3,177.9,-437.8
3,180.2,-440.2
3,180.7,-461.4
3,181.6,-499.7
3,211.4,-498.8
3,233.1,-498.3
3,271.9,-497.3
3,297.4,-496.9
3,350.8,-495.4
3,375.8,-494.5
3,406.1,-493.6
3,448.6,-491.7
3,449.1,-490.2
3,452.4,-487.9
3,452.4,-485.1
3,444.8,-480.3
3,446.3,-476.5
3,449.6,-477.5
3,453.3,-477.5
3,455.7,-476.1
3,455.7,-471.3
3,453.8,-467.1
3,455.2,-467.1
3,457.6,-463.8
3,458.1,-460
3,455.2,-460
3,453.8,-464.7
3,450.5,-461.9
3,449.1,-458.6
3,449.1,-452.9
3,450.5,-451.5
3,456.2,-443.9
3,456.2,-441.6
3,453.3,-441.6
3,452.9,-444.9
3,450,-449.1
3,444.8,-449.1
3,442.9,-447.7
3,442.9,-445.8
3,449.1,-444.4
3,450.5,-442
3,450,-439.2
3,446.7,-436.9
3,445.3,-438.7
3,445.8,-442
3,442.5,-443.9
3,440.6,-443.5
3,440.1,-441.6
3,442,-440.2
3,443.9,-436.4
3,441.5,-434
3,439.2,-430.2
3,440.6,-428.8
3,445.3,-428.3
3,448.6,-425.5
3,447.7,-422.2
3,444.4,-419.8
3,439.6,-418.4
3,439.2,-416.1
3,440.6,-414.2
3,445.3,-413.2
3,448.6,-417
3,452.4,-418.4
3,457.1,-416.5
3,456.2,-413.2
3,453.3,-411.8
3,450.5,-413.2
3,448.1,-412.8
3,446.3,-410.4
3,446.3,-406.1
3,454.8,-404.7
3,457.6,-406.1
3,460,-405.2
3,460,-402.8
3,454.8,-400.5
3,453.3,-398.1
3,452.4,-395.3
3,456.2,-391
3,457.6,-387.7
3,456.6,-386.3
3,451.5,-385.3
3,450,-383.9
3,450.5,-379.2
3,453.8,-380.6
3,456.6,-379.7
3,458.5,-383.5
3,461.4,-383.5
3,461.8,-381.6
3,459,-377.8
3,461.8,-376.4
3,466.6,-376.8
3,468.5,-375.4
3,468,-373.1
3,469.4,-370.2
3,468.5,-368.3
3,464.7,-368.8
3,462.3,-367.4
3,461.4,-364.1
3,465.6,-360.8
3,470.8,-363.6
3,473.7,-362.7
3,475.1,-360.8
3,473.7,-358.4
3,467.5,-358.9
3,465.2,-357.5
3,462.8,-355.1
3,462.8,-353.2
3,465.6,-352.3
3,468,-355.1
3,471.3,-356
3,471.8,-348.5
3,473.7,-347.5
3,477.9,-348.5
3,480.3,-346.1
3,480.7,-343.8
3,477.4,-340
3,478.9,-337.6
3,482.2,-338.1
3,485,-337.1
3,484.5,-342.3
3,487.4,-341.9
3,486.9,-338.6
3,488.3,-334.8
3,491.6,-334.3
3,493.5,-331.5
3,494,-329.6
3,492.6,-323.4
3,493.5,-320.1
3,496.8,-317.3
3,496.3,-314.9
3,494,-311.6
3,491.6,-308.3
3,493,-303.1
3,493,-300.3
3,495.9,-301.2
3,495.4,-306.4
3,498.2,-306.9
3,502,-302.6
3,503,-300.3
3,502,-298.4
3,498.2,-299.8
3,493,-297.9
3,493.5,-295.1
3,495.4,-293.2
3,494.5,-289.9
3,496.8,-288
3,499.7,-290.8
3,499.7,-292.7
3,497.3,-295.6
3,499.2,-296.5
3,502.5,-295.6
3,503.9,-294.1
3,501.1,-288
3,502.5,-285.6
3,499.7,-279.5
3,501.5,-277.6
3,503.9,-278.1
3,504.4,-280.9
3,503.4,-282.8
3,504.4,-284.7
3,508.6,-283.7
3,514.8,-279
3,519,-277.1
3,520.9,-275.2
3,521.4,-271
3,516.2,-267.2
3,514.8,-264.8
3,516.2,-259.6
3,518.6,-259.6
3,523.8,-261.1
3,526.1,-257.8
3,526.1,-251.1
3,528.5,-248.8
3,532.7,-250.2
3,536,-247.8
3,535.6,-245.9
3,532.7,-244.5
3,532.7,-241.7
3,534.6,-238.9
3,532.7,-236
3,527.1,-235.1
3,525.6,-232.2
3,526.6,-230.4
3,530.8,-229.4
3,532.7,-220
3,529.9,-217.6
3,527.1,-218.5
3,527.5,-221.8
3,523.8,-220.9
3,524.7,-216.6
3,528,-214.3
3,529.4,-210.5
3,532.3,-210
3,533.7,-211.9
3,533.2,-214.8
3,535.1,-217.6
3,539.3,-214.8
3,538.9,-212.4
3,536,-209.1
3,534.6,-206.3
3,535.1,-202
3,538.4,-200.1
3,542.7,-202
3,543.1,-204.4
3,546.9,-204.8
3,547.9,-202.9
3,546.4,-201.1
3,544.1,-200.6
3,542.7,-197.3
3,543.1,-195.4
3,546.4,-193.5
3,547.9,-193.5
3,551.2,-191.1
3,551.2,-188.3
3,548.3,-189.2
3,544.5,-188.8
3,541.7,-185.5
3,541.2,-181.7
3,545.5,-177.4
3,549.7,-177.4
3,552.6,-178.8
3,555.4,-177
3,554.9,-173.6
3,558.2,-170.8
3,561.1,-171.8
3,563.9,-169.4
3,563.9,-167.5
3,557.8,-165.6
3,557.3,-162.3
3,559.2,-159.5
3,561.6,-159.9
3,565.3,-163.2
3,568.2,-161.8
3,567.2,-157.1
3,561.1,-153.8
3,559.7,-149.5
3,524.2,-151.9
3,502,-153.8
3,504.4,-150
3,506.7,-142.9
3,508.6,-140.1
3,513.8,-136.8
3,513.8,-134.4
3,518.1,-129.2
3,522.8,-126.4
3,523.8,-122.1
3,526.1,-121.2
