"state","err_scrape","err_official","share_of_final"
"AZ",0.499629,-0.0579063,79.2085
"CA",1.69929,-0.00148661,84.2946
"UT",-0.272511,0.000193129,87.0542
"MD",1.71056,0.00230538,88.9661
"DC",-0.113206,-0.00543724,90.042
"OR",0.859405,0.00326154,90.3684
"NY",1.38294,0.00208876,91.4213
"WA",0.00941491,0.00732461,92.1703
"CO",2.18993,0.00473682,92.2296
"VT",-0.049452,0.000925386,92.4895
"NJ",0.709201,-0.190183,94.8593
"NE",0.805736,-0.000379194,95.4291
"MS",0.801639,0.00159007,96.1657
"VA",0.5586,-0.00399486,96.4904
"IL",1.1705,-0.00591475,96.6822
"KS",0.307435,0.00313655,96.8541
"OH",0.405379,0.000202576,96.8872
"RI",0.205236,0.109147,97.1311
"WY",-0.0144442,0.00586413,97.2222
"MT",-0.0269474,-0.00777437,97.2698
"PA",0.442692,0.00862678,97.6241
"NC",0.131119,-0.00500839,97.6359
"ND",-0.0221667,0.00212034,97.8534
"AL",0.335179,0.00485316,97.8712
"GA",0.608658,0.00863813,97.9307
"NM",-0.000199838,0.0075834,98.097
"AR",-0.257435,-0.00115319,98.1166
"NH",0.00312853,0.00255583,98.2879
"IA",0.0878298,-0.00316591,98.5217
"MA",0.37535,0.00147192,98.6861
"CT",0.360762,-0.000372521,98.7004
"WI",-0.000671529,-0.0103024,98.7087
"MO",0.464339,-0.0021353,98.8501
"MN",0.024664,-0.0110927,99.0353
"TN",0.0292456,0.00643965,99.0695
"SC",-0.167054,-0.00470431,99.1164
"TX",0.101915,0.00988051,99.2643
"WV",0.029425,0.00523944,99.3233
"IN",0.0177825,-0.00385641,99.5273
"FL",0.0782618,-0.00148643,99.6466
"DE",0.00518926,0.00697652,99.67
"ME",0.288256,0.326044,99.6786
"ID",-0.187508,-0.0105702,99.6816
"NV",0.0707009,0.00303288,99.7872
"MI",0.0219737,0.00198896,99.8257
"OK",0.00493137,-0.000605099,99.8668
"KY",-0.00293273,-0.00327978,99.8996
"LA",0.0117109,-0.000544426,99.9359
"HI",-0.003363,-0.00298706,99.9739
"SD",0.0063587,0.00418576,99.9876
