"fips","appears_in","name","votes"
"02701","2016 only","District 1",6638
"02702","2016 only","District 2",5492
"02703","2016 only","District 3",7613
"02704","2016 only","District 4",9521
"02705","2016 only","District 5",7906
"02706","2016 only","District 6",8460
"02707","2016 only","District 7",8294
"02708","2016 only","District 8",8073
"02709","2016 only","District 9",8954
"02710","2016 only","District 10",9040
"02711","2016 only","District 11",9689
"02712","2016 only","District 12",9543
"02713","2016 only","District 13",6533
"02714","2016 only","District 14",10420
"02715","2016 only","District 15",4982
"02716","2016 only","District 16",7436
"02717","2016 only","District 17",6788
"02718","2016 only","District 18",7402
"02719","2016 only","District 19",4792
"02720","2016 only","District 20",7140
"02721","2016 only","District 21",8647
"02722","2016 only","District 22",8372
"02723","2016 only","District 23",6924
"02724","2016 only","District 24",9080
"02725","2016 only","District 25",8127
"02726","2016 only","District 26",8905
"02727","2016 only","District 27",8783
"02728","2016 only","District 28",11427
"02729","2016 only","District 29",9394
"02730","2016 only","District 30",8950
"02731","2016 only","District 31",10182
"02732","2016 only","District 32",7472
"02733","2016 only","District 33",9934
"02734","2016 only","District 34",9431
"02735","2016 only","District 35",9042
"02736","2016 only","District 36",8264
"02737","2016 only","District 37",5062
"02738","2016 only","District 38",5095
"02739","2016 only","District 39",5639
"02740","2016 only","District 40",4610
"02901","2020 only","District 1",7360
"02902","2020 only","District 2",6161
"02903","2020 only","District 3",8385
"02904","2020 only","District 4",10587
"02905","2020 only","District 5",8706
"02906","2020 only","District 6",9518
"02907","2020 only","District 7",9664
"02908","2020 only","District 8",9957
"02909","2020 only","District 9",11047
"02910","2020 only","District 10",11256
"02911","2020 only","District 11",10686
"02912","2020 only","District 12",11280
"02913","2020 only","District 13",7765
"02914","2020 only","District 14",11534
"02915","2020 only","District 15",5593
"02916","2020 only","District 16",8170
"02917","2020 only","District 17",7271
"02918","2020 only","District 18",7759
"02919","2020 only","District 19",5338
"02920","2020 only","District 20",7544
"02921","2020 only","District 21",9482
"02922","2020 only","District 22",9597
"02923","2020 only","District 23",7796
"02924","2020 only","District 24",10484
"02925","2020 only","District 25",9369
"02926","2020 only","District 26",20292
"02927","2020 only","District 27",19037
"02928","2020 only","District 28",25580
"02929","2020 only","District 29",10784
"02930","2020 only","District 30",10226
"02931","2020 only","District 31",12481
"02932","2020 only","District 32",8361
"02933","2020 only","District 33",11016
"02934","2020 only","District 34",10794
"02935","2020 only","District 35",10149
"02936","2020 only","District 36",9292
"02937","2020 only","District 37",5168
"02938","2020 only","District 38",5299
"02939","2020 only","District 39",5930
"02940","2020 only","District 40",4628
"46102","2020 only","Oglala Lakota County",3200
"46113","2016 only","Oglala Lakota",2905
