"county_fips","state_name","county_name","lon","lat","x","y","pop","votes_dem_16","votes_gop_16","total_votes_16","votes_dem_24","votes_gop_24","total_votes_24","margin_16","margin_24","swing","swing_a","swing_b","angle_deg","len_km","dx","dy","lw","in_frame","capped_len","capped_angle"
"01001","Alabama","Autauga",-86.4878,32.5002,887.486,-514.796,58805,5936,18172,24973,7439,20484,28190,50.7549,46.7178,-4.03718,-5.63954,1.60237,-32.2974,49.5745,-26.4883,41.9046,0.0879852,TRUE,FALSE,FALSE
"01003","Alabama","Baldwin",-87.7615,30.5374,787.889,-743.567,231767,18458,72883,95215,24934,95798,121808,59.5844,58.6953,-0.889122,-5.04787,4.15875,-7.11298,48.92,-6.05758,48.5435,0.182953,TRUE,FALSE,FALSE
"01005","Alabama","Barbour",-85.3013,31.844,1005.96,-575.699,25223,4871,5454,10469,4158,5606,9832,5.64649,14.83,9.1835,2.0753,7.1082,73.468,46.6467,44.7184,13.2734,0.0520287,TRUE,FALSE,FALSE
"01007","Alabama","Bibb",-87.1368,33.0322,821.59,-461.558,22293,1874,6738,8819,1619,7572,9241,56.4793,64.7699,8.29055,1.7585,6.53205,66.3244,44.7594,40.9922,17.9735,0.0504789,TRUE,FALSE,FALSE
"01009","Alabama","Blount",-86.5927,33.9546,861.685,-354.2,59134,2156,22859,25588,2576,25354,28115,82.7623,81.5539,-1.20846,-2.06694,0.858481,-9.66766,37.3147,-6.26636,36.7847,0.0879962,TRUE,FALSE,FALSE
"01011","Alabama","Bullock",-85.7024,32.1158,965.122,-549.761,10357,3530,1140,4710,2983,1101,4106,-51.1777,-46.0823,5.09546,1.09062,4.00484,40.7637,34.1325,22.2865,25.8523,0.033649,TRUE,FALSE,FALSE
"01013","Alabama","Butler",-86.6524,31.776,880.105,-596.638,19051,3726,4901,8732,3251,5172,8467,13.62,22.8066,9.18657,2.22418,6.96239,73.4926,44.9311,43.0792,12.7667,0.0483239,TRUE,FALSE,FALSE
"01015","Alabama","Calhoun",-85.818,33.7272,935.101,-372.15,116441,13242,32865,47864,13194,34912,48530,42.5597,45.1461,2.58644,-3.04025,5.62669,20.6915,50.944,18.0004,47.6579,0.115486,TRUE,FALSE,FALSE
"01017","Alabama","Chambers",-85.2596,32.8564,997.136,-463.11,34772,5784,7843,13900,5405,8711,14221,15.1097,23.4202,8.31052,0.686032,7.62449,66.4842,50.1191,45.9567,19.9976,0.0625582,TRUE,FALSE,FALSE
"01019","Alabama","Cherokee",-85.6299,34.1805,946.791,-319.927,24971,1547,8953,10733,1553,11358,12984,70.5333,75.943,5.40966,2.85898,2.55068,43.2773,43.8111,30.0338,31.8964,0.0598286,TRUE,FALSE,FALSE
"01021","Alabama","Chilton",-86.6889,32.8791,864.65,-474.592,45014,2911,15081,18369,2698,16920,19728,67.6412,72.4946,4.85347,0.278233,4.57524,38.8278,47.3825,29.708,36.9126,0.073749,TRUE,FALSE,FALSE
"01023","Alabama","Choctaw",-88.2625,32.0161,726.704,-583.611,12665,3109,4106,7292,2515,4103,6646,13.8184,23.9952,10.1767,1.92992,8.24681,81.4138,43.427,42.9403,6.4835,0.0428343,TRUE,FALSE,FALSE
"01025","Alabama","Clarke",-87.8159,31.6835,771.734,-617.008,23087,5749,7140,13031,4927,6965,11946,10.7921,17.1376,6.34542,1.20418,5.14124,50.7634,44.6512,34.5842,28.243,0.0574191,TRUE,FALSE,FALSE
"01027","Alabama","Clay",-85.8172,33.2743,940.584,-422.434,14236,1237,5245,6624,993,5734,6757,61.8328,70.4772,8.64441,1.27148,7.37293,69.1553,41.9455,39.2001,14.9257,0.0431856,TRUE,FALSE,FALSE
"01029","Alabama","Cleburne",-85.4957,33.6252,965.839,-380.254,15056,684,5764,6593,605,6988,7637,78.7841,84.0643,5.28015,2.3585,2.92165,42.2412,38.6462,25.98,28.6106,0.0458813,TRUE,FALSE,FALSE
"01031","Alabama","Coffee",-85.8996,31.3532,955.72,-636.191,53465,4221,15875,20767,4601,17495,22270,57.9916,58.3545,0.362813,-4.18959,4.55241,2.90251,29.72,1.50492,29.6819,0.0782682,TRUE,FALSE,FALSE
"01033","Alabama","Colbert",-87.6819,34.7243,754.666,-277.779,57227,7312,16746,24915,7137,19714,27086,39.2136,46.84,7.6264,0.211395,7.41501,61.0112,58.9905,51.5999,28.5891,0.0862798,TRUE,FALSE,FALSE
"01035","Alabama","Conecuh",-86.9975,31.4164,851.499,-639.632,11597,3080,3420,6585,2580,3423,6043,5.23077,14.043,8.81221,2.19745,6.61476,70.4977,41.0467,38.6918,13.7032,0.0407956,TRUE,FALSE,FALSE
"01037","Alabama","Coosa",-86.1562,32.9769,912.817,-458.752,10387,1782,3381,5252,1478,3758,5264,30.9704,43.5447,12.5743,2.84205,9.73227,90,43.191,43.191,0.00000000000000264469,0.0381003,TRUE,FALSE,TRUE
"01039","Alabama","Covington",-86.4092,31.2841,908.443,-648.838,37570,2387,13267,15940,2314,14677,17072,69.503,72.7621,3.25905,-0.946927,4.20597,26.0724,41.4756,18.2288,37.255,0.0686338,TRUE,FALSE,FALSE
"01041","Alabama","Crenshaw",-86.2968,31.7473,913.797,-596.462,13194,1664,4513,6267,1457,5000,6480,46.1227,54.8707,8.74797,2.0796,6.66837,69.9838,41.665,39.1483,14.2614,0.0423101,TRUE,FALSE,FALSE
