"county_fips","county_name","x","y","in_frame","swing_old","swing_new","delta"
"05111","Poinsett",488.4,-198.3,TRUE,35.926,12.1442,-23.7818
"48369","Parmer",-620.1,-309.1,TRUE,24.2622,3.2074,-21.0549
"05021","Clay",500.6,-111.7,TRUE,31.0794,10.0385,-21.0409
"47097","Lauderdale",578.7,-174.7,TRUE,13.6008,4.9575,-8.6433
"51133","Northumberland",1694.6,218.8,TRUE,-12.5899,-4.332,8.258
"20093","Kearny",-456,63.2,TRUE,-1.497,-8.8548,-7.3578
"48163","Frio",-303.8,-961.1,TRUE,14.0639,21.3198,7.2559
"48351","Newton",214.6,-758.7,TRUE,10.9125,3.7239,-7.1885
"24039","Somerset",1745.6,257.7,TRUE,-3.3975,3.0042,6.4016
"36097","Schuyler",1554.5,704.7,TRUE,-12.4148,-6.0247,6.3901
"16017","Bonner",-1534.5,1364.7,TRUE,4.6309,-1.5614,-6.1923
"36051","Livingston",1474.7,732,TRUE,-10.807,-4.9494,5.8576
"31043","Dakota",-35.9,554.2,TRUE,1.5064,-4.235,-5.7415
"45053","Jasper",1397.5,-459.1,TRUE,11.4105,6.151,-5.2595
"17153","Pulaski",603.5,-12,TRUE,-0.7198,4.1586,4.8784
"06047","Merced",-2139.2,253.5,TRUE,-2.5008,2.1555,4.6563
"04027","Yuma",-1724.6,-374.1,TRUE,0.5092,5.1648,4.6556
"55113","Sawyer",361.3,952.1,TRUE,-10.2539,-5.7881,4.4658
"04001","Apache",-1202,-134.1,TRUE,5.177,0.8025,-4.3745
"53075","Whitman",-1612.8,1218.9,TRUE,-9.9166,-5.6754,4.2412
"05053","Grant",327.5,-350.8,TRUE,11.3944,7.2307,-4.1637
"24001","Allegany",1453.3,370.3,TRUE,-11.0201,-6.9238,4.0963
"36041","Hamilton",1722.2,881,TRUE,-10.1831,-6.2393,3.9438
"36021","Columbia",1812.2,748.6,TRUE,-15.5747,-11.7311,3.8436
"51181","Surry",1672.7,126,TRUE,-1.0435,2.6606,3.7041
"36073","Orleans",1427.8,777.7,TRUE,-8.6867,-5.0543,3.6324
"16075","Payette",-1655.8,912.5,TRUE,-4.888,-1.5151,3.3729
"17067","Hancock",403.4,338,TRUE,-3.4367,-0.2873,3.1493
"28147","Walthall",558.2,-692.3,TRUE,4.2614,1.1389,-3.1224
"49031","Piute",-1398.2,206.7,TRUE,-9.1078,-6.056,3.0518
"55003","Ashland",401.4,1013.9,TRUE,-1.7484,1.1889,2.9373
"28053","Humphreys",507.7,-470.5,TRUE,2.4102,-0.4359,-2.8461
"28021","Claiborne",475,-610,TRUE,-0.6263,2.142,2.7683
"04017","Navajo",-1283.3,-199.3,TRUE,0.0134,-2.7451,-2.7585
"42087","Mifflin",1533,496.6,TRUE,-2.8167,-0.1282,2.6885
"37107","Lenoir",1646.5,-91.2,TRUE,-2.8874,-0.2364,2.651
"06039","Madera",-2093.2,214,TRUE,-6.4503,-3.8506,2.5997
"06107","Tulare",-2048.3,112.1,TRUE,-4.7272,-2.133,2.5942
"36035","Fulton",1740.6,821.8,TRUE,-5.5106,-2.9543,2.5563
"05095","Monroe",433.6,-294,TRUE,11.0039,8.4654,-2.5385
"23029","Washington",2217.8,1159,TRUE,2.8459,0.3506,-2.4954
"28149","Warren",482.7,-565.7,TRUE,-5.3985,-2.9054,2.4931
"48445","Terry",-580.7,-463.9,TRUE,6.9102,4.4658,-2.4444
"06019","Fresno",-2080.5,176.8,TRUE,-3.9024,-1.4736,2.4287
"36105","Sullivan",1745.2,666.8,TRUE,-4.9264,-2.5014,2.425
"36031","Essex",1763.3,954.4,TRUE,-8.8007,-6.3781,2.4226
"36017","Chenango",1656.4,736.7,TRUE,-6.0993,-3.6775,2.4218
"36015","Chemung",1565,676.1,TRUE,-7.3959,-5.0183,2.3776
"35009","Curry",-657.2,-319.8,TRUE,-4.6808,-7.0469,-2.3661
"06029","Kern",-2046.6,9.6,TRUE,-5.4454,-3.0867,2.3587
"42023","Cameron",1463,585.6,TRUE,-4.9638,-2.6292,2.3347
"06073","San Diego",-1947.4,-299.2,TRUE,-4.3855,-2.0567,2.3288
"19107","Keokuk",317.6,434.9,TRUE,0.1388,2.4504,2.3116
"24023","Garrett",1415,350.2,TRUE,-6.7337,-4.4595,2.2742
"51117","Mecklenburg",1556.2,54.5,TRUE,3.8021,1.5831,-2.219
"36025","Delaware",1707.8,721.4,TRUE,-11.9701,-9.7859,2.1842
"36113","Warren",1780.7,869.6,TRUE,-11.2149,-9.0614,2.1536
"06045","Mendocino",-2308.9,535.2,TRUE,-5.0723,-2.9514,2.1209
