"county_fips","county_name","lon","lat","x","y","pop","votes_dem_16","votes_gop_16","total_votes_16","votes_dem_20","votes_gop_20","total_votes_20","margin_16","margin_20","swing","angle_deg","len_km","dx","dy","lw","in_frame","capped_len","capped_angle","net_votes"
"01001","Autauga","-86.4878","32.5002","887.486","-514.796","58805","5936","18172","24973","7503","19838","27770","50.7549","45.1154","-5.63954",-45.1163,54.1643,-38.3776,38.2221,"0.08093","TRUE","FALSE","FALSE",1541.91
"01003","Baldwin","-87.7615","30.5374","787.889","-743.567","231767","18458","72883","95215","24578","83544","109679","59.5844","54.5365","-5.04787",-40.383,82.0733,-53.1747,62.5177,"0.160938","TRUE","FALSE","FALSE",5457.86
"01005","Barbour","-85.3013","31.844","1005.96","-575.699","25223","4871","5454","10469","4816","5622","10518","5.64649","7.72179","2.0753",16.6024,34.3683,9.82001,32.9355,"0.0500047","TRUE","FALSE","FALSE",216.62
"01007","Bibb","-87.1368","33.0322","821.59","-461.558","22293","1874","6738","8819","1986","7525","9595","56.4793","58.2378","1.7585",14.068,32.9286,8.00405,31.941,"0.0477326","TRUE","FALSE","FALSE",167.251
"01009","Blount","-86.5927","33.9546","861.685","-354.2","59134","2156","22859","25588","2640","24711","27588","82.7623","80.6954","-2.06694",-16.5355,41.673,-11.8605,39.9496,"0.0809448","TRUE","FALSE","FALSE",565.329
"01011","Bullock","-85.7024","32.1158","965.122","-549.761","10357","3530","1140","4710","3446","1146","4613","-51.1777","-50.0871","1.09062",8.72496,28.2066,4.2787,27.8802,"0.0331668","TRUE","FALSE","FALSE",50.0813
"01013","Butler","-86.6524","31.776","880.105","-596.638","19051","3726","4901","8732","3965","5458","9488","13.62","15.8442","2.22418",17.7934,34.174,10.4431,32.5393,"0.0475113","TRUE","FALSE","FALSE",209.584
"01015","Calhoun","-85.818","33.7272","935.101","-372.15","116441","13242","32865","47864","15216","35101","50983","42.5597","39.5194","-3.04025",-24.322,54.0393,-22.2569,49.2431,"0.109789","TRUE","FALSE","FALSE",1529.76
"01017","Chambers","-85.2596","32.8564","997.136","-463.11","34772","5784","7843","13900","6365","8753","15284","15.1097","15.7957","0.686032",5.48826,30.7122,2.93737,30.5714,"0.0601796","TRUE","FALSE","FALSE",103.714
"01019","Cherokee","-85.6299","34.1805","946.791","-319.927","24971","1547","8953","10733","1624","10583","12301","70.5333","73.3923","2.85898",22.8718,37.5643,14.6002,34.6109,"0.0540763","TRUE","FALSE","FALSE",348.996
"01021","Chilton","-86.6889","32.8791","864.65","-474.592","45014","2911","15081","18369","3073","16085","19310","67.6412","67.9194","0.278233",2.22586,28.3873,1.10253,28.3659,"0.067745","TRUE","FALSE","FALSE",53.3039
"01023","Choctaw","-88.2625","32.0161","726.704","-583.611","12665","3109","4106","7292","3127","4296","7464","13.8184","15.7483","1.92992",15.4394,32.1516,8.55935,30.9913,"0.0421689","TRUE","FALSE","FALSE",143.258
"01025","Clarke","-87.8159","31.6835","771.734","-617.008","23087","5749","7140","13031","5755","7324","13135","10.7921","11.9963","1.20418",9.63344,32.6198,5.45874,32.1598,"0.0559744","TRUE","FALSE","FALSE",157.495
"01027","Clay","-85.8172","33.2743","940.584","-422.434","14236","1237","5245","6624","1267","5601","6930","61.8328","63.1043","1.27148",10.1718,30.0355,5.30429,29.5634,"0.0405618","TRUE","FALSE","FALSE",87.3252
"01029","Cleburne","-85.4957","33.6252","965.839","-380.254","15056","684","5764","6593","675","6484","7227","78.7841","81.1426","2.3585",18.868,32.9781,10.6648,31.2061,"0.0414122","TRUE","FALSE","FALSE",168.845
"01031","Coffee","-85.8996","31.3532","955.72","-636.191","53465","4221","15875","20767","5076","16899","22275","57.9916","53.802","-4.18959",-33.5167,46.9675,-25.9346,39.158,"0.0725549","TRUE","FALSE","FALSE",920.662
"01033","Colbert","-87.6819","34.7243","754.666","-277.779","57227","7312","16746","24915","8343","19203","27886","39.2136","39.425","0.211395",1.69116,28.6534,0.845621,28.6409,"0.0812328","TRUE","FALSE","FALSE",58.2309
