"county_fips","state_name","county_name","lon","lat","x","y","pop","votes_dem_20","votes_gop_20","total_votes_20","votes_dem_24","votes_gop_24","total_votes_24","margin_20","margin_24","swing","angle_deg","len_km","dx","dy","lw","in_frame","capped_len","capped_angle","net_votes"
"01001","Alabama","Autauga County","-86.4878","32.5002","887.485","-514.797","58805","7503","19838","27770","7439","20484","28190","45.1154","46.7178","1.60237",12.819,39.557,8.77656,38.5711,"0.0879852","TRUE","FALSE","FALSE",447.43
"01003","Alabama","Baldwin County","-87.7615","30.5374","787.891","-743.568","231767","24578","83544","109679","24934","95798","121808","54.5365","58.6953","4.15875",33.27,79.639,43.6888,66.5858,"0.182953","TRUE","FALSE","FALSE",5020.94
"01005","Alabama","Barbour County","-85.3013","31.844","1005.96","-575.701","25223","4816","5622","10518","4158","5606","9832","7.72179","14.83","7.1082",56.8656,43.7439,36.6307,23.9106,"0.0520287","TRUE","FALSE","FALSE",694.045
"01007","Alabama","Bibb County","-87.1368","33.0322","821.587","-461.555","22293","1986","7525","9595","1619","7572","9241","58.2378","64.7699","6.53205",52.2564,42.2582,33.416,25.8674,"0.0504789","TRUE","FALSE","FALSE",600.361
"01009","Alabama","Blount County","-86.5927","33.9546","861.688","-354.199","59134","2640","24711","27588","2576","25354","28115","80.6954","81.5539","0.858481",6.86785,34.9865,4.18368,34.7355,"0.0879962","TRUE","FALSE","FALSE",239.774
"01011","Alabama","Bullock County","-85.7024","32.1158","965.126","-549.756","10357","3446","1146","4613","2983","1101","4106","-50.0871","-46.0823","4.00484",32.0387,32.8128,17.4069,27.8151,"0.033649","TRUE","FALSE","FALSE",163.558
"01013","Alabama","Butler County","-86.6524","31.776","880.105","-596.636","19051","3965","5458","9488","3251","5172","8467","15.8442","22.8066","6.96239",55.6991,42.0278,34.7187,23.6843,"0.0483239","TRUE","FALSE","FALSE",586.442
"01015","Alabama","Calhoun County","-85.818","33.7272","935.104","-372.148","116441","15216","35101","50983","13194","34912","48530","39.5194","45.1461","5.62669",45.0135,64.4533,45.5861,45.5646,"0.115486","TRUE","FALSE","FALSE",2706.78
"01017","Alabama","Chambers County","-85.2596","32.8564","997.132","-463.106","34772","6365","8753","15284","5405","8711","14221","15.7957","23.4202","7.62449",60.9959,48.9546,42.815,23.7367,"0.0625582","TRUE","FALSE","FALSE",1076.27
"01019","Alabama","Cherokee County","-85.6299","34.1805","946.793","-319.926","24971","1624","10583","12301","1553","11358","12984","73.3923","75.943","2.55068",20.4054,37.1335,12.947,34.8033,"0.0598286","TRUE","FALSE","FALSE",329.318
"01021","Alabama","Chilton County","-86.6889","32.8791","864.653","-474.586","45014","3073","16085","19310","2698","16920","19728","67.9194","72.4946","4.57524",36.6019,46.6588,27.8204,37.4575,"0.073749","TRUE","FALSE","FALSE",897.571
"01023","Alabama","Choctaw County","-88.2625","32.0161","726.705","-583.608","12665","3127","4296","7464","2515","4103","6646","15.7483","23.9952","8.24681",65.9745,41.3385,37.7571,16.8307,"0.0428343","TRUE","FALSE","FALSE",545.774
"01025","Alabama","Clarke County","-87.8159","31.6835","771.737","-617.008","23087","5755","7324","13135","4927","6965","11946","11.9963","17.1376","5.14124",41.1299,42.4389,27.915,31.9658,"0.0574191","TRUE","FALSE","FALSE",611.396
"01027","Alabama","Clay County","-85.8172","33.2743","940.579","-422.429","14236","1267","5601","6930","993","5734","6757","63.1043","70.4772","7.37293",58.9834,40.4585,34.6737,20.8477,"0.0431856","TRUE","FALSE","FALSE",495.977
"01029","Alabama","Cleburne County","-85.4957","33.6252","965.834","-380.252","15056","675","6484","7227","605","6988","7637","81.1426","84.0643","2.92165",23.3732,34.5105,13.691,31.6786,"0.0458813","TRUE","FALSE","FALSE",221.841
"01031","Alabama","Coffee County","-85.8996","31.3532","955.723","-636.189","53465","5076","16899","22275","4601","17495","22270","53.802","58.3545","4.55241",36.4193,48.0751,28.5417,38.6858,"0.0782682","TRUE","FALSE","FALSE",1005.9
"01033","Alabama","Colbert County","-87.6819","34.7243","754.666","-277.775","57227","8343","19203","27886","7137","19714","27086","39.425","46.84","7.41501",59.3201,58.4813,50.2957,29.8396,"0.0862798","TRUE","FALSE","FALSE",1991
"01035","Alabama","Conecuh County","-86.9975","31.4164","851.495","-639.629","11597","2966","3442","6441","2580","3423","6043","7.42821","14.043","6.61476",52.9181,38.5687,30.7691,23.2553,"0.0407956","TRUE","FALSE","FALSE",397.084
"01037","Alabama","Coosa County","-86.1562","32.9769","912.816","-458.754","10387","1796","3631","5479","1478","3758","5264","33.8124","43.5447","9.73227",77.8582,40.7032,39.7926,8.5612,"0.0381003","TRUE","FALSE","FALSE",509.582
"01039","Alabama","Covington County","-86.4092","31.2841","908.442","-648.833","37570","2721","14586","17430","2314","14677","17072","68.5561","72.7621","4.20597",33.6478,44.0567,24.4112,36.6754,"0.0686338","TRUE","FALSE","FALSE",714.636
"01041","Alabama","Crenshaw County","-86.2968","31.7473","913.798","-596.46","13194","1700","4864","6617","1457","5000","6480","48.2023","54.8707","6.66837",53.347,39.2327,31.475,23.4206,"0.0423101","TRUE","FALSE","FALSE",430.577
"01043","Alabama","Cullman County","-86.8327","34.1627","837.532","-333.203","87866","4478","36880","41851","4039","38704","43052","78.3452","81.101","2.75582",22.0466,50.1757,18.8339,46.5068,"0.108858","TRUE","FALSE","FALSE",1177.92
"01045","Alabama","Dale County","-85.6377","31.3839","980.032","-630.132","49326","5170","14303","19738","4484","14476","19103","46.9008","52.7004","5.79958",46.3966,49.2398,35.6561,33.9588,"0.0725016","TRUE","FALSE","FALSE",1099.6
"01047","Alabama","Dallas County","-87.0353","32.4118","837.485","-529.574","38462","12230","5524","17864","10236","5190","15528","-37.7718","-32.711","5.06076",40.4861,45.0307,29.2368,34.2487,"0.0653966","TRUE","FALSE","FALSE",780.673
"01049","Alabama","DeKalb County","-85.8175","34.4527","926.478","-291.518","71608","4281","24767","29356","3758","25633","29583","70.5246","74.4275","3.9029",31.2232,49.8112,25.8208,42.5963,"0.0902684","TRUE","FALSE","FALSE",1147.1
"01051","Alabama","Elmore County","-86.2253","32.5585","911.221","-505.841","87977","10367","30164","41030","9774","31374","41491","48.8441","52.4934","3.64934",29.1947,53.748,26.2171,46.9202,"0.106808","TRUE","FALSE","FALSE",1501.63
"01053","Alabama","Escambia County","-87.2801","31.0854","828.222","-678.793","36757","4918","10869","15910","3964","10884","14929","37.6956","46.6056","8.91003",71.2802,51.8301,49.0883,16.6343,"0.0641597","TRUE","FALSE","FALSE",1322.96
