"year","party","resentment","n"
1986,"Democrat",3.066,533
1986,"Independent",3.463,121
1986,"Republican",3.405,365
1988,"Democrat",3.183,816
1988,"Independent",3.571,189
1988,"Republican",3.571,708
1990,"Democrat",3.062,471
1990,"Independent",3.333,106
1990,"Republican",3.371,368
1992,"Democrat",3.104,1085
1992,"Independent",3.425,267
1992,"Republican",3.579,834
1994,"Democrat",3.179,815
1994,"Independent",3.575,180
1994,"Republican",3.68,729
2000,"Democrat",3.144,734
2000,"Independent",3.592,180
2000,"Republican",3.711,589
2004,"Democrat",2.967,496
2004,"Independent",3.515,101
2004,"Republican",3.751,434
2008,"Democrat",3.147,1202
2008,"Independent",3.466,232
2008,"Republican",3.794,596
2012,"Democrat",3.052,2861
2012,"Independent",3.571,723
2012,"Republican",3.981,1846
2016,"Democrat",2.582,1659
2016,"Independent",3.392,469
2016,"Republican",3.809,1471
2020,"Democrat",2.053,3433
2020,"Independent",2.946,853
2020,"Republican",3.651,3032
2024,"Democrat",2.248,2314
2024,"Independent",3.042,297
2024,"Republican",3.693,2057
