"year","districts","med_pres","spread","wobble","pct_split"
1952,337,42.5,6.4,3.1,16.02
1956,358,40.47,6.07,6.72,29.89
1960,356,48.22,6.19,5,25.84
1964,390,62.08,5.84,7.12,31.54
1968,385,47.27,6.72,7.72,25.19
1972,380,36.58,6.14,12.5,39.47
1976,383,49.55,5.27,11.31,30.55
1980,380,44.05,6.2,11.61,34.21
1984,367,39.22,6.2,12.53,40.33
1988,354,44.12,6.58,12.97,33.33
1992,401,52.27,6.85,7.02,25.44
1996,408,53.47,7.34,7.48,25.98
2000,370,49.27,7.69,8.15,21.35
2004,366,46.62,8.57,7.4,15.3
2008,379,52,8.57,6.1,19.53
2012,387,49.29,10.26,3.03,6.46
2016,371,48.2,11.47,3.8,10.24
2020,408,50.33,11.61,1.81,4.41
2024,397,48.48,10.72,1.84,4.03
