"year","contests","split","pct_split","two_party","wobble"
2004,34,7,20.59,33,9.44
2008,33,7,21.21,32,5.24
2012,33,8,24.24,32,5.32
2016,34,0,0,32,4.63
2020,35,1,2.86,32,1.46
2024,35,6,17.14,33,2.16
