"state","senators","sides","split","split_caucus"
"ME","KING and COLLINS","IR",TRUE,TRUE
"PA","FETTERMAN and MCCORMICK","DR",TRUE,TRUE
"VT","WELCH and SANDERS","DI",TRUE,FALSE
"WI","BALDWIN and JOHNSON","DR",TRUE,TRUE
