"upper","year","term","runoff","winner","winner_party","winner_side","sen_dem","sen_rep","abbrev","pres_r","pres_winner","sen_r","gap","split"
"ALASKA",2004,"full",FALSE,"Lisa Murkowski","Republican","R",140424,149773,"AK",63.226,"R",51.611,-11.615,FALSE
"ALABAMA",2004,"full",FALSE,"Richard C. Shelby","Republican","R",595018,1242200,"AL",62.898,"R",67.613,4.715,FALSE
"ARKANSAS",2004,"full",FALSE,"Blanche L. Lincoln","Democrat","D",580973,458036,"AR",54.936,"R",44.084,-10.852,TRUE
"ARIZONA",2004,"full",FALSE,"John McCain","Republican","R",404507,1505372,"AZ",55.275,"R",78.82,23.545,FALSE
"CALIFORNIA",2004,"full",FALSE,"Barbara Boxer","Democrat","D",6955728,4555922,"CA",44.959,"D",39.577,-5.382,FALSE
"COLORADO",2004,"full",FALSE,"Ken Salazar","Democrat","D",1081188,980668,"CO",52.366,"R",47.562,-4.804,TRUE
"CONNECTICUT",2004,"full",FALSE,"Christopher J. Dodd","Democrat","D",945347,457749,"CT",44.725,"D",32.624,-12.101,FALSE
"FLORIDA",2004,"full",FALSE,"Mel Martinez","Republican","R",3590201,3672864,"FL",52.524,"R",50.569,-1.955,FALSE
"GEORGIA",2004,"full",FALSE,"Johnny Isakson","Republican","R",1287690,1864202,"GA",58.354,"R",59.145,0.791,FALSE
"HAWAII",2004,"full",FALSE,"Daniel K. Inouye","Democrat","D",313629,87172,"HI",45.596,"D",21.749,-23.847,FALSE
"IOWA",2004,"full",FALSE,"Charles E. Grassley","Republican","R",412365,1038175,"IA",50.337,"R",71.572,21.235,FALSE
"IDAHO",2004,"full",FALSE,"Mike Crapo","Republican","R",NA,499796,"ID",69.323,"R",NA,NA,FALSE
"ILLINOIS",2004,"full",FALSE,"Barack Obama","Democrat","D",3597456,1390690,"IL",44.791,"D",27.88,-16.911,FALSE
"INDIANA",2004,"full",FALSE,"Evan Bayh","Democrat","D",1496976,903913,"IN",60.423,"R",37.649,-22.774,TRUE
"KANSAS",2004,"full",FALSE,"Sam Brownback","Republican","R",310337,780863,"KS",62.867,"R",71.56,8.693,FALSE
"KENTUCKY",2004,"full",FALSE,"Jim Bunning","Republican","R",850855,873507,"KY",60.008,"R",50.657,-9.351,FALSE
"LOUISIANA",2004,"full",FALSE,"David Vitter","Republican","R",542150,943014,"LA",57.331,"R",63.496,6.165,FALSE
"MARYLAND",2004,"full",FALSE,"Barbara A. Mikulski","Democrat","D",1504691,783055,"MD",43.434,"D",34.228,-9.206,FALSE
"MISSOURI",2004,"full",FALSE,"Christopher S. Bond","Republican","R",1158261,1518089,"MO",53.62,"R",56.722,3.102,FALSE
"NORTH CAROLINA",2004,"full",FALSE,"Richard Burr","Republican","R",1632527,1791450,"NC",56.242,"R",52.321,-3.921,FALSE
"NORTH DAKOTA",2004,"full",FALSE,"Byron L. Dorgan","Democrat","D",212143,98553,"ND",63.909,"R",31.72,-32.189,TRUE
"NEW HAMPSHIRE",2004,"full",FALSE,"Judd Gregg","Republican","R",221549,434847,"NH",49.31,"D",66.248,16.938,TRUE
"NEVADA",2004,"full",FALSE,"Harry Reid","Democrat","D",494805,284640,"NV",51.318,"R",36.518,-14.8,TRUE
"NEW YORK",2004,"full",FALSE,"Charles E. Schumer","Democrat","D",4384907,1625069,"NY",40.712,"D",27.04,-13.672,FALSE
"OHIO",2004,"full",FALSE,"George V. Voinovich","Republican","R",1961171,3464356,"OH",51.059,"R",63.853,12.794,FALSE
"OKLAHOMA",2004,"full",FALSE,"Tom Coburn","Republican","R",596750,763433,"OK",65.57,"R",56.127,-9.443,FALSE
"OREGON",2004,"full",FALSE,"Ron Wyden","Democrat","D",1128728,565254,"OR",47.891,"D",33.368,-14.523,FALSE
"PENNSYLVANIA",2004,"full",FALSE,"Arlen Specter","Republican","R",2334126,2925080,"PA",48.742,"D",55.618,6.876,TRUE
"SOUTH CAROLINA",2004,"full",FALSE,"Jim DeMint","Republican","R",704384,857167,"SC",58.635,"R",54.892,-3.743,FALSE
"SOUTH DAKOTA",2004,"full",FALSE,"John Thune","Republican","R",193340,197848,"SD",60.913,"R",50.576,-10.337,FALSE
"UTAH",2004,"full",FALSE,"Robert F. Bennett","Republican","R",258955,626640,"UT",73.346,"R",70.759,-2.587,FALSE
