"key","value"
"vv_rows","51062"
"del_first_year","1879"
"del_last_year","2025"
"del_congresses","74"
"del_peak_year","1979"
"del_peak_pct","54"
"del_peak_n","27"
"del_last_pct","8"
"del_last_n","4"
"del_first_pct","18.42"
"del_maxgap","9.63"
"del_maxgap_year","1945"
"del_medgap","1.36"
"del_gap59","4.17"
"del_r_readings","0.9783"
"del_three_plus","298"
"del_state_congresses","3536"
"del_last_ballot","4"
"del_last_caucus","3"
"del_last_states","ME, PA, VT, WI"
"sen_contests","204"
"sen_split_2004","7"
"sen_split_2024","6"
"sen_n_2004","34"
"sen_n_2024","35"
"sen_wobble_2004","9.44"
"sen_wobble_2024","2.16"
"sen_no_two_party","10"
"sen_runoffs","3"
"sen_runoff_where","LA 2016, GA 2020, GA 2020"
"nat_r_2024","50.75"
"h_first_year","1952"
"h_last_year","2024"
"h_years","19"
"h_districts","7177"
"h_peak_year","1984"
"h_peak_pct","40.33"
"h_last_pct","4.03"
"h_wobble_peak","12.53"
"h_wobble_last","1.84"
"h_spread_peak","6.2"
"h_spread_last","10.72"
"h_wobble_ratio","6.8"
"swap_old_new","4.63"
"swap_new_old","14.11"
"swap_old_year","1984"
"swap_new_year","2024"
