"from_state","to_state","est","moe","lo","hi","sig","flag"
"Alaska","Alabama",387,404,0,791,FALSE,""
"Arizona","Alabama",2055,1402,653,3457,TRUE,""
"Arkansas","Alabama",958,757,201,1715,TRUE,""
"California","Alabama",7145,2936,4209,10081,TRUE,""
"Colorado","Alabama",2994,1616,1378,4610,TRUE,""
"Connecticut","Alabama",,,,,FALSE,"N"
"Delaware","Alabama",0,213,0,213,FALSE,""
"District of Columbia","Alabama",0,213,0,213,FALSE,""
"Florida","Alabama",16423,4099,12324,20522,TRUE,""
"Georgia","Alabama",15194,2860,12334,18054,TRUE,""
"Hawaii","Alabama",772,1029,0,1801,FALSE,""
"Idaho","Alabama",973,944,29,1917,TRUE,""
"Illinois","Alabama",5231,1900,3331,7131,TRUE,""
"Indiana","Alabama",1904,936,968,2840,TRUE,""
"Iowa","Alabama",427,327,100,754,TRUE,""
"Kansas","Alabama",1390,1677,0,3067,FALSE,""
"Kentucky","Alabama",2576,890,1686,3466,TRUE,""
"Louisiana","Alabama",2529,828,1701,3357,TRUE,""
"Maine","Alabama",98,136,0,234,FALSE,""
"Maryland","Alabama",1291,705,586,1996,TRUE,""
"Massachusetts","Alabama",1485,1050,435,2535,TRUE,""
"Michigan","Alabama",2469,951,1518,3420,TRUE,""
"Minnesota","Alabama",628,692,0,1320,FALSE,""
"Mississippi","Alabama",7574,2264,5310,9838,TRUE,""
"Missouri","Alabama",1058,741,317,1799,TRUE,""
"Montana","Alabama",261,248,13,509,TRUE,""
"Nebraska","Alabama",528,538,0,1066,FALSE,""
"Nevada","Alabama",586,493,93,1079,TRUE,""
"New Hampshire","Alabama",318,319,0,637,FALSE,""
"New Jersey","Alabama",2906,2113,793,5019,TRUE,""
"New Mexico","Alabama",375,340,35,715,TRUE,""
"New York","Alabama",2937,2349,588,5286,TRUE,""
"North Carolina","Alabama",1510,879,631,2389,TRUE,""
"North Dakota","Alabama",0,213,0,213,FALSE,""
"Ohio","Alabama",2748,1678,1070,4426,TRUE,""
"Oklahoma","Alabama",840,646,194,1486,TRUE,""
"Oregon","Alabama",373,469,0,842,FALSE,""
"Pennsylvania","Alabama",1036,608,428,1644,TRUE,""
"Rhode Island","Alabama",0,213,0,213,FALSE,""
"South Carolina","Alabama",1775,925,850,2700,TRUE,""
"South Dakota","Alabama",521,401,120,922,TRUE,""
"Tennessee","Alabama",11339,2639,8700,13978,TRUE,""
"Texas","Alabama",7428,2159,5269,9587,TRUE,""
"Utah","Alabama",636,526,110,1162,TRUE,""
"Vermont","Alabama",0,213,0,213,FALSE,""
"Virginia","Alabama",5056,2688,2368,7744,TRUE,""
"Washington","Alabama",2154,1499,655,3653,TRUE,""
"West Virginia","Alabama",,,,,FALSE,"N"
"Wisconsin","Alabama",362,326,36,688,TRUE,""
"Wyoming","Alabama",517,612,0,1129,FALSE,""
"Puerto Rico","Alabama",,,,,FALSE,"N"
"Alabama","Alaska",244,292,0,536,FALSE,""
"Arizona","Alaska",1336,1005,331,2341,TRUE,""
