"hub","dir","other","est","moe","sig","x0","y0","cx","cy","x1","y1"
"California","out","South Dakota",1983,862,TRUE,137.1,324.1,277,452.8,467.1,449.5
"California","out","Iowa",2485,1155,TRUE,137.1,324.1,327.9,449.3,552.4,408.5
"California","out","Mississippi",2785,1494,TRUE,137.1,324.1,396.8,369.5,616.1,223.3
"California","out","Nebraska",3163,1057,TRUE,137.1,324.1,300.2,429,490.6,392.5
"California","out","Louisiana",3544,1536,TRUE,137.1,324.1,389.7,343.8,586.1,183.9
"California","out","Connecticut",4237,2318,TRUE,137.1,324.1,469.2,524.3,847.9,440.3
"California","out","District of Columbia",4559,1174,TRUE,137.1,324.1,457.4,482.3,798.4,376
"California","out","Montana",4872,1563,TRUE,137.1,324.1,179.1,455.1,299.8,521
"California","out","Kansas",5217,1468,TRUE,137.1,324.1,316.9,404.3,502.5,338.3
"California","out","Wisconsin",6062,2235,TRUE,137.1,324.1,348.2,480,608.6,447.3
"California","out","Kentucky",6856,2902,TRUE,137.1,324.1,404.3,437.2,675.8,334.8
"California","out","Minnesota",6928,2325,TRUE,137.1,324.1,310.2,479.9,543.1,473.3
"California","out","Alabama",7145,2936,TRUE,137.1,324.1,417.2,385,662.1,235.9
"California","out","Ohio",8011,2067,TRUE,137.1,324.1,408.4,471.7,706.7,391.5
"California","out","New Jersey",8021,2510,TRUE,137.1,324.1,465.7,507.9,830.4,414.3
"California","out","New Mexico",8699,2726,TRUE,137.1,324.1,250,337.6,341.1,269.5
"California","out","South Carolina",8709,2524,TRUE,137.1,324.1,456.6,419.4,753.7,268
"California","out","Missouri",8786,2191,TRUE,137.1,324.1,349.2,417.3,567,338.5
"California","out","Indiana",9740,2396,TRUE,137.1,324.1,385.4,455.4,655.7,379.3
"California","out","Hawaii",10516,2445,TRUE,137.1,324.1,270.7,230.7,303.1,71
"California","out","Pennsylvania",10777,2315,TRUE,137.1,324.1,448.6,496.4,793,406.4
"California","out","Maryland",11078,3398,TRUE,137.1,324.1,457.5,485.3,800.7,381.1
"California","out","Oklahoma",11605,2566,TRUE,137.1,324.1,324.8,373.9,495.1,280.6
"California","out","Utah",13734,3517,TRUE,137.1,324.1,189,387,270,396.7
"California","out","Massachusetts",13810,2866,TRUE,137.1,324.1,474,538.3,865.8,461.1
"California","out","Michigan",14005,4112,TRUE,137.1,324.1,385.7,489,679.5,437
"California","out","Georgia",14052,3801,TRUE,137.1,324.1,437.7,400.8,708.3,249.1
"California","out","Illinois",15128,2843,TRUE,137.1,324.1,364.4,458.9,621.9,399.8
"California","out","Idaho",15385,2919,TRUE,137.1,324.1,155.6,422.6,237,481.1
"California","out","North Carolina",18428,4002,TRUE,137.1,324.1,458,439.4,769.9,301.6
"California","out","Tennessee",19670,4848,TRUE,137.1,324.1,406.5,413.6,663.3,292.7
"California","out","Colorado",19717,3479,TRUE,137.1,324.1,244.7,391.6,369.2,366.3
"California","out","Virginia",20180,4162,TRUE,137.1,324.1,458.4,469.2,791.2,352.8
"California","out","New York",31367,4875,TRUE,137.1,324.1,458.2,516.3,823.3,434
"California","out","Oregon",31500,4443,TRUE,137.1,324.1,99.2,420.4,138.2,516.4
"California","out","Florida",36194,5759,TRUE,137.1,324.1,485.5,359.1,761.9,144.3
"California","out","Washington",43938,5464,TRUE,137.1,324.1,103.4,448.6,164.8,562.1
"California","out","Arizona",52383,6890,TRUE,137.1,324.1,205.6,312.8,247.5,257.5
"California","out","Nevada",53289,6970,TRUE,137.1,324.1,161.5,344.5,193.3,342.5
"California","out","Texas",77161,9059,TRUE,137.1,324.1,339.2,325.1,486.2,186.5
"Delaware","in","Maine",76,108,FALSE,877.3,505.7,871.3,435.6,818.6,388.9
"Delaware","in","Massachusetts",122,119,TRUE,865.8,461.1,856.6,415.6,818.6,388.9
"Delaware","in","Indiana",250,430,FALSE,655.7,379.3,735.2,416.7,818.6,388.9
"Delaware","in","Connecticut",258,242,TRUE,847.9,440.3,843.5,408.8,818.6,388.9
"Delaware","in","Iowa",325,501,FALSE,552.4,408.5,689.4,452,818.6,388.9
"Delaware","in","Colorado",329,324,TRUE,369.2,366.3,589.4,467.5,818.6,388.9
"Delaware","in","North Carolina",451,442,TRUE,769.9,301.6,776.8,355,818.6,388.9
"Delaware","in","Alabama",477,611,FALSE,662.1,235.9,709.8,343.8,818.6,388.9
"Delaware","in","District of Columbia",526,456,TRUE,798.4,376,805.9,386.5,818.6,388.9
"Delaware","in","Arkansas",708,951,FALSE,561.8,273.2,667.1,382.4,818.6,388.9
"Delaware","in","Michigan",721,778,FALSE,679.5,437,758.7,440.8,818.6,388.9
"Delaware","in","South Carolina",814,552,TRUE,753.7,268,762,341.5,818.6,388.9
"Delaware","in","Tennessee",865,1178,FALSE,663.3,292.7,721.7,371.9,818.6,388.9
"Delaware","in","Texas",1250,1120,TRUE,486.2,186.5,611.9,354.2,818.6,388.9
"Delaware","in","California",1439,815,TRUE,137.1,324.1,464.9,492.8,818.6,388.9
"Delaware","in","Florida",1574,1286,TRUE,761.9,144.3,741.4,278,818.6,388.9
"Delaware","in","Georgia",1595,1979,FALSE,708.3,249.1,735.5,341.1,818.6,388.9
"Delaware","in","Virginia",1854,915,TRUE,791.2,352.8,797.7,376.4,818.6,388.9
"Delaware","in","New York",2684,1027,TRUE,823.3,434,830,410.6,818.6,388.9
"Delaware","in","New Jersey",3404,1047,TRUE,830.4,414.3,829.6,399.3,818.6,388.9
"Delaware","in","Pennsylvania",6673,1661,TRUE,793,406.4,809.3,402.8,818.6,388.9
"Delaware","in","Maryland",7026,2233,TRUE,800.7,381.1,808.1,388.6,818.6,388.9
"Delaware","out","Nebraska",98,138,FALSE,818.6,388.9,653.9,325.1,490.6,392.5
"Delaware","out","Maine",129,111,TRUE,818.6,388.9,824.6,459,877.3,505.7
"Delaware","out","California",149,144,TRUE,818.6,388.9,490.9,220.2,137.1,324.1
"Delaware","out","Massachusetts",202,251,FALSE,818.6,388.9,827.8,434.5,865.8,461.1
"Delaware","out","Missouri",206,285,FALSE,818.6,388.9,702.9,313.4,567,338.5
"Delaware","out","Tennessee",220,296,FALSE,818.6,388.9,760.2,309.7,663.3,292.7
"Delaware","out","Arizona",237,299,FALSE,818.6,388.9,559.4,209,247.5,257.5
"Delaware","out","Kansas",269,432,FALSE,818.6,388.9,670.7,300.4,502.5,338.3
"Delaware","out","Georgia",485,380,TRUE,818.6,388.9,791.4,297,708.3,249.1
"Delaware","out","North Carolina",501,618,FALSE,818.6,388.9,811.7,335.5,769.9,301.6
"Delaware","out","New York",603,400,TRUE,818.6,388.9,812,412.4,823.3,434
"Delaware","out","Washington",661,823,FALSE,818.6,388.9,457.1,344.8,164.8,562.1
"Delaware","out","District of Columbia",679,520,TRUE,818.6,388.9,811.1,378.4,798.4,376
"Delaware","out","Ohio",682,378,TRUE,818.6,388.9,762.1,367.8,706.7,391.5
"Delaware","out","Texas",686,486,TRUE,818.6,388.9,692.9,221.2,486.2,186.5
"Delaware","out","South Dakota",753,854,FALSE,818.6,388.9,630.7,348.9,467.1,449.5
"Delaware","out","Illinois",868,1115,FALSE,818.6,388.9,718.1,355,621.9,399.8
"Delaware","out","South Carolina",1241,901,TRUE,818.6,388.9,810.4,315.5,753.7,268
"Delaware","out","Florida",1581,994,TRUE,818.6,388.9,839.2,255.3,761.9,144.3
"Delaware","out","Virginia",2342,1050,TRUE,818.6,388.9,812.1,365.4,791.2,352.8
"Delaware","out","New Jersey",3347,1138,TRUE,818.6,388.9,819.4,404,830.4,414.3
"Delaware","out","Maryland",5781,1822,TRUE,818.6,388.9,811.2,381.4,800.7,381.1
"Delaware","out","Pennsylvania",6665,1696,TRUE,818.6,388.9,802.4,392.5,793,406.4
