"year","period","movers","same_county","same_state_diff_county","diff_state","abroad"
1948,"1947-1948",20.2,13.6,3.3,3.1,0.3
1949,"1948-1949",19.2,13,2.8,3,0.3
1950,"1949-1950",19.1,13.1,3,2.6,0.3
1951,"1950-1951",21.2,13.9,3.6,3.5,0.2
1952,"1951-1952",20.3,13.2,3.2,3.4,0.4
1953,"1952-1953",20.6,13.5,3,3.6,0.5
1954,"1953-1954",19.3,12.2,3.2,3.2,0.6
1955,"1954-1955",20.4,13.3,3.5,3.1,0.6
1956,"1955-1956",21.1,13.7,3.6,3.1,0.6
1957,"1956-1957",19.9,13.1,3.2,3.1,0.5
1958,"1957-1958",20.3,13.1,3.4,3.3,0.5
1959,"1958-1959",19.7,13.1,3.2,3,0.5
1960,"1959-1960",19.9,12.9,3.3,3.2,0.5
1961,"1960-1961",20.6,13.7,3.1,3.2,0.6
1962,"1961-1962",19.6,13,3,3.1,0.5
1963,"1962-1963",20,12.6,3.1,3.6,0.6
1964,"1963-1964",20.1,13,3.3,3.3,0.5
1965,"1964-1965",20.7,13.4,3.5,3.3,0.5
1966,"1965-1966",19.8,12.7,3.3,3.3,0.5
1967,"1966-1967",19,11.6,3.3,3.4,0.7
1968,"1967-1968",19.5,11.8,3.4,3.6,0.7
1969,"1968-1969",19,11.7,3.2,3.4,0.7
1970,"1969-1970",19.1,11.7,3.1,3.6,0.8
1971,"1970-1971/9",18.7,11.4,3.1,3.4,0.8
1976,"1975-1976/9",17.7,10.8,3.4,3,0.6
1981,"1980-1981",17.2,10.4,3.4,2.8,0.6
1982,"1981-1982",17,10.3,3.3,3,0.5
1983,"1982-1983",16.6,10.1,3.3,2.7,0.4
1984,"1983-1984",17.3,10.4,3.6,2.8,0.5
1985,"1984-1985",20.2,13.1,3.5,3,0.6
1986,"1985-1986",18.6,11.3,3.7,3,0.5
1987,"1986-1987",18.6,11.6,3.7,2.8,0.5
1988,"1987-1988",17.8,11,3.3,3,0.5
1989,"1988-1989",17.8,10.9,3.3,3,0.6
1990,"1989-1990",17.9,10.6,3.3,3.3,0.6
1991,"1990-1991",17,10.3,3.2,2.9,0.6
1992,"1991-1992",17.3,10.7,3.2,2.9,0.5
1993,"1992-1993 (1990 controls)/7",17,10.7,3.1,2.7,0.6
1994,"1993-1994",16.7,10.4,3.2,2.6,0.5
1995,"1994-1995",16.4,10.8,3.1,2.2,0.3
1996,"1995-1996",16.3,10.3,3.1,2.5,0.5
1997,"1996-1997",16.5,10.5,3,2.4,0.5
1998,"1997-1998",16,10.2,3,2.4,0.5
1999,"1998-1999",15.9,9.4,3.1,2.8,0.5
2000,"1999-2000",16.1,9,3.3,3.1,0.6
2001,"2000-2001 (2000 controls)/3",14.1529,7.95251,2.73937,2.82391,0.63713
2002,"2001-2002",14.7796,8.52459,2.89977,2.79336,0.561907
2003,"2002-2003",14.1894,8.30561,2.73503,2.69964,0.449115
2004,"2003-2004/5",13.7,7.9,2.8,2.6,0.4
2005,"2004-2005/4",13.9,7.9,2.7,2.6,0.6
2006,"2005-2006",13.7,8.6,2.8,2,0.4
2007,"2006-2007",13.2,8.6,2.5,1.7,0.4
2008,"2007-2008",11.9,7.8,2.1,1.6,0.4
2009,"2008-2009",12.5,8.4,2.1,1.6,0.4
2010,"2009-2010 (2010 controls)/2",12.5,8.6,2.1,1.4,0.3
2011,"2010-2011 (2010 controls)/2",11.6,7.7,1.9,1.6,0.4
2012,"2011-2012",12,7.7,2.2,1.7,0.4
2013,"2012-2013",11.7,7.5,2.3,1.6,0.3
2014,"2013-2014 (98,000 address file)/1",11.5,7.6,2.1,1.5,0.4
2015,"2014-2015",11.6,7.3,2.1,1.6,0.5
2016,"2015-2016",11.2,6.9,2.4,1.5,0.4
2017,"2016-2017",11,6.8,2.1,1.7,0.4
2018,"2017-2018",10.1,6.2,2,1.5,0.4
2019,"2018-2019",9.8,5.9,2.1,1.5,0.4
2020,"2019-2020",9.3,5.4,2.2,1.3,0.3
