"key","value"
"focus_state","California"
"contrast_state","Delaware"
"focus_county","Los Angeles County"
"frame_w","1000"
"frame_h","620"
"n_pairs","2652"
"n_reported","2373"
"n_suppressed","279"
"n_sig","1714"
"n_fail","938"
"n_zero_est","276"
"pct_sig_of_pairs","64.6"
"pct_fail_of_pairs","35.4"
"pct_volume_in_failed_pairs","2.21"
"median_est_sig","1779"
"median_est_fail","129"
"largest_fail_est","2617"
"largest_fail_moe","3046"
"largest_fail_pair","Minnesota to Utah"
"us_pop1","336636468"
"us_pop_total","340110990"
"us_movers_between_states","7157607"
"us_movers_within_state","29888154"
"us_movers_from_abroad","2552193"
"us_born_state_pct","56.5"
"us_foreign_pct","15.9"
"n_states_net_sig","29"
"acs_year","2024"
"c2c_window","2016-2020"
"cps_first","1948"
"cps_last","2020"
"county_pairs_shown","40"
"county_pairs_sig","40"
"county_total_pairs","1234"
"county_all_sig","338"
"county_all_pairs","1234"
"fetched","2026-08-10"
