"state","fips","piece","is_state","pop1","pop_total","in_est","in_moe","out_est","out_moe","net","net_moe","net_sig","in_per1k","out_per1k","net_per1k","sig_in_n","sig_out_n","within_est","abroad_est","abroad_moe","abroad_per1k","foreignorigin_est","born_state_est","born_state_moe","born_state_pct","born_otherstate_est","born_otherstate_pct","born_foreign_est","born_foreign_moe","born_foreign_pct","born_pr_est","born_pr_pct","born_island_est","lat","lon","mx","my"
"Maryland","24","conus",TRUE,6194792,6263220,164424,11995,159125,9310,5299,15184.1,FALSE,26.5423,25.6869,0.855396,35,37,451319,44792,5965,7.23059,42853,2906671,27237,46.4086,2166015,34.5831,1162915,23055,18.5674,22480,0.358921,5139,39.1366,-76.8022,800.704,381.095
"Massachusetts","25","conus",TRUE,7070467,7136171,152915,10293,182947,10624,-30032,14792.4,TRUE,21.6273,25.8748,-4.24753,36,41,540796,66941,7704,9.46769,66158,4137777,28574,57.9832,1453259,20.3647,1423947,23058,19.9539,117483,1.6463,3705,42.2737,-71.3504,865.777,461.105
"Michigan","26","conus",TRUE,10044508,10140459,140413,11989,134292,8374,6121,14624,FALSE,13.9791,13.3697,0.609388,44,38,885629,55644,7125,5.53974,54673,7617490,28195,75.1198,1657665,16.347,851878,17515,8.40078,12396,0.122243,1030,42.8647,-84.2132,679.519,437.003
"Minnesota","27","conus",TRUE,5729467,5793151,104959,6614,111705,8438,-6746,10721.2,FALSE,18.3192,19.4966,-1.17742,40,35,511847,30177,4759,5.26698,29527,3846317,20012,66.3942,1363598,23.5381,571126,12801,9.85864,10921,0.188516,1189,45.19,-93.5588,543.054,473.341
"Mississippi","28","conus",TRUE,2913148,2943045,65391,7071,55258,8138,10133,10780.8,FALSE,22.4469,18.9685,3.47837,24,19,229171,15632,3415,5.36602,15301,2061181,18916,70.0357,785248,26.6815,92640,6098,3.14776,3698,0.125652,278,32.5754,-89.5663,616.14,223.272
"Missouri","29","conus",TRUE,6181478,6245466,140693,8081,132632,11082,8061,13715.4,FALSE,22.7604,21.4564,1.30406,39,39,577584,29478,4319,4.76876,28597,4053780,24762,64.9076,1829635,29.2954,354126,13177,5.67013,5633,0.0901934,2292,38.4329,-92.2349,566.987,338.508
"Montana","30","conus",TRUE,1126184,1137233,36159,4898,35447,4254,712,6487.44,FALSE,32.1075,31.4753,0.632224,26,27,104014,3622,1307,3.21617,3499,580775,10133,51.0691,522444,45.9399,33701,3501,2.96342,,,302,46.7605,-111.319,299.802,521.032
"Nebraska","31","conus",TRUE,1977971,2005466,49949,5167,48631,5794,1318,7763.27,FALSE,25.2526,24.5863,0.666339,27,24,197057,12943,3107,6.54357,12884,1254124,13069,62.5353,548862,27.3683,200051,7905,9.97529,1921,0.0957882,508,41.1679,-97.2221,490.619,392.47
"Nevada","32","conus",TRUE,3235205,3267467,130813,11506,89535,7951,41278,13985.9,TRUE,40.4342,27.6752,12.759,36,39,295287,27577,5041,8.52403,27416,930211,19006,28.4689,1628348,49.8352,696584,18079,21.3188,4318,0.132151,8006,37.0159,-116.174,193.29,342.454
"New Hampshire","33","conus",TRUE,1397111,1409032,48666,5238,40570,5452,8096,7560.49,TRUE,34.8333,29.0385,5.79482,19,19,88963,4990,2221,3.57166,4781,571220,12847,40.5399,736596,52.2767,95721,5721,6.79339,5385,0.382177,,43.1491,-71.4556,859.805,477.679
