"state_a","county_a","into_b","into_b_moe","sig_in","out_of_b","out_of_b_moe"
"California","Orange County",38761,2562,TRUE,23839,1290
"California","San Bernardino County",34920,2839,TRUE,15590,1301
"California","Riverside County",23292,2434,TRUE,10232,1091
"Nevada","Clark County",12873,1782,TRUE,3349,562
"California","Kern County",10503,1253,TRUE,5058,873
"California","San Diego County",10436,1312,TRUE,8898,761
"California","Ventura County",10187,1266,TRUE,6625,810
"Arizona","Maricopa County",8614,1297,TRUE,2891,555
"California","Alameda County",6538,893,TRUE,4404,555
"California","Santa Clara County",5413,752,TRUE,3900,509
"Washington","King County",5175,949,TRUE,2933,435
"California","Santa Barbara County",4880,776,TRUE,1961,377
"California","San Francisco County",4003,458,TRUE,5205,743
"California","Sacramento County",3467,667,TRUE,1364,279
"New York","New York County",3342,656,TRUE,5267,746
"Texas","Tarrant County",2984,1066,TRUE,390,203
"Texas","Harris County",2629,669,TRUE,1192,303
"Illinois","Cook County",2622,589,TRUE,3701,605
"California","Fresno County",2539,778,TRUE,1621,459
"Texas","Travis County",2533,684,TRUE,976,236
"Texas","Dallas County",2162,550,TRUE,1566,493
"California","Contra Costa County",2080,561,TRUE,2026,499
"Texas","Collin County",2067,969,TRUE,425,148
"California","Yolo County",2017,371,TRUE,928,372
"California","San Mateo County",1993,476,TRUE,1803,423
"California","San Luis Obispo County",1802,384,TRUE,1006,454
"Arizona","Pima County",1719,590,TRUE,719,184
"California","Tulare County",1695,765,TRUE,497,205
"California","Santa Cruz County",1681,338,TRUE,761,226
"New York","Kings County",1620,696,TRUE,3552,648
"Georgia","Fulton County",1548,676,TRUE,1732,731
"California","Marin County",1472,381,TRUE,833,280
"California","Monterey County",1402,340,TRUE,900,293
"California","Madera County",1393,423,TRUE,83,62
"Hawaii","Honolulu County",1313,331,TRUE,1657,409
"Oregon","Multnomah County",1309,358,TRUE,769,205
"Utah","Salt Lake County",1280,417,TRUE,759,290
"California","San Joaquin County",1252,365,TRUE,428,117
"Oregon","Deschutes County",1214,782,TRUE,197,148
"Massachusetts","Middlesex County",1186,338,TRUE,1313,286
