"variable","item","total","reported_by","pct_reporting"
"F1a","Total voters",158211780,6449,99.8
"D1a","Total precincts",177708,6451,99.8
"C1a","Mail ballots transmitted to voters",66867671,6445,99.8
"C1b","Mail ballots returned by voters",47957093,6131,94.9
"C1c","Mail ballots returned undeliverable",932533,5843,90.4
"C9a","Mail ballots rejected",584463,6361,98.5
"E1a","Provisional ballots cast",1736209,5654,87.5
"E1b","Provisional ballots counted in full",1199465,5621,87
"E1d","Provisional ballots rejected",436258,5162,79.9
