"state","jurisdictions","voters","mail_sent","mail_returned","mail_rejected","prov_cast","prov_rejected"
"AK",1,340981,60695,49616,872,15138,352
"AL",67,2272911,140558,0,1779,13355,6093
"AR",75,1122278,29173,25976,2274,7085,5623
"AS",1,10215,207,190,1,0,0
"AZ",15,3477975,3582082,2859348,25071,49911,34158
"CA",58,16164330,23003434,13185566,123248,327003,37312
"CO",64,3240754,4090266,3000301,42751,444,237
"CT",169,1820891,129996,0,2642,73,36
"DC",1,328871,453858,169280,1169,1015,922
"DE",3,514367,40728,35475,1816,204,190
"FL",67,10999125,3524965,2960238,21126,22095,15945
"GA",159,5297500,327241,273512,4761,7950,4721
"GU",1,30283,77,54,9,115,50
"HI",5,522236,755841,487239,4161,0,0
"IA",99,1674011,235170,221210,1169,1315,563
"ID",44,917469,196032,182434,2657,0,0
"IL",108,5717147,1177760,1030362,16559,13634,3756
"IN",92,2986839,1616735,1607247,3432,6280,4335
"KS",105,1342102,165077,149591,561,43059,16090
"KY",120,2086090,131762,120400,4076,210,141
"LA",64,2021588,167577,122627,2921,3926,3032
"MA",351,3512930,1349590,1186310,13198,5105,3309
"MD",24,3028813,878815,747040,2796,150002,4239
"ME",497,842447,224646,215753,511,128,0
"MI",83,5706503,2213167,2081265,63561,140,130
"MN",87,3271069,576563,455698,9122,0,0
"MO",116,3126837,199327,183764,5238,8554,3020
"MP",1,12610,1168,0,13,12,12
"MS",82,1225176,28558,0,0,21421,6736
"MT",56,612423,503295,432394,2235,10636,1510
"NC",100,5756106,451176,307185,8916,65230,40298
"ND",53,371974,94676,89930,501,0,0
"NE",93,965145,323237,308601,1466,15870,5219
"NH",320,829090,98762,94362,1552,0,0
"NJ",21,4321921,1100762,839944,11191,130146,13618
"NM",33,927923,122478,112494,967,2145,548
"NV",17,1486297,2069339,669445,13305,30813,2556
"NY",62,8389626,975377,862737,25750,251783,62703
"OH",88,5851625,1131278,1066229,8335,139051,34304
"OK",77,1573274,124664,103025,4477,4234,2636
"OR",36,2269608,3038435,2291579,38465,180,128
"PA",67,7074875,2204273,1952372,19270,98032,28544
"PR",1,1283628,149339,134396,2239,22889,10313
"RI",39,522164,56663,52301,306,5308,2794
"SC",46,2566404,108922,101585,2803,6571,2303
"SD",66,435739,155015,152146,738,406,205
"TN",95,3090161,98452,88748,1844,12715,9574
"TX",254,11488820,463200,398270,14049,66811,51128
"UT",29,1466896,1475522,1268103,23819,47272,3623
"VA",133,4511853,531154,479139,4807,119249,7859
"VI",1,15952,648,613,6,1,0
"VT",247,361604,441666,237565,467,0,0
"WA",39,3949810,5169231,3927132,36187,120,108
"WI",1851,3434185,614367,575257,2823,661,509
"WV",55,769206,24830,22624,247,7782,4709
"WY",23,271123,39842,38421,204,130,67
