"variable","reason","ballots","reported_by","pct_of_rejected"
"C9e","Signature did not match",197979,3222,33.9
"C9b","Received after the deadline",103441,6093,17.7
"C9r","Other (1)",82366,4452,14.1
"C9n","Voter already voted",54659,5284,9.4
"C9c","Voter signature missing",53511,4198,9.2
"C9o","Missing documentation",22175,3284,3.8
"C9d","Witness signature missing",17623,2794,3
"C9p","Voter not eligible",12018,5026,2.1
"C9m","Voter deceased",7264,4807,1.2
"C9h","No secrecy envelope",5881,2393,1
"C9j","Envelope not sealed",5876,3696,1
"C9s","Other (2)",5678,3051,1
"C9g","Ballot missing from envelope",5238,2679,0.9
"C9t","Other (3)",3923,2553,0.7
"C9f","Unofficial envelope",1221,2072,0.2
"C9k","No postmark",1211,845,0.2
"C9i","Multiple ballots in one envelope",668,4208,0.1
"C9l","No resident address on envelope",635,1959,0.1
"C9q","No ballot application on file",131,2140,0
