"position","beat","companion","chapter","title","topic"
1,"1 source",FALSE,"census-source","What a Census Can and Cannot Do","The one thing nothing else can do, and what it cost to keep doing it"
2,"2 instrument",FALSE,"census-decennial","The Decennial Census","Seven questions asked once a decade, and the people it does not find"
3,"2 instrument",FALSE,"census-acs","The American Community Survey","Three windows onto the same country, one of them closed, and a margin beside every number that has one"
4,"2 instrument",FALSE,"census-pep","The Population Estimates Program","The number you get when nobody counted, and the arithmetic that produces it"
5,"2 instrument",FALSE,"census-geography","Census Geography and Why Data Will Not Join","Why so much data will not join"
6,"3 access",FALSE,"census-access","How Many People Live in Allegheny County?","One question, a shelf of published answers, and how to say which one you mean"
7,"3 access",FALSE,"census-api","Using the Census Data API","Three ways into the Census Bureau, and what the catalog reveals about who the data is for"
8,"4 use",FALSE,"census-race","Hispanic Origin Is Not a Race on the Census Form","Two questions about one person on the 2020 census form, and the two boxes people use to answer neither"
9,"4 use",FALSE,"census-coverage","Who the Count Missed","The census grades itself, state by state, and mostly returns a blank"
10,"4 use",FALSE,"demographics","Measuring Race at Eight Geographic Scales","What the 2020 census says about race, at eight scales, and why only the smallest one describes anyone"
11,"4 use",FALSE,"areal-units","The Modifiable Areal Unit Problem","One county's census blocks, and what moving the boxes does to the share"
12,"4 use",TRUE,"overplotting","When a Scatter Plot Has Too Many Points","Every populated census block in Georgia, and the 88% of them you cannot see"
13,"4 use",FALSE,"zip-codes","What a ZIP Code Is, and What It Is Not","A routing key for mail trucks, and everything it gets asked to stand for"
14,"4 use",FALSE,"apportionment","Apportionment: How a Count Becomes Seats","Why the Constitution orders a census, the six rules that turn it into seats, and what happens when the margin is smaller than the instrument"
15,"4 use",FALSE,"regional-shift","Regional Population Shift and House Seats","Nobody proposed it, nobody voted on it, and no single decade announced it"
16,"4 use",FALSE,"migration","Measuring Migration with ACS Flow Estimates","One question on an American survey form, the map it draws, and how much of that map is not there"
17,"4 use",TRUE,"chord","Everybody Moved, Almost Nobody Left","A year of interstate migration drawn as a chord diagram, and the aggregation you have to perform before a circle will hold it"
18,"4 use",FALSE,"age-structure","The Age Structure of the Electorate","Who is old enough to vote, who says they voted, and sixty years of the gap between the two"
19,"4 use",FALSE,"section-203","Section 203 Language Coverage Determinations","Section 203 of the Voting Rights Act, and the survey that decides who gets a ballot they can read"
20,"4 use",FALSE,"names","Names as Data","The field every record about a person carries, and the three jobs it is asked to do"
21,"4 use",FALSE,"surnames","Surname-Based Race Inference","A federal table of names, a county, and one line of arithmetic that decides who counts as a Black voter"
