"congress","year","chamber","state","district_code","bioname","party","dim1","dim2"
46,1879,"House","PA",25,"WHITE, Harry","Republican",0.7,0.714
46,1879,"House","NY",32,"PIERCE, Ray Vaughn","Republican",0.65,-0.709
46,1879,"House","ME",1,"REED, Thomas Brackett","Republican",0.571,-0.404
46,1879,"House","IA",5,"THOMPSON, William George","Republican",0.535,0.546
46,1879,"House","MI",8,"HORR, Roswell Gilbert","Republican",0.53,-0.478
46,1879,"House","MI",1,"NEWBERRY, John Stoughton","Republican",0.53,-0.514
46,1879,"House","IN",11,"COWGILL, Calvin","Republican",0.519,0.008
46,1879,"House","NY",21,"WILBER, David","Republican",0.514,-0.419
46,1879,"House","PA",27,"OSMER, James H.","Republican",0.512,0.204
46,1879,"House","MA",7,"RUSSELL, William Augustus","Republican",0.502,-0.789
46,1879,"House","OH",4,"KEIFER, Joseph Warren","Republican",0.502,0.025
46,1879,"House","NY",19,"JAMES, Amaziah Bailey","Republican",0.5,-0.374
46,1879,"House","NY",20,"STARIN, John Henry","Republican",0.498,-0.68
46,1879,"House","NY",28,"DWIGHT, Jeremiah Wilbur","Republican",0.494,-0.225
46,1879,"House","WI",7,"HUMPHREY, Herman Leon","Republican",0.494,0.091
46,1879,"House","NY",18,"HAMMOND, John","Republican",0.487,-0.106
46,1879,"House","PA",6,"WARD, William","Republican",0.487,-0.594
46,1879,"House","PA",1,"BINGHAM, Henry Harrison","Republican",0.485,-0.46
46,1879,"House","OH",19,"TAYLOR, Ezra Booth","Republican",0.484,0.125
46,1879,"House","RI",2,"BALLOU, Latimer Whipple","Republican",0.48,-0.713
46,1879,"House","NY",26,"CAMP, John Henry","Republican",0.479,-0.33
46,1879,"House","CT",4,"MILES, Frederick","Republican",0.477,-0.505
46,1879,"House","IA",4,"DEERING, Nathaniel Cobb","Republican",0.473,0.203
46,1879,"House","IN",1,"HEILMAN, William","Republican",0.471,-0.07
46,1879,"House","MI",5,"STONE, John Wesley","Republican",0.468,-0.052
46,1879,"House","VT",1,"JOYCE, Charles Herbert","Republican",0.462,-0.316
46,1879,"House","IA",9,"CARPENTER, Cyrus Clay","Republican",0.461,-0.179
46,1879,"House","PA",22,"ERRETT, Russell","Republican",0.461,0.212
46,1879,"House","VT",2,"TYLER, James Manning","Republican",0.46,-0.454
46,1879,"House","PA",7,"GODSHALK, William","Republican",0.458,0.354
46,1879,"House","IL",1,"ALDRICH, William","Republican",0.457,0.09
46,1879,"House","NH",2,"BRIGGS, James Frankland","Republican",0.455,-0.304
46,1879,"House","NH",3,"RAY, Ossian","Republican",0.451,-0.119
46,1879,"House","MI",3,"McGOWAN, Jonas Hartzell","Republican",0.45,-0.078
46,1879,"House","MA",5,"BOWMAN, Selwyn Zadock","Republican",0.449,-0.407
46,1879,"House","MI",4,"BURROWS, Julius Caesar","Republican",0.448,-0.129
