"county_fips","state_name","county_name","total_votes_20","total_votes_24","r20","r24","swing","flipped"
"01001","Alabama","Autauga County",27770,28190,72.56,73.36,0.8,FALSE
"01003","Alabama","Baldwin County",109679,121808,77.27,79.35,2.08,FALSE
"01005","Alabama","Barbour County",10518,9832,53.86,57.41,3.55,FALSE
"01007","Alabama","Bibb County",9595,9241,79.12,82.38,3.26,FALSE
"01009","Alabama","Blount County",27588,28115,90.35,90.78,0.43,FALSE
"01011","Alabama","Bullock County",4613,4106,24.96,26.96,2,FALSE
"01013","Alabama","Butler County",9488,8467,57.92,61.4,3.48,FALSE
"01015","Alabama","Calhoun County",50983,48530,69.76,72.57,2.81,FALSE
"01017","Alabama","Chambers County",15284,14221,57.9,61.71,3.81,FALSE
"01019","Alabama","Cherokee County",12301,12984,86.7,87.97,1.27,FALSE
"01021","Alabama","Chilton County",19310,19728,83.96,86.25,2.29,FALSE
"01023","Alabama","Choctaw County",7464,6646,57.87,62,4.13,FALSE
"01025","Alabama","Clarke County",13135,11946,56,58.57,2.57,FALSE
"01027","Alabama","Clay County",6930,6757,81.55,85.24,3.69,FALSE
"01029","Alabama","Cleburne County",7227,7637,90.57,92.03,1.46,FALSE
"01031","Alabama","Coffee County",22275,22270,76.9,79.18,2.28,FALSE
"01033","Alabama","Colbert County",27886,27086,69.71,73.42,3.71,FALSE
"01035","Alabama","Conecuh County",6441,6043,53.71,57.02,3.31,FALSE
"01037","Alabama","Coosa County",5479,5264,66.91,71.77,4.86,FALSE
"01039","Alabama","Covington County",17430,17072,84.28,86.38,2.1,FALSE
"01041","Alabama","Crenshaw County",6617,6480,74.1,77.44,3.34,FALSE
"01043","Alabama","Cullman County",41851,43052,89.17,90.55,1.38,FALSE
"01045","Alabama","Dale County",19738,19103,73.45,76.35,2.9,FALSE
"01047","Alabama","Dallas County",17864,15528,31.11,33.64,2.53,FALSE
"01049","Alabama","DeKalb County",29356,29583,85.26,87.21,1.95,FALSE
"01051","Alabama","Elmore County",41030,41491,74.42,76.25,1.83,FALSE
"01053","Alabama","Escambia County",15910,14929,68.85,73.3,4.45,FALSE
"01055","Alabama","Etowah County",47728,46023,75.44,78.05,2.61,FALSE
"01057","Alabama","Fayette County",8766,8356,83.96,86.24,2.28,FALSE
"01059","Alabama","Franklin County",12578,12077,83.26,86.92,3.66,FALSE
"01061","Alabama","Geneva County",12545,12390,87.18,88.71,1.53,FALSE
"01063","Alabama","Greene County",4775,4035,18.39,22.03,3.64,FALSE
"01065","Alabama","Hale County",7922,7290,40.5,46.55,6.05,FALSE
"01067","Alabama","Henry County",9298,9301,71.71,75.54,3.83,FALSE
"01069","Alabama","Houston County",46173,44195,71.63,74.09,2.46,FALSE
"01071","Alabama","Jackson County",23636,23509,84.11,85.97,1.86,FALSE
"01073","Alabama","Jefferson County",325848,296741,43.32,44.72,1.4,FALSE
"01075","Alabama","Lamar County",7193,6875,86.33,88.21,1.88,FALSE
"01077","Alabama","Lauderdale County",44339,43454,72.69,76.01,3.32,FALSE
"01079","Alabama","Lawrence County",16031,16115,77.57,81.36,3.79,FALSE
"01081","Alabama","Lee County",71449,72695,60.25,64.08,3.83,FALSE
"01083","Alabama","Limestone County",49235,53096,71.7,72.21,0.51,FALSE
"01085","Alabama","Lowndes County",6835,5652,26.97,31.25,4.28,FALSE
"01087","Alabama","Macon County",8723,7820,17.82,21.66,3.84,FALSE
"01089","Alabama","Madison County",194767,196355,54.08,54.56,0.48,FALSE
"01091","Alabama","Marengo County",10900,9673,49.33,51.89,2.56,TRUE
"01093","Alabama","Marion County",13807,13523,89.3,91.1,1.8,FALSE
