"state","abbrev","pres_rep","pres_dem","pres_winner","pres_r_two"
"Alabama","AL",1462616,772412,"R",65.44
"Alaska","AK",184458,140026,"R",56.85
"Arizona","AZ",1770242,1582860,"R",52.79
"Arkansas","AR",759241,396905,"R",65.67
"California","CA",6081697,9276179,"D",39.6
"Colorado","CO",1377441,1728159,"D",44.35
"Connecticut","CT",736918,992053,"D",42.62
"Delaware","DE",214351,289758,"D",42.52
"District of Columbia","DC",21076,294185,"D",6.69
"Florida","FL",6110125,4683038,"R",56.61
"Georgia","GA",2663117,2548017,"R",51.1
"Hawaii","HI",193661,313044,"D",38.22
"Idaho","ID",605246,274972,"R",68.76
"Illinois","IL",2449079,3062863,"D",44.43
"Indiana","IN",1720347,1163603,"R",59.65
"Iowa","IA",927019,707278,"R",56.72
"Kansas","KS",758802,544853,"R",58.21
"Kentucky","KY",1337494,704043,"R",65.51
"Louisiana","LA",1208505,766870,"R",61.18
"Maine","ME",377837,435351,"D",46.46
"Maryland","MD",1035550,1902577,"D",35.25
"Massachusetts","MA",1251303,2126518,"D",37.04
"Michigan","MI",2816636,2736533,"R",50.72
"Minnesota","MN",1519032,1656979,"D",47.83
"Mississippi","MS",747744,466668,"R",61.57
"Missouri","MO",1751986,1200599,"R",59.34
"Montana","MT",352079,231906,"R",60.29
"Nebraska","NE",564816,369995,"R",60.42
"Nevada","NV",751205,705197,"R",51.58
"New Hampshire","NH",395523,418488,"D",48.59
"New Jersey","NJ",1968215,2220713,"D",46.99
"New Mexico","NM",423391,478802,"D",46.93
"New York","NY",3578899,4619195,"D",43.66
"North Carolina","NC",2898423,2715375,"R",51.63
"North Dakota","ND",246505,112327,"R",68.7
"Ohio","OH",3180116,2533699,"R",55.66
"Oklahoma","OK",1036213,499599,"R",67.47
"Oregon","OR",919480,1240600,"D",42.57
"Pennsylvania","PA",3543308,3423042,"R",50.86
"Rhode Island","RI",214406,285156,"D",42.92
"South Carolina","SC",1483747,1028452,"R",59.06
"South Dakota","SD",272081,146859,"R",64.95
"Tennessee","TN",1966865,1056265,"R",65.06
"Texas","TX",6393597,4835250,"R",56.94
"Utah","UT",883818,562566,"R",61.11
"Vermont","VT",119395,235791,"D",33.61
"Virginia","VA",2075085,2335395,"D",47.05
"Washington","WA",1530923,2245849,"D",40.54
"West Virginia","WV",533556,214309,"R",71.34
"Wisconsin","WI",1697626,1668229,"R",50.44
"Wyoming","WY",192633,69527,"R",73.48
